suite,query_id,n_repetitions,explain_i_ms,prepare_i_ms,explain_A_ms,prepare_A_ms,explain_c_ms,prepare_c_ms,explain_o_ms,prepare_o_ms,compilation_A_ms,compilation_c_ms,compilation_o_ms
prodds,query_1,5,1.115,1.524,1.006,1.773,2.767,16.341,8.807,55.524,0.249,14.817,54.000
prodds,query_10,5,2.282,5.422,2.659,9.048,6.488,51.511,7.071,243.258,3.626,46.089,237.836
prodds,query_11,5,0.905,2.197,1.544,3.358,2.241,18.697,6.330,127.525,1.161,16.500,125.328
prodds,query_12,5,1.468,4.862,2.001,7.073,2.674,31.430,6.651,190.564,2.211,26.568,185.702
prodds,query_13,5,2.588,5.658,2.434,6.450,3.203,18.156,7.414,114.115,0.792,12.498,108.457
prodds,query_14,5,1.190,2.747,1.311,3.145,2.115,13.328,6.052,79.371,0.398,10.581,76.624
prodds,query_15,5,1.511,2.878,1.723,3.706,2.284,15.281,6.254,103.078,0.828,12.403,100.200
prodds,query_17,5,1.942,3.755,2.018,4.398,2.578,17.529,6.539,100.281,0.643,13.774,96.526
prodds,query_18,5,2.376,4.909,2.451,5.656,2.885,23.274,7.015,154.891,0.747,18.365,149.982
prodds,query_2,5,1.725,3.881,1.795,4.598,2.518,20.995,6.599,130.456,0.717,17.114,126.575
prodds,query_20,5,6.683,9.590,6.376,9.963,7.972,50.397,12.169,290.261,0.373,40.807,280.671
prodds,query_21,5,0.905,2.311,0.940,2.585,2.613,23.339,6.839,141.207,0.274,21.028,138.896
prodds,query_22,5,1.968,4.090,1.998,4.354,3.454,30.712,7.428,214.223,0.264,26.622,210.133
prodds,query_23,5,2.053,4.271,2.076,4.559,3.670,33.955,7.837,207.946,0.288,29.684,203.675
prodds,query_24,5,1.177,2.345,1.219,2.548,2.709,18.051,6.744,104.173,0.203,15.706,101.828
prodds,query_25,5,1.325,2.285,1.347,2.415,2.836,12.962,6.836,80.230,0.130,10.677,77.945
prodds,query_26,5,2.390,5.034,2.321,5.357,3.730,43.841,7.722,269.802,0.323,38.807,264.768
prodds,query_27,5,1.122,2.364,1.143,2.611,2.749,19.282,6.910,126.805,0.247,16.918,124.441
prodds,query_28,5,1.551,3.435,1.535,3.597,3.018,29.206,7.074,193.424,0.162,25.771,189.989
prodds,query_3,5,2.939,6.594,2.915,7.005,4.361,60.503,8.496,352.361,0.411,53.909,345.767
prodds,query_30,5,1.936,4.343,1.979,4.754,3.707,35.717,7.990,226.053,0.411,31.374,221.710
prodds,query_31,5,1.025,2.495,1.049,2.780,2.607,24.434,6.792,141.078,0.285,21.939,138.583
prodds,query_32,5,0.856,2.282,0.871,2.578,2.367,24.932,6.429,156.793,0.296,22.650,154.511
prodds,query_33,5,2.727,4.450,2.670,4.619,4.238,26.345,8.457,149.874,0.169,21.895,145.424
prodds,query_35,5,0.778,2.694,0.805,2.943,2.230,29.272,6.145,213.995,0.249,26.578,211.301
prodds,query_36,5,2.409,4.928,2.435,5.043,3.977,33.317,8.077,223.901,0.115,28.389,218.973
prodds,query_37,5,1.156,2.979,1.186,3.285,2.688,33.623,6.685,191.133,0.306,30.644,188.154
prodds,query_39,5,2.249,5.222,2.275,5.374,3.873,40.989,8.032,260.002,0.152,35.767,254.780
prodds,query_4,5,1.405,2.763,1.436,3.157,3.009,27.154,7.228,159.030,0.394,24.391,156.267
prodds,query_40,5,1.297,2.160,1.328,2.302,2.818,13.629,6.900,75.737,0.142,11.469,73.577
prodds,query_41,5,2.879,5.559,2.771,5.805,4.225,41.205,8.218,317.741,0.246,35.646,312.182
prodds,query_42,5,1.726,4.566,1.767,5.079,3.538,42.736,7.775,314.871,0.513,38.170,310.305
prodds,query_43,5,2.154,3.453,2.178,3.717,3.791,23.002,7.941,135.835,0.264,19.549,132.382
prodds,query_44,5,1.065,1.839,1.092,1.936,2.537,12.025,6.500,68.292,0.097,10.186,66.453
prodds,query_45,5,0.850,2.032,0.865,2.240,2.332,16.808,6.235,117.502,0.208,14.776,115.470
prodds,query_46,5,0.919,3.910,0.964,4.201,2.341,35.279,6.217,299.659,0.291,31.369,295.749
prodds,query_47,5,2.022,4.169,2.064,4.607,3.634,35.260,7.862,239.398,0.438,31.091,235.229
prodds,query_48,5,2.245,5.438,2.241,5.941,3.806,55.579,8.000,334.746,0.503,50.141,329.308
prodds,query_49,5,2.030,3.400,2.053,3.381,3.604,23.569,7.687,125.420,-0.019,20.169,122.020
prodds,query_5,5,0.969,2.218,1.001,2.324,2.412,16.813,6.292,102.545,0.106,14.595,100.327
prodds,query_50,5,2.107,3.861,2.048,4.047,3.460,27.589,7.373,163.323,0.186,23.728,159.462
prodds,query_51,5,2.054,4.510,2.021,4.734,3.476,37.449,7.410,241.458,0.224,32.939,236.948
prodds,query_52,5,0.665,1.456,0.698,1.643,2.130,12.208,6.123,77.063,0.187,10.752,75.607
