suite,query_id,n_repetitions,explain_i_ms,prepare_i_ms,explain_A_ms,prepare_A_ms,explain_d_ms,prepare_d_ms,explain_c_ms,prepare_c_ms,explain_o_ms,prepare_o_ms,compilation_A_ms,compilation_d_ms,compilation_c_ms,compilation_o_ms
prodds,query_1,5,1.176,1.648,1.195,1.597,0.915,1.434,2.555,10.510,5.861,50.481,-0.051,-0.214,8.862,48.833
prodds,query_10,5,2.853,6.222,2.199,5.238,2.135,4.975,3.506,42.266,7.532,243.202,-0.984,-1.247,36.044,236.980
prodds,query_11,5,1.069,2.839,0.878,2.771,0.756,2.228,2.348,19.251,7.135,128.755,-0.068,-0.611,16.412,125.916
prodds,query_12,5,1.861,5.226,1.605,5.243,1.230,3.433,2.738,31.623,7.485,190.819,0.017,-1.793,26.397,185.593
prodds,query_13,5,1.998,4.488,2.228,4.741,1.484,2.845,3.105,19.678,7.901,120.191,0.253,-1.643,15.190,115.703
prodds,query_14,5,1.100,2.040,0.900,1.776,0.712,1.673,2.178,13.384,6.644,80.016,-0.264,-0.367,11.344,77.976
prodds,query_15,5,1.511,3.777,0.909,2.269,0.874,2.110,2.360,15.427,6.796,104.289,-1.508,-1.667,11.650,100.512
prodds,query_17,5,1.969,3.903,1.184,2.791,1.155,2.624,2.666,19.204,7.118,109.013,-1.112,-1.279,15.301,105.110
prodds,query_18,5,2.206,4.558,1.327,3.396,1.280,3.103,2.848,22.431,7.582,151.222,-1.162,-1.455,17.873,146.664
prodds,query_2,5,1.322,3.302,1.048,2.660,1.048,2.647,2.599,21.106,7.314,132.853,-0.642,-0.655,17.804,129.551
prodds,query_20,5,6.735,9.588,6.455,9.895,6.468,9.987,8.164,48.054,13.276,281.913,0.307,0.399,38.466,272.325
prodds,query_21,5,0.969,2.349,0.985,2.586,1.004,2.602,2.954,23.956,8.055,141.270,0.237,0.253,21.607,138.921
prodds,query_22,5,2.025,4.125,2.020,4.298,2.047,4.300,3.597,30.349,8.211,210.286,0.173,0.175,26.224,206.161
prodds,query_23,5,2.088,4.314,2.095,4.571,2.111,4.563,3.864,34.080,8.876,208.341,0.257,0.249,29.766,204.027
prodds,query_24,5,1.228,2.299,1.276,2.519,1.308,2.504,2.949,18.264,7.697,105.591,0.220,0.205,15.965,103.292
prodds,query_25,5,1.415,2.347,1.385,2.440,1.414,2.445,3.036,13.194,7.707,80.626,0.093,0.098,10.847,78.279
prodds,query_26,5,2.371,5.138,2.316,5.483,2.354,5.449,3.875,45.042,8.444,283.106,0.345,0.311,39.904,277.968
prodds,query_27,5,1.129,2.435,1.164,2.636,1.169,2.615,2.936,19.586,7.847,128.356,0.201,0.180,17.151,125.921
prodds,query_28,5,1.621,3.297,1.643,3.438,1.655,3.465,3.205,25.804,7.889,168.660,0.141,0.168,22.507,165.363
prodds,query_3,5,2.930,6.564,2.966,7.012,2.912,6.939,4.563,61.046,9.271,353.613,0.448,0.375,54.482,347.049
prodds,query_30,5,1.941,4.294,1.950,4.707,1.959,4.751,3.968,35.892,9.081,228.457,0.413,0.457,31.598,224.163
prodds,query_31,5,1.039,2.603,1.044,2.759,1.075,2.798,2.783,24.712,7.704,142.422,0.156,0.195,22.109,139.819
prodds,query_32,5,0.749,2.228,0.778,2.444,0.800,2.451,2.390,25.407,6.974,157.287,0.216,0.223,23.179,155.059
prodds,query_33,5,2.531,4.370,2.433,4.533,2.450,4.484,4.140,28.638,9.282,166.059,0.163,0.114,24.268,161.689
prodds,query_35,5,0.761,2.599,0.790,2.976,0.808,2.949,2.326,29.416,6.929,216.355,0.377,0.350,26.817,213.756
prodds,query_36,5,2.522,4.956,2.558,5.203,2.556,5.149,4.197,33.557,9.317,224.737,0.247,0.193,28.601,219.781
prodds,query_37,5,1.220,3.530,1.243,3.838,1.247,3.772,2.861,44.111,7.646,246.480,0.308,0.242,40.581,242.950
