suite,scale_factor,mode,mode_name,repetition,query_id,stage,elapsed_ms,status
prodds,10,i,Interpreted,1,__floor__,floor,0.204,ok
prodds,10,i,Interpreted,1,query_1,explain,1.281,ok
prodds,10,i,Interpreted,1,query_1,prepare,1.524,ok
prodds,10,i,Interpreted,1,query_10,explain,2.282,ok
prodds,10,i,Interpreted,1,query_10,prepare,4.939,ok
prodds,10,i,Interpreted,1,query_11,explain,0.691,ok
prodds,10,i,Interpreted,1,query_11,prepare,1.972,ok
prodds,10,i,Interpreted,1,query_12,explain,1.269,ok
prodds,10,i,Interpreted,1,query_12,prepare,3.419,ok
prodds,10,i,Interpreted,1,query_13,explain,1.640,ok
prodds,10,i,Interpreted,1,query_13,prepare,2.937,ok
prodds,10,i,Interpreted,1,query_14,explain,0.690,ok
prodds,10,i,Interpreted,1,query_14,prepare,1.645,ok
prodds,10,i,Interpreted,1,query_15,explain,0.879,ok
prodds,10,i,Interpreted,1,query_15,prepare,2.098,ok
prodds,10,i,Interpreted,1,query_17,explain,1.157,ok
prodds,10,i,Interpreted,1,query_17,prepare,2.481,ok
prodds,10,i,Interpreted,1,query_18,explain,1.378,ok
prodds,10,i,Interpreted,1,query_18,prepare,3.226,ok
prodds,10,i,Interpreted,1,query_2,explain,1.015,ok
prodds,10,i,Interpreted,1,query_2,prepare,2.607,ok
prodds,10,i,Interpreted,1,query_20,explain,6.637,ok
prodds,10,i,Interpreted,1,query_20,prepare,9.804,ok
prodds,10,i,Interpreted,1,query_21,explain,0.905,ok
prodds,10,i,Interpreted,1,query_21,prepare,2.366,ok
prodds,10,i,Interpreted,1,query_22,explain,2.371,ok
prodds,10,i,Interpreted,1,query_22,prepare,4.318,ok
prodds,10,i,Interpreted,1,query_23,explain,2.075,ok
prodds,10,i,Interpreted,1,query_23,prepare,4.425,ok
prodds,10,i,Interpreted,1,query_24,explain,1.177,ok
prodds,10,i,Interpreted,1,query_24,prepare,2.503,ok
prodds,10,i,Interpreted,1,query_25,explain,1.330,ok
prodds,10,i,Interpreted,1,query_25,prepare,2.387,ok
prodds,10,i,Interpreted,1,query_26,explain,2.425,ok
prodds,10,i,Interpreted,1,query_26,prepare,5.186,ok
prodds,10,i,Interpreted,1,query_27,explain,1.122,ok
prodds,10,i,Interpreted,1,query_27,prepare,2.455,ok
prodds,10,i,Interpreted,1,query_28,explain,1.601,ok
prodds,10,i,Interpreted,1,query_28,prepare,3.588,ok
prodds,10,i,Interpreted,1,query_3,explain,2.993,ok
prodds,10,i,Interpreted,1,query_3,prepare,6.952,ok
prodds,10,i,Interpreted,1,query_30,explain,1.932,ok
prodds,10,i,Interpreted,1,query_30,prepare,4.482,ok
prodds,10,i,Interpreted,1,query_31,explain,1.025,ok
prodds,10,i,Interpreted,1,query_31,prepare,2.611,ok
prodds,10,i,Interpreted,1,query_32,explain,0.845,ok
prodds,10,i,Interpreted,1,query_32,prepare,2.389,ok
prodds,10,i,Interpreted,1,query_33,explain,2.727,ok
prodds,10,i,Interpreted,1,query_33,prepare,4.579,ok
prodds,10,i,Interpreted,1,query_35,explain,0.784,ok
prodds,10,i,Interpreted,1,query_35,prepare,2.816,ok
prodds,10,i,Interpreted,1,query_36,explain,2.426,ok
prodds,10,i,Interpreted,1,query_36,prepare,5.063,ok
prodds,10,i,Interpreted,1,query_37,explain,1.145,ok
prodds,10,i,Interpreted,1,query_37,prepare,3.189,ok
prodds,10,i,Interpreted,1,query_39,explain,2.258,ok
prodds,10,i,Interpreted,1,query_39,prepare,5.282,ok
prodds,10,i,Interpreted,1,query_4,explain,1.404,ok
prodds,10,i,Interpreted,1,query_4,prepare,2.954,ok
prodds,10,i,Interpreted,1,query_40,explain,1.335,ok
prodds,10,i,Interpreted,1,query_40,prepare,2.234,ok
prodds,10,i,Interpreted,1,query_41,explain,2.899,ok
