engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_1,1,0.2934,0.2908,0.4335,0.0866,ok
duckdb,query_10,1,1.0261,1.0003,1.9459,0.3262,ok
duckdb,query_11,1,0.8557,0.8515,0.4334,0.0702,ok
duckdb,query_12,1,0.5085,0.5001,0.5316,0.0712,ok
duckdb,query_13,1,0.5967,0.5933,1.1551,0.0929,ok
duckdb,query_14,1,0.6194,0.6174,0.7305,0.0568,ok
duckdb,query_15,1,0.4602,0.4564,0.6267,0.0729,ok
duckdb,query_17,1,1.0259,1.0069,0.7779,0.1079,ok
duckdb,query_18,1,0.4352,0.4316,0.7744,0.0945,ok
duckdb,query_2,1,0.5052,0.5014,0.7282,0.0920,ok
duckdb,query_20,1,1.7188,1.6028,3.7633,0.3103,ok
duckdb,query_21,1,0.4823,0.4792,0.5667,0.0812,ok
duckdb,query_22,1,0.7354,0.7060,1.3079,0.1703,ok
duckdb,query_23,1,0.5618,0.5588,0.9119,0.1237,ok
duckdb,query_24,1,0.8776,0.8730,1.0580,0.0895,ok
duckdb,query_25,1,0.7908,0.7691,0.8277,0.1056,ok
duckdb,query_26,1,1.4467,1.3927,1.5802,0.1897,ok
duckdb,query_27,1,0.6502,0.6474,0.7457,0.0695,ok
duckdb,query_28,1,1.5825,1.5151,1.3257,0.1566,ok
duckdb,query_3,1,1.0496,1.0094,1.4512,0.2017,ok
duckdb,query_30,1,2.1586,2.1244,2.5861,0.3901,ok
duckdb,query_31,1,0.4631,0.4583,0.6246,0.0933,ok
duckdb,query_32,1,0.4002,0.3966,0.4929,0.0599,ok
duckdb,query_33,1,0.6370,0.6334,1.8798,0.1206,ok
duckdb,query_35,1,0.7389,0.7349,0.6518,0.1182,ok
duckdb,query_36,1,1.3239,1.3204,1.5611,0.0899,ok
duckdb,query_37,1,0.7325,0.7089,0.7275,0.1074,ok
duckdb,query_39,1,2.0849,2.0802,2.0776,0.2383,ok
duckdb,query_4,1,0.5661,0.5636,0.7600,0.0920,ok
duckdb,query_40,1,0.6167,0.6132,0.7122,0.1089,ok
duckdb,query_41,1,0.8062,0.8008,2.3893,0.2282,ok
duckdb,query_42,1,0.8117,0.7439,0.9954,0.1041,ok
duckdb,query_43,1,0.6115,0.6043,1.1184,0.1389,ok
duckdb,query_44,1,0.7073,0.6806,0.6403,0.1057,ok
duckdb,query_45,1,0.3317,0.3283,0.4825,0.0851,ok
duckdb,query_46,1,0.6960,0.6712,0.5763,0.1249,ok
duckdb,query_47,1,1.8533,1.8124,1.6903,0.2091,ok
duckdb,query_48,1,1.0929,1.0896,1.3458,0.1839,ok
duckdb,query_49,1,0.9905,0.9857,1.2235,0.1485,ok
duckdb,query_5,1,0.4966,0.4842,0.6690,0.0766,ok
duckdb,query_50,1,0.7476,0.7183,1.9329,0.1810,ok
duckdb,query_51,1,0.7310,0.7128,1.4722,0.1651,ok
duckdb,query_52,1,0.3350,0.3323,0.3694,0.0470,ok
duckdb,query_53,1,0.8401,0.8348,2.2022,0.1711,ok
duckdb,query_54,1,0.6153,0.6126,0.6907,0.1288,ok
duckdb,query_55,1,0.3098,0.3067,0.3009,0.0472,ok
duckdb,query_56,1,0.5368,0.5328,0.7583,0.0888,ok
duckdb,query_57,1,0.3933,0.3901,0.6737,0.0999,ok
duckdb,query_58,1,0.4436,0.4408,0.8056,0.1002,ok
duckdb,query_59,1,0.4098,0.4056,0.6061,0.1104,ok
duckdb,query_6,1,1.4583,1.4032,2.0701,0.2066,ok
duckdb,query_60,1,0.6642,0.6587,0.9608,0.1173,ok
duckdb,query_61,1,0.3917,0.3882,0.5614,0.0997,ok
duckdb,query_62,1,0.6714,0.6414,1.4361,0.2005,ok
duckdb,query_63,1,1.1719,1.1687,2.0968,0.0994,ok
duckdb,query_64,1,0.3692,0.3662,0.4751,0.0698,ok
duckdb,query_65,1,0.3885,0.3849,0.4797,0.0803,ok
duckdb,query_66,1,1.8828,1.8771,23.4586,0.1963,ok
