engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_1,1,0.5047,0.5017,0.4407,0.6643,ok
duckdb,query_10,1,1.6631,1.6418,1.1043,2.5091,ok
duckdb,query_11,1,0.5284,0.5259,0.3023,0.5311,ok
duckdb,query_12,1,0.6832,0.6776,0.4498,1.0313,ok
duckdb,query_13,1,0.5585,0.5558,0.8691,1.1256,ok
duckdb,query_14,1,0.5699,0.5677,0.4971,0.5775,ok
duckdb,query_15,1,0.5944,0.5918,0.4659,0.7914,ok
duckdb,query_17,1,1.1308,1.1113,0.6301,1.4077,ok
duckdb,query_18,1,0.5541,0.5511,0.6497,1.0530,ok
duckdb,query_2,1,0.4429,0.4404,0.4817,0.6496,ok
duckdb,query_20,1,3.2176,3.1902,3.2665,6.7028,ok
duckdb,query_21,1,0.5657,0.5632,0.4712,0.7840,ok
duckdb,query_22,1,1.6158,1.5948,1.1564,2.3857,ok
duckdb,query_23,1,0.8594,0.8566,0.7747,1.8941,ok
duckdb,query_24,1,1.0414,1.0385,0.9315,1.0574,ok
duckdb,query_25,1,1.0082,0.9953,0.6441,1.3671,ok
duckdb,query_26,1,2.0422,2.0187,1.3959,4.0818,ok
duckdb,query_27,1,0.7662,0.7639,0.6169,0.8880,ok
duckdb,query_28,1,2.0697,2.0427,1.1282,2.6048,ok
duckdb,query_3,1,1.8493,1.8322,1.2369,3.7106,ok
duckdb,query_30,1,1.2677,1.2588,0.8304,1.9092,ok
duckdb,query_31,1,0.5163,0.5137,0.4975,0.8562,ok
duckdb,query_32,1,0.4048,0.4023,0.3510,0.6731,ok
duckdb,query_33,1,0.8767,0.8738,1.5743,1.3974,ok
duckdb,query_35,1,0.5800,0.5775,0.3999,0.6227,ok
duckdb,query_36,1,1.7121,1.7093,1.4104,1.3615,ok
duckdb,query_37,1,0.8787,0.8597,0.6129,1.9018,ok
duckdb,query_39,1,2.4898,2.4864,1.6644,2.5826,ok
duckdb,query_4,1,0.5714,0.5690,0.5050,1.0368,ok
duckdb,query_40,1,0.7316,0.7290,0.5749,1.1383,ok
duckdb,query_41,1,0.7822,0.7790,1.7153,1.6757,ok
duckdb,query_42,1,1.0671,1.0488,0.8053,1.7385,ok
duckdb,query_43,1,0.8378,0.8325,0.9116,1.4141,ok
