engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_1,1,0.1863,0.1843,0.4110,0.1233,ok
duckdb,query_10,1,1.6288,1.5946,1.8776,0.1828,ok
duckdb,query_11,1,1.0398,1.0353,0.5402,0.1006,ok
duckdb,query_12,1,0.6909,0.6814,0.5638,0.0748,ok
duckdb,query_13,1,0.4882,0.4846,1.0536,0.0810,ok
duckdb,query_14,1,0.5882,0.5853,0.7248,0.0570,ok
duckdb,query_15,1,0.4393,0.4358,0.4929,0.0621,ok
duckdb,query_16,1,0.3460,0.3427,0.6222,0.0770,ok
duckdb,query_17,1,0.8435,0.8248,0.7475,0.0886,ok
duckdb,query_18,1,0.4193,0.4165,0.7677,0.0993,ok
duckdb,query_19,1,1.1842,1.1497,1.8605,0.1888,ok
duckdb,query_2,1,0.3350,0.3311,0.5886,0.0671,ok
duckdb,query_20,1,1.4060,1.3383,3.5905,0.2734,ok
duckdb,query_21,1,0.4603,0.4567,0.5635,0.0709,ok
duckdb,query_22,1,0.6945,0.6659,1.2782,0.1823,ok
duckdb,query_23,1,0.4655,0.4626,0.7671,0.0815,ok
duckdb,query_24,1,1.0977,1.0937,1.3299,0.1107,ok
duckdb,query_25,1,0.7517,0.7325,0.7987,0.0975,ok
duckdb,query_26,1,1.3902,1.3596,1.3195,0.1393,ok
duckdb,query_27,1,0.7271,0.7241,0.8281,0.0725,ok
duckdb,query_28,1,1.4045,1.3577,1.1571,0.1285,ok
duckdb,query_29,1,0.9647,0.8846,1.2987,0.2015,ok
duckdb,query_3,1,0.8857,0.8608,1.6110,0.1909,ok
duckdb,query_30,1,1.0196,0.9977,0.9445,0.1654,ok
duckdb,query_31,1,0.3365,0.3332,0.5085,0.0666,ok
duckdb,query_32,1,0.4083,0.4046,0.5587,0.0676,ok
duckdb,query_33,1,0.8680,0.8638,2.2415,0.1468,ok
duckdb,query_34,1,0.6166,0.6133,0.8627,0.0917,ok
duckdb,query_35,1,0.5051,0.5020,0.5398,0.0832,ok
duckdb,query_36,1,1.2542,1.2508,1.6094,0.0784,ok
duckdb,query_37,1,0.5638,0.5416,0.6608,0.1010,ok
duckdb,query_38,1,0.6456,0.6197,0.6466,0.1204,ok
