engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_1,1,0.4861,0.4831,0.3986,0.6054,ok
duckdb,query_10,1,1.6246,1.6049,1.1066,2.3618,ok
duckdb,query_11,1,0.5069,0.5044,0.3352,0.5476,ok
duckdb,query_12,1,0.5188,0.5135,0.5071,0.8780,ok
duckdb,query_13,1,0.5582,0.5556,0.8867,1.1334,ok
duckdb,query_14,1,0.5285,0.5262,0.5161,0.5944,ok
duckdb,query_15,1,0.5504,0.5478,0.3900,0.6138,ok
duckdb,query_16,1,0.4613,0.4590,0.4886,0.8111,ok
duckdb,query_17,1,1.0465,1.0270,0.6249,1.2085,ok
duckdb,query_18,1,0.5495,0.5470,0.6204,1.2364,ok
duckdb,query_19,1,2.6598,2.6407,1.1424,3.5002,ok
duckdb,query_2,1,0.3907,0.3884,0.4771,0.7202,ok
duckdb,query_20,1,2.9995,2.9726,3.1656,6.8957,ok
duckdb,query_21,1,0.6186,0.6156,0.4500,0.8226,ok
duckdb,query_22,1,1.5515,1.5306,1.1840,2.4423,ok
duckdb,query_23,1,0.6653,0.6625,0.6319,1.4695,ok
duckdb,query_24,1,1.2654,1.2628,1.1911,0.8587,ok
duckdb,query_25,1,1.0226,1.0099,0.6510,1.5110,ok
duckdb,query_26,1,2.0573,2.0298,1.1550,2.7646,ok
duckdb,query_27,1,0.7714,0.7692,0.6501,0.8626,ok
duckdb,query_28,1,2.0157,1.9938,1.0089,2.3383,ok
duckdb,query_29,1,1.5837,1.5624,1.0283,2.0129,ok
duckdb,query_3,1,1.5992,1.5834,1.3234,3.8790,ok
duckdb,query_30,1,1.1224,1.1132,0.6759,1.3138,ok
duckdb,query_31,1,0.3751,0.3727,0.3838,0.5387,ok
duckdb,query_32,1,0.4118,0.4093,0.3767,0.7093,ok
duckdb,query_33,1,0.9254,0.9228,1.7072,1.4994,ok
duckdb,query_34,1,0.8582,0.8553,0.7021,1.3734,ok
duckdb,query_35,1,0.5701,0.5676,0.4046,0.6688,ok
duckdb,query_36,1,1.6149,1.6121,1.3602,1.2929,ok
duckdb,query_37,1,0.8661,0.8484,0.5056,1.4365,ok
duckdb,query_38,1,0.6069,0.5983,0.4382,0.8348,ok
duckdb,query_39,1,3.9891,3.9850,2.8432,5.0910,ok
duckdb,query_4,1,0.5822,0.5793,0.5110,0.9011,ok
duckdb,query_40,1,0.7059,0.7035,0.5614,0.9038,ok
duckdb,query_41,1,0.7454,0.7425,1.6496,1.6439,ok
duckdb,query_42,1,1.1013,1.0827,0.8106,1.7365,ok
duckdb,query_43,1,0.7670,0.7619,0.8847,1.2575,ok
duckdb,query_44,1,0.5788,0.5684,0.5125,1.0060,ok
duckdb,query_45,1,0.2468,0.2445,0.2683,0.4176,ok
duckdb,query_46,1,0.8375,0.8261,0.4309,0.9359,ok
duckdb,query_47,1,1.9337,1.9116,0.9911,2.4795,ok
duckdb,query_48,1,1.9967,1.9935,1.4124,2.6008,ok
duckdb,query_49,1,3.1886,3.1842,1.0963,2.3969,ok
duckdb,query_5,1,0.6547,0.6454,0.5533,1.1789,ok
duckdb,query_50,1,1.1902,1.1798,1.6796,2.9971,ok
duckdb,query_51,1,1.4688,1.4551,0.8021,2.2775,ok
duckdb,query_52,1,0.3205,0.3183,0.2353,0.3455,ok
duckdb,query_53,1,0.6862,0.6834,1.6243,1.3828,ok
duckdb,query_54,1,0.7817,0.7793,0.5559,1.7573,ok
duckdb,query_55,1,0.2999,0.2975,0.2344,0.4098,ok
duckdb,query_56,1,0.5409,0.5384,0.5574,0.8505,ok
duckdb,query_57,1,0.3813,0.3788,0.4628,0.7637,ok
duckdb,query_58,1,0.6881,0.6781,0.6869,1.7017,ok
duckdb,query_59,1,0.2682,0.2657,0.2781,0.4474,ok
duckdb,query_6,1,2.4150,2.3771,1.5725,3.2070,ok
duckdb,query_60,1,1.3928,1.3899,1.2639,1.0645,ok
duckdb,query_61,1,0.2710,0.2686,0.2783,0.4750,ok
duckdb,query_62,1,0.8365,0.8137,1.1926,1.1189,ok
duckdb,query_63,1,2.5548,2.5521,1.8530,2.1615,ok
duckdb,query_64,1,0.4177,0.4151,0.3626,0.6212,ok
duckdb,query_65,1,0.4125,0.4100,0.3605,0.6156,ok
duckdb,query_66,1,3.5432,3.5394,8.1754,3.7801,ok
duckdb,query_67,1,0.3844,0.3819,0.4250,0.6485,ok
duckdb,query_68,1,1.7370,1.7136,1.3842,3.4051,ok
duckdb,query_69,1,3.0074,2.9860,2.0083,6.0263,ok
duckdb,query_7,1,0.5533,0.5423,0.5127,1.0265,ok
duckdb,query_70,1,1.0467,1.0293,0.7893,1.5974,ok
duckdb,query_71,1,0.6688,0.6661,0.5475,1.4983,ok
duckdb,query_72,1,0.6571,0.6545,0.6330,1.4568,ok
duckdb,query_73,1,0.5854,0.5830,0.7167,1.2453,ok
duckdb,query_74,1,0.5732,0.5705,0.7525,0.8738,ok
duckdb,query_75,1,0.7912,0.7762,0.4883,1.3448,ok
duckdb,query_76,1,1.3221,1.3103,0.7198,2.0511,ok
duckdb,query_77,1,0.7710,0.7687,0.5346,1.8447,ok
duckdb,query_78,1,2.3201,2.2775,1.3927,3.1796,ok
duckdb,query_79,1,0.5513,0.5491,0.6120,1.0616,ok
duckdb,query_8,1,0.4717,0.4692,0.6750,0.9231,ok
duckdb,query_80,1,0.4075,0.4053,0.4712,0.5922,ok
duckdb,query_81,1,1.6210,1.5999,1.0994,2.3532,ok
duckdb,query_82,1,0.2486,0.2462,0.2473,0.3774,ok
duckdb,query_83,1,1.6158,1.5935,1.0836,2.2186,ok
duckdb,query_84,1,1.0872,1.0745,0.6044,1.2805,ok
duckdb,query_85,1,0.3919,0.3895,0.4626,0.6971,ok
duckdb,query_86,1,0.5364,0.5340,0.4991,0.7679,ok
duckdb,query_87,1,0.9495,0.9467,3.4715,2.0861,ok
duckdb,query_88,1,0.7302,0.7278,0.6311,0.8746,ok
duckdb,query_89,1,0.5554,0.5531,0.5201,0.9531,ok
duckdb,query_9,1,0.6531,0.6502,1.6403,1.2472,ok
duckdb,query_90,1,0.6432,0.6406,0.9358,1.2626,ok
duckdb,query_91,1,0.6982,0.6959,0.9757,1.0476,ok
duckdb,query_92,1,0.8939,0.8829,1.0571,1.4080,ok
duckdb,query_93,1,2.5858,2.5668,1.2451,4.1038,ok
duckdb,query_94,1,1.2671,1.2645,1.1241,0.8459,ok
duckdb,query_95,1,0.6541,0.6517,0.6476,1.2858,ok
duckdb,query_96,1,1.5948,1.5747,0.9211,2.6424,ok
duckdb,query_97,1,1.0712,1.0683,1.3021,1.9011,ok
duckdb,query_98,1,1.8812,1.8516,0.9176,2.3539,ok
duckdb,query_99,1,0.7095,0.7066,0.4884,1.3073,ok
duckdb,query_1,2,0.4016,0.3987,0.4068,0.6010,ok
duckdb,query_10,2,1.5934,1.5739,1.0705,2.3524,ok
duckdb,query_11,2,0.5029,0.5003,0.3235,0.5458,ok
duckdb,query_12,2,0.5113,0.5060,0.3943,0.8756,ok
duckdb,query_13,2,0.5459,0.5433,0.8959,1.1176,ok
duckdb,query_14,2,0.5250,0.5227,0.5066,0.6077,ok
duckdb,query_15,2,0.5457,0.5430,0.3840,0.6122,ok
duckdb,query_16,2,0.4239,0.4215,0.4905,0.8026,ok
