suite,rank,query_id,tpcds_template,runtime_s,share_of_suite_total_pct
prodds,1,query_union_U200,,170.5043,41.10
prodds,2,query_join_J200,,93.3154,22.49
prodds,3,query_join_J100,,52.3658,12.62
prodds,4,query_join_J50,,38.5508,9.29
prodds,5,query_46,Q51,21.1297,5.09
prodds,6,query_union_U20,,15.1791,3.66
prodds,7,query_union_U10,,6.9635,1.68
prodds,8,query_union_U5,,2.4382,0.59
prodds,9,query_union_U2,,0.9301,0.22
prodds,10,query_21,Q36,0.7490,0.18
tpcds,1,query_46,,0.9195,6.99
tpcds,2,query_35,,0.7899,6.01
tpcds,3,query_55,,0.7679,5.84
tpcds,4,query_21,,0.6959,5.29
tpcds,5,query_63,,0.5772,4.39
tpcds,6,query_69,,0.3514,2.67
tpcds,7,query_93,,0.3160,2.40
tpcds,8,query_68,,0.3139,2.39
tpcds,9,query_66,,0.3014,2.29
tpcds,10,query_51,,0.2997,2.28
dsb,1,agg_queries__s0_q07,,0.2527,4.04
dsb,2,agg_queries__s1_q13,,0.2238,3.58
dsb,3,multi_block_queries__s1_q00,,0.1912,3.06
dsb,4,multi_block_queries__s0_q06,,0.1812,2.90
dsb,5,multi_block_queries__s0_q01,,0.1641,2.63
dsb,6,spj_queries__s0_q07,,0.1359,2.17
dsb,7,multi_block_queries__s1_q14,,0.1316,2.11
dsb,8,multi_block_queries__s1_q17,,0.1268,2.03
dsb,9,multi_block_queries__s0_q05,,0.1218,1.95
dsb,10,spj_queries__s1_q09,,0.1185,1.89
job,1,7c,,0.4741,5.68
job,2,25c,,0.2106,2.52
job,3,20a,,0.1853,2.22
job,4,31c,,0.1729,2.07
job,5,30c,,0.1596,1.91
job,6,28a,,0.1450,1.74
job,7,18c,,0.1396,1.67
job,8,22c,,0.1395,1.67
job,9,22d,,0.1374,1.65
job,10,31a,,0.1371,1.64
redbench,1,q0624,,0.1381,2.47
redbench,2,q0170,,0.1015,1.82
redbench,3,q0162,,0.0880,1.58
redbench,4,q0752,,0.0829,1.49
redbench,5,q0432,,0.0817,1.46
redbench,6,q0166,,0.0814,1.46
redbench,7,q0668,,0.0811,1.45
redbench,8,q0636,,0.0810,1.45
redbench,9,q0244,,0.0799,1.43
redbench,10,q0839,,0.0799,1.43
