suite,query_name,median_s,share_of_suite_total_pct
prodds,query_union_U200,168.5199,40.79
prodds,query_join_J200,94.0711,22.77
prodds,query_join_J100,52.7295,12.76
prodds,query_join_J50,38.5109,9.32
prodds,query_46,20.6600,5.00
prodds,query_union_U20,15.0915,3.65
prodds,query_union_U10,6.8986,1.67
prodds,query_union_U5,2.4040,0.58
prodds,query_union_U2,0.9017,0.22
prodds,query_21,0.7054,0.17
prodds_templates,query_46,20.6600,60.76
prodds_templates,query_21,0.7054,2.07
prodds_templates,query_47,0.5161,1.52
prodds_templates,query_3,0.4741,1.39
prodds_templates,query_51,0.4260,1.25
prodds_templates,query_42,0.4116,1.21
prodds_templates,query_69,0.3748,1.10
prodds_templates,query_63,0.3465,1.02
prodds_templates,query_35,0.3252,0.96
prodds_templates,query_10,0.3224,0.95
tpcds,query_46,0.9442,7.19
tpcds,query_55,0.7873,5.99
tpcds,query_35,0.7731,5.89
tpcds,query_21,0.7381,5.62
tpcds,query_63,0.4986,3.80
tpcds,query_69,0.3533,2.69
tpcds,query_93,0.3186,2.43
tpcds,query_68,0.3103,2.36
tpcds,query_3,0.2952,2.25
tpcds,query_66,0.2944,2.24
dsb,agg_queries__s0_q07,0.2399,3.86
dsb,agg_queries__s1_q13,0.2249,3.62
dsb,multi_block_queries__s0_q01,0.1711,2.75
dsb,multi_block_queries__s0_q06,0.1563,2.51
dsb,multi_block_queries__s1_q00,0.1561,2.51
dsb,spj_queries__s0_q07,0.1540,2.48
dsb,multi_block_queries__s1_q14,0.1445,2.32
dsb,agg_queries__s1_q09,0.1243,2.00
dsb,spj_queries__s1_q09,0.1172,1.88
dsb,multi_block_queries__s0_q15,0.1157,1.86
job,7c,0.4868,5.80
job,25c,0.2027,2.41
job,31c,0.1879,2.24
job,20a,0.1712,2.04
job,30c,0.1610,1.92
job,28a,0.1485,1.77
job,16b,0.1424,1.70
job,31a,0.1410,1.68
job,22c,0.1386,1.65
job,28c,0.1378,1.64
redbench_krid,rbk_0565_ceb_8a_8a88,0.5230,0.75
redbench_krid,rbk_0108_ceb_10a_eaad1501c4f94ebaaeaf85c106d8a1553094ac1f,0.5084,0.73
redbench_krid,rbk_0754_job_7c,0.4922,0.70
redbench_krid,rbk_0043_ceb_10a_d8282df8749547ae9842873fc2f9940380f0b6b9,0.4467,0.64
redbench_krid,rbk_0039_ceb_10a_d72fe2de85ec6b418ad094b516216c1362e8a79e,0.4278,0.61
redbench_krid,rbk_0483_ceb_8a_8a478,0.3955,0.57
redbench_krid,rbk_0665_ceb_9b_f2a63fed947e434e031442dc70390e4e40fc1a64,0.3697,0.53
redbench_krid,rbk_0568_ceb_8a_8a90,0.3620,0.52
redbench_krid,rbk_0486_ceb_8a_8a480,0.3090,0.44
redbench_krid,rbk_0089_ceb_10a_e6046ace7068b6aef19777cb22406913e4a0ba57,0.2796,0.40
sqlbarber,sb_07178,0.0319,0.31
sqlbarber,sb_07309,0.0311,0.31
sqlbarber,sb_07352,0.0309,0.30
sqlbarber,sb_07363,0.0303,0.30
sqlbarber,sb_01670,0.0285,0.28
sqlbarber,sb_07041,0.0281,0.28
sqlbarber,sb_02351,0.0278,0.27
sqlbarber,sb_06334,0.0277,0.27
sqlbarber,sb_07376,0.0272,0.27
sqlbarber,sb_06104,0.0256,0.25
redbench_wehrstein_reads,q0624,0.1190,3.67
redbench_wehrstein_reads,q0170,0.0993,3.06
redbench_wehrstein_reads,q0432,0.0804,2.48
redbench_wehrstein_reads,q0867,0.0802,2.47
redbench_wehrstein_reads,q0660,0.0785,2.42
redbench_wehrstein_reads,q0621,0.0784,2.42
redbench_wehrstein_reads,q0839,0.0778,2.40
redbench_wehrstein_reads,q0244,0.0777,2.39
redbench_wehrstein_reads,q0668,0.0758,2.34
redbench_wehrstein_reads,q0699,0.0753,2.32
redbench_wehrstein_writes,q0093,0.0104,0.44
redbench_wehrstein_writes,q0046,0.0091,0.38
redbench_wehrstein_writes,q0072,0.0086,0.36
redbench_wehrstein_writes,q0027,0.0085,0.36
redbench_wehrstein_writes,q0180,0.0085,0.36
redbench_wehrstein_writes,q0078,0.0078,0.33
redbench_wehrstein_writes,q0737,0.0073,0.31
redbench_wehrstein_writes,q0049,0.0072,0.30
redbench_wehrstein_writes,q0269,0.0070,0.30
redbench_wehrstein_writes,q0385,0.0070,0.29
