repetition_bucket,variability,position_in_workload,source_path,measured_query_name,num_joins_in_user_query,num_joins_in_benchmark_query,redset_query_id
0%-10%,high_variability,1,imdb/benchmarks/ceb/10a/ffa89001847857aea332203f58817579edf17efa.sql,rbk_0196_ceb_10a_ffa89001847857aea332203f58817579edf17efa,1,6,560168
0%-10%,high_variability,2,imdb/benchmarks/ceb/1a/1a999.sql,rbk_0250_ceb_1a_1a999,4,8,548032
0%-10%,high_variability,3,imdb/benchmarks/job/17f.sql,rbk_0715_job_17f,1,6,376612
0%-10%,high_variability,4,imdb/benchmarks/job/11d.sql,rbk_0691_job_11d,2,7,32838
0%-10%,high_variability,5,imdb/benchmarks/job/16d.sql,rbk_0709_job_16d,3,7,929635
0%-10%,high_variability,6,imdb/benchmarks/job/9d.sql,rbk_0762_job_9d,2,7,808027
0%-10%,high_variability,7,imdb/benchmarks/job/12c.sql,rbk_0694_job_12c,3,7,384800
0%-10%,high_variability,8,imdb/benchmarks/ceb/9a/fff673d500e25c73a6e054e9a4e60a31e633ba47.sql,rbk_0640_ceb_9a_fff673d500e25c73a6e054e9a4e60a31e633ba47,4,8,811714
0%-10%,high_variability,9,imdb/benchmarks/ceb/3a/3a999.sql,rbk_0375_ceb_3a_3a999,5,9,451856
0%-10%,high_variability,10,imdb/benchmarks/job/8d.sql,rbk_0758_job_8d,1,6,550473
0%-10%,high_variability,11,imdb/benchmarks/ceb/8a/8a99.sql,rbk_0577_ceb_8a_8a99,8,11,328933
0%-10%,high_variability,12,imdb/benchmarks/ceb/8a/8a98.sql,rbk_0576_ceb_8a_8a98,8,11,940534
0%-10%,high_variability,13,imdb/benchmarks/job/14c.sql,rbk_0701_job_14c,2,7,510071
0%-10%,high_variability,14,imdb/benchmarks/ceb/5a/5a999.sql,rbk_0442_ceb_5a_5a999,5,9,1001226
0%-10%,high_variability,15,imdb/benchmarks/job/10c.sql,rbk_0687_job_10c,1,6,317885
0%-10%,high_variability,16,imdb/benchmarks/job/18c.sql,rbk_0718_job_18c,1,6,530774
0%-10%,high_variability,17,imdb/benchmarks/job/17e.sql,rbk_0714_job_17e,1,6,334837
0%-10%,high_variability,18,imdb/benchmarks/job/10b.sql,rbk_0686_job_10b,1,6,1432340
0%-10%,high_variability,19,imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,rbk_0195_ceb_10a_ff7e187ff73ce227ca49c7b4791037f242cdbde6,1,6,809710
0%-10%,high_variability,20,imdb/benchmarks/ceb/10a/ffa89001847857aea332203f58817579edf17efa.sql,rbk_0196_ceb_10a_ffa89001847857aea332203f58817579edf17efa,1,6,1072280
0%-10%,high_variability,21,imdb/benchmarks/job/17d.sql,rbk_0713_job_17d,1,6,1299767
0%-10%,high_variability,22,imdb/benchmarks/ceb/1a/1a998.sql,rbk_0249_ceb_1a_1a998,4,8,1400896
0%-10%,high_variability,23,imdb/benchmarks/job/16c.sql,rbk_0708_job_16c,3,7,770241
