suite,pass_id,queries_ok,sum_of_query_latencies_s,measured_pass_wall_s,harness_overhead_s
prodds,1,107,413.442,429.109,15.667
prodds,2,107,413.576,428.412,14.836
prodds,3,107,412.717,427.447,14.730
prodds,4,107,412.483,426.989,14.506
prodds,5,107,416.271,431.592,15.321
prodds,6,107,412.219,427.033,14.814
prodds,7,107,415.413,429.876,14.463
prodds,8,107,416.653,432.313,15.660
prodds,9,107,413.083,427.734,14.651
prodds,10,107,413.594,428.694,15.100
tpcds,1,99,13.165,13.200,0.035
tpcds,2,99,13.350,13.385,0.035
tpcds,3,99,13.138,13.174,0.036
tpcds,4,99,13.308,13.344,0.036
tpcds,5,99,13.015,13.049,0.034
tpcds,6,99,13.308,13.342,0.034
tpcds,7,99,13.431,13.469,0.038
tpcds,8,99,13.111,13.146,0.035
tpcds,9,99,13.329,13.362,0.033
tpcds,10,99,13.334,13.371,0.037
dsb,1,104,6.387,6.422,0.035
dsb,2,104,6.380,6.415,0.035
dsb,3,104,6.174,6.207,0.033
dsb,4,104,6.290,6.323,0.033
dsb,5,104,6.222,6.254,0.032
dsb,6,104,6.233,6.267,0.034
dsb,7,104,6.603,6.637,0.034
dsb,8,104,6.376,6.410,0.034
dsb,9,104,6.274,6.306,0.032
dsb,10,104,6.268,6.300,0.032
job,1,113,8.286,8.326,0.040
job,2,113,8.331,8.369,0.038
job,3,113,8.408,8.445,0.037
job,4,113,8.398,8.437,0.039
job,5,113,8.265,8.307,0.042
job,6,113,8.453,8.493,0.040
job,7,113,8.359,8.396,0.037
job,8,113,8.555,8.592,0.037
job,9,113,8.477,8.518,0.041
job,10,113,8.616,8.652,0.036
redbench_krid,1,763,70.714,70.990,0.276
redbench_krid,2,763,70.441,70.717,0.276
redbench_krid,3,763,70.041,70.311,0.270
redbench_krid,4,763,70.011,70.282,0.271
redbench_krid,5,763,70.182,70.456,0.274
redbench_krid,6,763,69.829,70.097,0.268
redbench_krid,7,763,69.932,70.206,0.274
redbench_krid,8,763,70.309,70.591,0.282
redbench_krid,9,763,69.326,69.671,0.345
redbench_krid,10,763,70.258,70.536,0.278
sqlbarber,1,1000,10.191,10.413,0.222
sqlbarber,2,1000,10.159,10.371,0.212
sqlbarber,3,1000,10.818,11.049,0.231
sqlbarber,4,1000,10.666,10.895,0.229
sqlbarber,5,1000,10.415,10.642,0.227
sqlbarber,6,1000,10.580,10.812,0.232
sqlbarber,7,1000,10.450,10.679,0.229
sqlbarber,8,1000,10.225,10.434,0.209
sqlbarber,9,1000,10.626,10.847,0.221
sqlbarber,10,1000,10.488,10.704,0.216
redbench_wehrstein_reads,1,62,3.169,3.187,0.018
redbench_wehrstein_reads,2,62,3.201,3.222,0.021
redbench_wehrstein_reads,3,62,3.239,3.258,0.019
redbench_wehrstein_reads,4,62,3.307,3.326,0.019
redbench_wehrstein_reads,5,62,3.253,3.274,0.021
redbench_wehrstein_reads,6,62,3.252,3.270,0.018
redbench_wehrstein_reads,7,62,3.292,3.310,0.018
redbench_wehrstein_reads,8,62,3.267,3.286,0.019
redbench_wehrstein_reads,9,62,3.166,3.185,0.019
redbench_wehrstein_reads,10,62,3.290,3.309,0.019
redbench_wehrstein_writes,1,938,2.384,2.509,0.125
