suite,query_name,outcome,n_successful_timed_runs,instance_weight,median_ms,min_ms,max_ms,iqr_ms
prodds,query_1,complete,10,1,26.166,23.522,27.841,1.763
prodds,query_10,complete,10,1,322.390,307.301,344.676,12.189
prodds,query_11,complete,10,1,50.763,49.158,59.689,5.520
prodds,query_12,complete,10,1,80.948,77.008,88.485,4.489
prodds,query_13,complete,10,1,46.414,44.313,49.059,2.043
prodds,query_14,complete,10,1,54.259,50.043,62.278,5.382
prodds,query_15,complete,10,1,51.223,47.023,59.576,1.983
prodds,query_16,complete,10,1,281.340,248.112,347.719,39.445
prodds,query_17,complete,10,1,43.459,38.159,67.788,4.477
prodds,query_18,complete,10,1,102.558,88.165,109.960,4.442
prodds,query_19,complete,10,1,130.915,122.609,139.431,13.725
prodds,query_2,complete,10,1,110.102,101.734,131.006,9.672
prodds,query_20,complete,10,1,245.157,236.575,267.223,11.192
prodds,query_21,complete,10,1,705.427,672.476,811.938,28.004
prodds,query_22,complete,10,1,95.262,78.739,142.859,24.949
prodds,query_23,complete,10,1,203.478,195.441,246.633,7.183
prodds,query_24,complete,10,1,60.710,54.724,63.325,6.144
prodds,query_25,complete,10,1,37.967,34.721,40.439,2.980
prodds,query_26,complete,10,1,179.703,170.194,188.660,10.025
prodds,query_27,complete,10,1,89.653,82.236,110.897,3.124
prodds,query_28,complete,10,1,130.615,116.279,146.525,5.883
prodds,query_29,complete,10,1,118.876,112.924,130.133,6.584
prodds,query_3,complete,10,1,474.088,455.546,501.800,21.840
prodds,query_30,complete,10,1,157.668,153.423,164.581,4.614
prodds,query_31,complete,10,1,34.562,30.201,40.699,5.833
prodds,query_32,complete,10,1,119.556,98.458,133.882,20.509
prodds,query_33,complete,10,1,123.941,102.654,139.713,13.057
prodds,query_34,complete,10,1,106.862,96.738,115.161,10.011
prodds,query_35,complete,10,1,325.156,320.961,326.840,2.821
prodds,query_36,complete,10,1,67.958,64.533,71.439,3.139
prodds,query_37,complete,10,1,103.998,97.745,113.501,9.351
prodds,query_38,complete,10,1,102.939,93.567,112.348,12.252
prodds,query_39,complete,10,1,131.950,118.202,167.714,29.547
prodds,query_4,complete,10,1,56.445,51.052,65.993,1.139
prodds,query_40,complete,10,1,18.557,15.959,22.948,2.519
prodds,query_41,complete,10,1,264.403,229.575,286.553,18.885
prodds,query_42,complete,10,1,411.576,390.540,432.539,19.916
prodds,query_43,complete,10,1,234.647,195.544,248.409,34.347
prodds,query_44,complete,10,1,39.691,34.056,42.333,3.095
prodds,query_45,complete,10,1,104.303,89.243,136.620,12.252
prodds,query_46,complete,10,1,20659.992,20453.617,20757.528,124.755
prodds,query_47,complete,10,1,516.146,458.942,602.222,30.263
prodds,query_48,complete,10,1,202.077,189.498,257.840,8.981
prodds,query_49,complete,10,1,69.498,66.418,75.720,1.532
prodds,query_5,complete,10,1,98.818,91.832,105.994,7.544
prodds,query_50,complete,10,1,71.544,65.284,90.858,11.217
prodds,query_51,complete,10,1,425.960,417.136,443.571,14.124
prodds,query_52,complete,10,1,113.282,107.705,118.772,5.704
prodds,query_53,complete,10,1,137.347,126.218,150.075,8.381
prodds,query_54,complete,10,1,116.569,102.343,138.673,6.709
prodds,query_55,complete,10,1,294.762,289.779,303.406,7.473
prodds,query_56,complete,10,1,69.143,66.113,77.956,4.098
prodds,query_57,complete,10,1,74.270,64.445,84.137,11.324
prodds,query_58,complete,10,1,81.025,72.055,87.961,6.258
prodds,query_59,complete,10,1,102.662,84.986,106.508,13.943
prodds,query_6,complete,10,1,106.148,99.139,124.302,6.106
prodds,query_60,complete,10,1,86.311,84.742,107.823,3.805
prodds,query_61,complete,10,1,58.532,55.571,63.607,2.967
prodds,query_62,complete,10,1,31.332,29.785,33.557,0.873
prodds,query_63,complete,10,1,346.489,339.409,395.153,14.742
prodds,query_64,complete,10,1,31.123,26.597,43.023,4.121
prodds,query_65,complete,10,1,28.789,25.921,47.783,1.023
prodds,query_66,complete,10,1,156.946,153.759,171.333,6.628
prodds,query_67,complete,10,1,26.366,25.184,28.331,1.302
prodds,query_68,complete,10,1,134.375,131.681,138.415,1.742
prodds,query_69,complete,10,1,374.819,363.958,406.814,6.334
prodds,query_7,complete,10,1,48.976,45.518,96.607,5.735
prodds,query_70,complete,10,1,181.908,159.781,232.392,6.670
prodds,query_71,complete,10,1,182.787,178.546,199.446,6.123
prodds,query_72,complete,10,1,121.945,110.840,127.835,10.303
prodds,query_73,complete,10,1,65.835,60.725,77.926,4.268
prodds,query_74,complete,10,1,92.191,90.926,102.067,5.299
prodds,query_75,complete,10,1,41.858,37.614,51.944,6.370
prodds,query_76,complete,10,1,151.887,138.815,167.958,10.523
prodds,query_77,complete,10,1,113.251,97.499,127.504,7.609
prodds,query_78,complete,10,1,50.561,47.149,54.566,4.714
prodds,query_79,complete,10,1,43.556,41.434,45.512,1.629
prodds,query_8,complete,10,1,81.960,79.968,85.490,2.967
prodds,query_80,complete,10,1,23.324,21.279,27.058,2.481
prodds,query_81,complete,10,1,105.887,100.023,113.264,4.675
prodds,query_82,complete,10,1,44.310,42.433,50.485,1.807
prodds,query_83,complete,10,1,65.117,61.077,69.482,5.456
prodds,query_84,complete,10,1,92.796,89.904,100.372,4.931
prodds,query_85,complete,10,1,120.037,111.970,150.583,14.800
prodds,query_86,complete,10,1,91.072,87.917,93.686,2.719
prodds,query_87,complete,10,1,309.721,290.223,324.853,10.150
prodds,query_88,complete,10,1,108.037,91.498,118.979,8.779
prodds,query_89,complete,10,1,69.039,63.117,75.616,2.027
prodds,query_9,complete,10,1,174.290,165.885,190.346,8.281
