suite,query_id,latency_ms,status,n_rows,error
prodds,query_1,26.071,ok,1,
prodds,query_10,327.774,ok,10000,
prodds,query_11,49.026,ok,175,
prodds,query_12,86.146,ok,100,
prodds,query_13,45.457,ok,14,
prodds,query_14,69.273,ok,4769,
prodds,query_15,51.196,ok,2,
prodds,query_16,268.569,ok,9925,
prodds,query_17,51.926,ok,1,
prodds,query_18,97.244,ok,224,
prodds,query_19,128.581,ok,48,
prodds,query_2,103.405,ok,15455,
prodds,query_20,255.922,ok,583,
prodds,query_21,748.987,ok,167,
prodds,query_22,95.204,ok,977,
prodds,query_23,203.610,ok,8,
prodds,query_24,60.180,ok,20,
prodds,query_25,39.265,ok,1,
prodds,query_26,183.725,ok,40,
prodds,query_27,81.246,ok,1000,
prodds,query_28,130.942,ok,785,
prodds,query_29,138.625,ok,100,
prodds,query_3,525.758,ok,3109,
prodds,query_30,163.361,ok,17885,
prodds,query_31,33.682,ok,1,
prodds,query_32,119.385,ok,15104,
prodds,query_33,107.361,ok,10,
prodds,query_34,109.593,ok,7,
prodds,query_35,322.285,ok,1104,
prodds,query_36,72.512,ok,1,
prodds,query_37,91.361,ok,248,
prodds,query_38,97.972,ok,1,
prodds,query_39,119.967,ok,10,
prodds,query_4,57.456,ok,2,
prodds,query_40,20.901,ok,1,
prodds,query_41,269.471,ok,14692,
prodds,query_42,453.634,ok,44835,
prodds,query_43,247.780,ok,1,
prodds,query_44,45.691,ok,1,
prodds,query_45,99.058,ok,14533,
prodds,query_46,21129.748,ok,4569620,
prodds,query_47,533.988,ok,9387,
prodds,query_48,191.684,ok,106215,
prodds,query_49,70.761,ok,1,
prodds,query_5,96.237,ok,2433,
prodds,query_50,71.610,ok,139,
prodds,query_51,409.568,ok,67,
prodds,query_52,109.313,ok,4081,
prodds,query_53,129.410,ok,10410,
prodds,query_54,122.281,ok,1,
prodds,query_55,302.432,ok,16306,
prodds,query_56,72.227,ok,2200,
prodds,query_57,89.234,ok,90,
prodds,query_58,76.408,ok,3,
prodds,query_59,89.915,ok,5423,
prodds,query_6,114.657,ok,448,
prodds,query_60,89.547,ok,11,
prodds,query_61,66.694,ok,31,
prodds,query_62,32.381,ok,4,
prodds,query_63,347.603,ok,1,
prodds,query_64,40.297,ok,132,
prodds,query_65,24.808,ok,91,
prodds,query_66,164.198,ok,1,
prodds,query_67,26.446,ok,1,
prodds,query_68,136.342,ok,1,
prodds,query_69,364.235,ok,14157,
prodds,query_7,43.427,ok,1,
prodds,query_70,159.182,ok,9129,
prodds,query_71,185.303,ok,10000,
prodds,query_72,126.960,ok,10083,
prodds,query_73,64.983,ok,897,
prodds,query_74,92.538,ok,1,
prodds,query_75,39.618,ok,1,
prodds,query_76,150.405,ok,855,
prodds,query_77,117.238,ok,1,
prodds,query_78,50.828,ok,66,
prodds,query_79,43.471,ok,8,
prodds,query_8,82.075,ok,4095,
prodds,query_80,24.902,ok,297,
prodds,query_81,108.984,ok,1,
prodds,query_82,41.983,ok,496,
prodds,query_83,62.848,ok,1850,
prodds,query_84,99.039,ok,2513,
prodds,query_85,151.645,ok,2448,
prodds,query_86,94.781,ok,5228,
prodds,query_87,334.875,ok,1198,
prodds,query_88,114.981,ok,1541,
prodds,query_89,79.082,ok,684,
prodds,query_9,172.443,ok,17156,
prodds,query_90,92.320,ok,5,
prodds,query_91,118.225,ok,1,
prodds,query_92,95.794,ok,1,
prodds,query_93,233.482,ok,15,
prodds,query_94,121.851,ok,12,
prodds,query_95,56.453,ok,1,
prodds,query_96,93.465,ok,824,
prodds,query_97,79.085,ok,1,
prodds,query_98,99.714,ok,805,
prodds,query_99,77.602,ok,653,
prodds,query_join_J100,52365.768,ok,2875432,
prodds,query_join_J200,93315.403,ok,2875432,
prodds,query_join_J50,38550.758,ok,2875432,
prodds,query_union_U10,6963.500,ok,3541651,
prodds,query_union_U2,930.099,ok,490088,
prodds,query_union_U20,15179.082,ok,7674881,
prodds,query_union_U200,170504.275,ok,87390461,
prodds,query_union_U5,2438.177,ok,1264259,
tpcds,query_1,15.891,ok,1,
tpcds,query_10,178.116,ok,100,
tpcds,query_11,36.125,ok,100,
tpcds,query_12,49.747,ok,100,
tpcds,query_13,31.103,ok,23,
tpcds,query_14,25.264,ok,100,
tpcds,query_15,38.123,ok,17,
tpcds,query_16,152.755,ok,100,
tpcds,query_17,47.542,ok,1,
tpcds,query_18,104.164,ok,36,
tpcds,query_19,54.965,ok,4,
tpcds,query_2,69.395,ok,100,
tpcds,query_20,221.461,ok,18,
tpcds,query_21,695.887,ok,100,
tpcds,query_22,49.031,ok,100,
tpcds,query_23,187.188,ok,100,
tpcds,query_24,47.658,ok,100,
tpcds,query_25,32.054,ok,1,
tpcds,query_26,70.261,ok,100,
tpcds,query_27,31.110,ok,100,
tpcds,query_28,79.249,ok,100,
tpcds,query_29,54.187,ok,100,
tpcds,query_3,275.283,ok,100,
tpcds,query_30,171.529,ok,100,
tpcds,query_31,95.429,ok,100,
tpcds,query_32,101.294,ok,15243,
tpcds,query_33,68.517,ok,13,
tpcds,query_34,71.541,ok,8,
tpcds,query_35,789.908,ok,100,
tpcds,query_36,80.947,ok,1,
tpcds,query_37,107.607,ok,100,
tpcds,query_38,112.322,ok,1,
tpcds,query_39,72.671,ok,10,
tpcds,query_4,39.991,ok,3,
