str_level,query_id,median_ms,runs_success
str1,query_1,776.5,10
str1,query_2,1394.0,10
str1,query_union_U2,1257.0,10
str1,query_3,6518.0,10
str1,query_4,796.5,10
str1,query_union_U4,1772.0,10
str1,query_5,796.0,10
str1,query_6,2027.5,10
str1,query_7,612.0,10
str1,query_8,1420.5,10
str1,query_union_U8,3047.0,10
str1,query_9,1451.5,10
str1,query_10,3633.0,10
str1,query_11,792.0,10
str1,query_12,978.5,10
str1,query_13,562.5,10
str1,query_14,643.0,10
str1,query_15,513.5,10
str1,query_16,1734.5,10
str1,query_union_U16,6825.5,10
str1,query_17,802.5,10
str1,query_18,812.0,10
str1,query_19,1375.0,10
str1,query_20,2381.5,10
str1,query_21,1219.5,10
str1,query_22,1242.5,10
str1,query_23,1828.5,10
str1,query_24,699.0,10
str1,query_25,705.0,10
str1,query_26,1043.5,10
str1,query_27,934.5,10
str1,query_28,1138.5,10
str1,query_29,1359.5,10
str1,query_30,1384.5,10
str1,query_31,498.0,10
str1,query_32,1069.0,10
str1,query_union_U32,12192.0,10
str1,query_33,960.5,10
str1,query_34,1142.0,10
str1,query_35,8941.5,10
str1,query_36,1631.5,10
str1,query_37,858.0,10
str1,query_38,1527.5,10
str1,query_39,1787.0,10
str1,query_40,548.0,10
str1,query_41,1337.5,10
str1,query_42,1979.0,10
str1,query_43,1568.5,10
str1,query_44,713.5,10
str1,query_45,992.5,10
str1,query_46,3939.5,10
str1,query_47,1656.5,10
str1,query_48,2028.5,10
str1,query_49,1157.0,10
str1,query_50,997.0,10
str1,query_51,1785.5,10
str1,query_52,2395.5,10
str1,query_53,1459.0,10
str1,query_54,1117.0,10
str1,query_55,3648.0,10
str1,query_56,994.0,10
str1,query_57,589.5,10
str1,query_58,574.0,10
str1,query_59,1257.0,10
str1,query_60,592.0,10
str1,query_61,971.5,10
str1,query_62,470.0,10
str1,query_63,833.0,10
str1,query_64,442.5,10
str1,query_union_U64,29549.5,10
str1,query_65,474.0,10
str1,query_66,1300.5,10
str1,query_67,840.0,10
str1,query_68,1570.0,10
str1,query_69,4652.5,10
str1,query_70,1491.0,10
str1,query_71,1755.5,10
str1,query_72,1365.0,10
str1,query_73,939.5,10
str1,query_74,1148.5,10
str1,query_75,638.0,10
str1,query_76,1534.5,10
str1,query_77,1194.5,10
str1,query_78,1135.0,10
str1,query_79,1016.0,10
str1,query_80,513.0,10
str1,query_81,773.0,10
str1,query_82,859.0,10
str1,query_83,1296.0,10
str1,query_84,891.0,10
str1,query_85,699.5,10
str1,query_86,724.0,10
str1,query_87,1041.5,10
str1,query_88,474.0,10
str1,query_89,456.0,10
str1,query_90,691.5,10
str1,query_91,1390.0,10
str1,query_92,492.0,10
str1,query_93,2461.5,10
str1,query_94,764.5,10
str1,query_95,1222.5,10
str1,query_96,677.0,10
str1,query_97,1405.0,10
str1,query_98,1349.0,10
str1,query_99,1250.0,10
str1,query_union_U128,48122.5,10
str2,query_1,827.0,10
str2,query_2,1313.0,10
str2,query_union_U2,1191.5,10
str2,query_3,6433.0,10
str2,query_4,706.0,10
str2,query_union_U4,1639.5,10
str2,query_5,786.0,10
str2,query_6,1946.0,10
str2,query_7,607.0,10
str2,query_8,1222.0,10
str2,query_union_U8,3073.5,10
str2,query_9,1320.5,10
str2,query_10,3518.0,10
str2,query_11,857.5,10
str2,query_12,1070.5,10
str2,query_13,588.0,10
