suite,engine,query_name,median_s,n_success
prodds,duckdb,query_1.sql,0.527500,10
prodds,duckdb,query_2.sql,0.984000,10
prodds,duckdb,query_3.sql,5.811500,10
prodds,duckdb,query_4.sql,0.646500,10
prodds,duckdb,query_5.sql,0.563500,10
prodds,duckdb,query_6.sql,1.735000,10
prodds,duckdb,query_7.sql,0.350500,10
prodds,duckdb,query_8.sql,1.083000,10
prodds,duckdb,query_9.sql,1.934000,10
prodds,duckdb,query_10.sql,2.889000,10
prodds,duckdb,query_11.sql,0.579000,10
prodds,duckdb,query_12.sql,0.668500,10
prodds,duckdb,query_13.sql,0.349000,10
prodds,duckdb,query_14.sql,0.400000,10
prodds,duckdb,query_15.sql,0.599500,10
prodds,duckdb,query_17.sql,0.569000,10
prodds,duckdb,query_18.sql,0.715000,10
prodds,duckdb,query_20.sql,2.544500,10
prodds,duckdb,query_21.sql,1.151500,10
prodds,duckdb,query_22.sql,0.952500,10
prodds,duckdb,query_23.sql,1.510000,10
prodds,duckdb,query_24.sql,0.601500,10
prodds,duckdb,query_25.sql,0.487000,10
prodds,duckdb,query_26.sql,0.906000,10
prodds,duckdb,query_27.sql,0.872500,10
prodds,duckdb,query_28.sql,0.772000,10
prodds,duckdb,query_30.sql,1.219500,10
prodds,duckdb,query_31.sql,0.600000,10
prodds,duckdb,query_32.sql,0.766000,10
prodds,duckdb,query_33.sql,0.703000,10
prodds,duckdb,query_35.sql,3.276000,10
prodds,duckdb,query_36.sql,1.137500,10
prodds,duckdb,query_37.sql,0.902000,10
prodds,duckdb,query_39.sql,1.710500,10
prodds,duckdb,query_40.sql,0.372500,10
prodds,duckdb,query_41.sql,2.396000,10
prodds,duckdb,query_42.sql,2.171000,10
prodds,duckdb,query_43.sql,2.278000,10
prodds,duckdb,query_44.sql,0.493500,10
prodds,duckdb,query_45.sql,0.911500,10
prodds,duckdb,query_46.sql,5.622500,10
prodds,duckdb,query_47.sql,1.249500,10
prodds,duckdb,query_48.sql,1.717500,10
prodds,duckdb,query_49.sql,0.915500,10
prodds,duckdb,query_50.sql,0.941500,10
prodds,duckdb,query_51.sql,1.650500,10
prodds,duckdb,query_52.sql,2.067000,10
prodds,duckdb,query_53.sql,2.182000,10
prodds,duckdb,query_54.sql,0.913500,10
prodds,duckdb,query_55.sql,1.110500,10
prodds,duckdb,query_56.sql,0.945000,10
prodds,duckdb,query_57.sql,0.468500,10
prodds,duckdb,query_58.sql,0.677500,10
prodds,duckdb,query_59.sql,0.898000,10
prodds,duckdb,query_60.sql,1.231000,10
prodds,duckdb,query_61.sql,0.849000,10
prodds,duckdb,query_62.sql,0.336000,10
prodds,duckdb,query_63.sql,0.986500,10
prodds,duckdb,query_64.sql,0.379000,10
prodds,duckdb,query_65.sql,0.312500,10
