suite,engine,run_idx,n_queries,total_time_s
prodds,cedardb,1,90,34.572783
prodds,cedardb,10,90,34.521587
prodds,cedardb,2,90,38.765872
prodds,cedardb,3,90,34.550618
prodds,cedardb,4,90,35.024064
prodds,cedardb,5,90,34.329359
prodds,cedardb,6,90,34.356523
prodds,cedardb,7,90,34.414994
prodds,cedardb,8,90,34.260872
prodds,cedardb,9,90,34.344311
prodds,duckdb,1,90,114.884041
prodds,duckdb,10,90,111.154514
prodds,duckdb,2,90,112.321005
prodds,duckdb,3,90,114.792812
prodds,duckdb,4,90,112.098733
prodds,duckdb,5,90,112.215637
prodds,duckdb,6,90,110.995584
prodds,duckdb,7,90,111.191129
prodds,duckdb,8,90,111.442403
prodds,duckdb,9,90,110.832568
prodds,monetdb,1,90,1438.437969
prodds,monetdb,10,90,1508.442025
prodds,monetdb,2,90,1574.308918
prodds,monetdb,3,90,1471.208524
prodds,monetdb,4,90,1464.710194
prodds,monetdb,5,90,1485.028730
prodds,monetdb,6,90,1497.981770
prodds,monetdb,7,90,1492.113884
prodds,monetdb,8,90,1497.361356
prodds,monetdb,9,90,1468.467447
tpcds,cedardb,1,98,3.693693
tpcds,cedardb,10,98,3.715778
tpcds,cedardb,2,98,3.830772
tpcds,cedardb,3,98,3.795996
tpcds,cedardb,4,98,3.737319
tpcds,cedardb,5,98,3.706017
tpcds,cedardb,6,98,3.713302
tpcds,cedardb,7,98,3.752250
tpcds,cedardb,8,98,3.779007
tpcds,cedardb,9,98,3.723145
tpcds,duckdb,1,98,105.983409
tpcds,duckdb,10,98,105.539357
tpcds,duckdb,2,98,104.283738
tpcds,duckdb,3,98,104.697960
tpcds,duckdb,4,98,103.761564
tpcds,duckdb,5,98,104.420936
tpcds,duckdb,6,98,104.786510
tpcds,duckdb,7,98,105.249982
tpcds,duckdb,8,98,105.298566
tpcds,duckdb,9,98,106.788896
tpcds,monetdb,1,98,1391.339489
tpcds,monetdb,10,98,1388.833876
tpcds,monetdb,2,98,1387.650102
tpcds,monetdb,3,98,1415.419445
tpcds,monetdb,4,98,1409.526499
tpcds,monetdb,5,98,1384.645360
tpcds,monetdb,6,98,1388.891245
tpcds,monetdb,7,98,1357.319554
tpcds,monetdb,8,98,1428.649252
tpcds,monetdb,9,98,1467.151150
