engine,join_level,median_planning_ms,median_execution_ms,median_total_ms,mean_total_ms,stddev_total_ms,n_success,n_fail,attempted
duckdb,16,261.500,2960.000,3197.000,3218.500,65.538,10,0,yes
duckdb,32,308.000,3769.500,4055.500,4037.700,75.823,10,0,yes
duckdb,64,321.000,6131.000,6420.500,6407.600,61.194,10,0,yes
duckdb,128,283.500,10930.000,11225.500,11228.300,68.396,10,0,yes
duckdb,256,434.000,20458.500,20904.000,20892.400,151.141,10,0,yes
duckdb,512,597.000,39284.000,39903.500,39946.300,219.143,10,0,yes
duckdb,1024,1354.500,75599.000,76945.500,77015.700,507.713,10,0,yes
duckdb,2048,4036.500,159850.500,163902.000,163550.400,1701.385,10,0,yes
cedardb,16,43.000,833160.000,833202.500,834239.000,24637.730,10,0,yes
cedardb,32,46.000,854212.500,854258.000,856583.300,21178.470,10,0,yes
cedardb,64,54.000,940261.000,940314.000,937523.300,13144.667,10,0,yes
cedardb,128,72.500,1135329.500,1135408.000,1132457.800,16958.049,10,0,yes
cedardb,256,,,,,,0,1,yes
cedardb,512,,,,,,0,0,no
cedardb,1024,,,,,,0,0,no
cedardb,2048,,,,,,0,0,no
monetdb,16,35.000,440126.500,440161.000,440562.800,3078.517,10,0,yes
monetdb,32,37.500,459248.500,459286.500,454317.000,11565.303,10,0,yes
monetdb,64,46.000,526654.500,526700.500,522658.100,9810.430,10,0,yes
monetdb,128,63.000,666346.500,666408.500,658406.600,19425.255,10,0,yes
monetdb,256,,,,,,0,1,yes
monetdb,512,,,,,,0,0,no
monetdb,1024,,,,,,0,0,no
monetdb,2048,,,,,,0,0,no
