engine,union_level,median_planning_ms,median_execution_ms,median_total_ms,mean_total_ms,stddev_total_ms,n_success,n_fail,attempted
duckdb,2,223.000,945.000,1202.500,1208.100,61.098,10,0,yes
duckdb,4,292.500,1427.000,1717.500,1694.900,48.439,10,0,yes
duckdb,8,217.000,3130.000,3364.000,3376.400,78.460,10,0,yes
duckdb,16,218.000,8279.000,8531.000,8579.100,229.858,10,0,yes
duckdb,32,240.000,16205.500,16467.000,16515.400,213.036,10,0,yes
duckdb,64,368.500,31964.500,32333.000,32226.600,475.051,10,0,yes
duckdb,128,590.500,56357.500,56929.000,57014.600,443.246,10,0,yes
duckdb,256,1450.000,106432.500,107867.000,108032.000,1707.515,10,0,yes
duckdb,512,5228.000,225180.500,230402.000,230476.200,6225.745,10,0,yes
duckdb,1024,10502.000,468074.500,478628.000,477067.900,9665.031,10,0,yes
duckdb,2048,46378.500,1007002.000,1054234.500,1071252.900,53508.195,10,0,yes
cedardb,2,37.000,9650.000,9687.500,9673.100,305.848,10,0,yes
cedardb,4,38.000,19108.500,19147.500,18952.800,634.468,10,0,yes
cedardb,8,37.500,43370.500,43408.000,43321.700,1242.983,10,0,yes
cedardb,16,38.000,119175.500,119213.500,118773.500,1590.780,10,0,yes
cedardb,32,38.500,266122.500,266161.000,266010.500,3725.426,10,0,yes
cedardb,64,42.000,569198.000,569242.000,572341.000,17863.020,10,0,yes
cedardb,128,,,,,,0,1,yes
cedardb,256,,,,,,0,0,no
cedardb,512,,,,,,0,0,no
cedardb,1024,,,,,,0,0,no
cedardb,2048,,,,,,0,0,no
monetdb,2,19.500,10381.000,10401.500,10915.800,822.651,10,0,yes
monetdb,4,21.000,21369.500,21390.500,21458.200,462.608,10,0,yes
monetdb,8,20.500,50058.000,50078.000,49720.800,1391.652,10,0,yes
monetdb,16,26.000,128315.000,128341.000,128905.000,2808.949,10,0,yes
monetdb,32,24.000,267463.000,267487.000,267003.400,7514.693,10,0,yes
monetdb,64,27.500,558975.000,559002.500,559717.200,12725.930,10,0,yes
monetdb,128,38.000,1659995.000,1660035.000,1665331.700,39266.923,10,0,yes
monetdb,256,,,,,,0,1,yes
monetdb,512,,,,,,0,0,no
monetdb,1024,,,,,,0,0,no
monetdb,2048,,,,,,0,0,no
