str_level,query_id,median_ms,runs_success
str1,query_1,187.5,10
str1,query_2,393.0,10
str1,query_union_U2,240.0,10
str1,query_3,881.5,10
str1,query_4,314.5,10
str1,query_5,302.0,10
str1,query_union_U5,306.0,10
str1,query_6,355.0,10
str1,query_7,187.0,10
str1,query_8,361.5,10
str1,query_9,262.5,10
str1,query_10,576.0,10
str1,query_union_U10,594.5,10
str1,query_11,291.5,10
str1,query_12,274.0,10
str1,query_13,206.0,10
str1,query_14,245.0,10
str1,query_15,187.0,10
str1,query_16,435.5,10
str1,query_17,279.0,10
str1,query_18,311.5,10
str1,query_19,330.5,10
str1,query_20,438.0,10
str1,query_union_U20,1079.5,10
str1,query_21,996.5,10
str1,query_22,335.0,10
str1,query_23,728.0,10
str1,query_24,278.0,10
str1,query_25,224.5,10
str1,query_26,341.5,10
str1,query_27,249.5,10
str1,query_28,328.0,10
str1,query_29,433.0,10
str1,query_30,310.5,10
str1,query_31,220.0,10
str1,query_32,274.0,10
str1,query_33,297.0,10
str1,query_34,357.5,10
str1,query_35,1203.5,10
str1,query_36,364.5,10
str1,query_37,337.5,10
str1,query_38,319.5,10
str1,query_39,437.5,10
str1,query_40,186.5,10
str1,query_41,400.5,10
str1,query_42,743.5,10
str1,query_43,490.0,10
str1,query_44,227.5,10
str1,query_45,325.0,10
str1,query_46,1239.5,10
str1,query_47,582.0,10
str1,query_48,469.0,10
str1,query_49,250.0,10
str1,query_50,332.5,10
str1,query_join_J50,1051.5,10
str1,query_51,529.5,10
str1,query_52,230.0,10
str1,query_53,372.5,10
str1,query_54,333.0,10
str1,query_55,1416.0,10
str1,query_56,314.5,10
str1,query_57,254.0,10
str1,query_58,240.5,10
str1,query_59,390.0,10
str1,query_60,281.0,10
str1,query_61,346.5,10
str1,query_62,217.5,10
str1,query_63,497.5,10
str1,query_64,182.5,10
str1,query_65,177.5,10
str1,query_66,329.0,10
str1,query_67,280.0,10
str1,query_68,495.0,10
str1,query_69,650.0,10
str1,query_70,530.0,10
str1,query_71,473.0,10
str1,query_72,420.5,10
str1,query_73,324.0,10
str1,query_74,354.5,10
str1,query_75,285.5,10
str1,query_76,394.0,10
str1,query_77,367.5,10
str1,query_78,250.0,10
str1,query_79,267.0,10
str1,query_80,205.5,10
str1,query_81,283.0,10
str1,query_82,244.5,10
str1,query_83,356.0,10
str1,query_84,313.0,10
str1,query_85,278.5,10
str1,query_86,220.0,10
str1,query_87,375.5,10
str1,query_88,205.0,10
str1,query_89,181.5,10
str1,query_90,226.5,10
str1,query_91,376.0,10
str1,query_92,225.5,10
str1,query_93,653.0,10
str1,query_94,283.0,10
str1,query_95,373.0,10
str1,query_96,266.0,10
str1,query_97,370.0,10
str1,query_98,278.0,10
str1,query_99,396.5,10
str1,query_join_J100,1597.0,10
str1,query_join_J200,2737.0,10
str1,query_union_U200,10677.0,10
str10,query_1,259.5,10
str10,query_2,509.0,10
str10,query_union_U2,302.0,10
str10,query_3,1083.0,10
str10,query_4,366.0,10
str10,query_5,379.0,10
str10,query_union_U5,393.0,10
str10,query_6,435.5,10
str10,query_7,253.0,10
str10,query_8,421.0,10
str10,query_9,357.0,10
str10,query_10,710.5,10
str10,query_union_U10,686.0,10
str10,query_11,353.5,10
str10,query_12,327.5,10
str10,query_13,267.0,10
str10,query_14,312.5,10
str10,query_15,217.5,10
str10,query_16,497.0,10
str10,query_17,323.5,10
str10,query_18,353.0,10
str10,query_19,392.0,10
str10,query_20,589.0,10
str10,query_union_U20,1268.5,10
str10,query_21,1023.0,10
str10,query_22,467.0,10
str10,query_23,704.0,10
str10,query_24,309.5,10
str10,query_25,267.5,10
str10,query_26,446.5,10
