variant,tier,engine,query_id,median_ms,n_success
baseline,medium,cedardb,query_1,55.5,10
baseline,medium,cedardb,query_2,1460.5,10
baseline,medium,cedardb,query_3,1449.0,10
baseline,medium,cedardb,query_4,116.0,10
baseline,medium,cedardb,query_5,229.0,10
baseline,medium,cedardb,query_6,523.5,10
baseline,medium,cedardb,query_7,217.0,10
baseline,medium,cedardb,query_8,675.5,10
baseline,medium,cedardb,query_9,2699.0,10
baseline,medium,cedardb,query_10,2178.0,10
baseline,medium,cedardb,query_11,174.0,10
baseline,medium,cedardb,query_12,146.0,10
baseline,medium,cedardb,query_13,81.0,10
baseline,medium,cedardb,query_14,184.5,10
baseline,medium,cedardb,query_15,103.0,10
baseline,medium,cedardb,query_17,72.5,10
baseline,medium,cedardb,query_18,154.5,10
baseline,medium,cedardb,query_20,913.5,10
baseline,medium,cedardb,query_21,478.0,10
baseline,medium,cedardb,query_22,400.5,10
baseline,medium,cedardb,query_23,210.5,10
baseline,medium,cedardb,query_24,220.0,10
baseline,medium,cedardb,query_25,81.0,10
baseline,medium,cedardb,query_26,206.5,10
baseline,medium,cedardb,query_27,242.5,10
baseline,medium,cedardb,query_28,174.0,10
baseline,medium,cedardb,query_30,479.5,10
baseline,medium,cedardb,query_31,167.0,10
baseline,medium,cedardb,query_32,590.0,10
baseline,medium,cedardb,query_33,141.0,10
baseline,medium,cedardb,query_35,3000.0,10
baseline,medium,cedardb,query_36,384.5,10
baseline,medium,cedardb,query_37,424.0,10
baseline,medium,cedardb,query_39,94.5,10
baseline,medium,cedardb,query_40,93.0,10
baseline,medium,cedardb,query_41,2860.0,10
baseline,medium,cedardb,query_42,1409.5,10
baseline,medium,cedardb,query_43,104.0,10
baseline,medium,cedardb,query_44,157.0,10
baseline,medium,cedardb,query_45,482.0,10
baseline,medium,cedardb,query_46,2218.0,10
baseline,medium,cedardb,query_47,3869.5,10
baseline,medium,cedardb,query_48,798.5,10
baseline,medium,cedardb,query_49,263.0,10
baseline,medium,cedardb,query_50,218.0,10
baseline,medium,cedardb,query_51,912.0,10
baseline,medium,cedardb,query_52,496.5,10
baseline,medium,cedardb,query_53,1910.0,10
baseline,medium,cedardb,query_54,2526.5,10
baseline,medium,cedardb,query_55,4495.0,10
baseline,medium,cedardb,query_56,324.5,10
baseline,medium,cedardb,query_57,101.5,10
baseline,medium,cedardb,query_58,256.5,10
baseline,medium,cedardb,query_59,387.0,10
baseline,medium,cedardb,query_60,262.5,10
