variant,tier,engine,delta_pct,se_pct,n_common
sparsity_only,medium,duckdb,-2.1,0.6,94
sparsity_only,medium,cedardb,-0.9,0.6,94
sparsity_only,medium,monetdb,-0.1,0.8,94
skew_only,medium,duckdb,-0.6,0.5,94
skew_only,medium,cedardb,-0.8,0.4,94
skew_only,medium,monetdb,-1.0,0.8,94
keyskew_only,medium,duckdb,-3.7,0.7,94
keyskew_only,medium,cedardb,-1.8,0.6,94
keyskew_only,medium,monetdb,-2.4,1.3,94
skew_all,medium,duckdb,-2.1,0.8,94
skew_all,medium,cedardb,-2.2,0.8,94
skew_all,medium,monetdb,-7.2,2.4,94
combined,medium,duckdb,+2.1,1.0,94
combined,medium,cedardb,-2.6,1.1,94
combined,medium,monetdb,-4.7,1.8,94
full,medium,duckdb,-2.6,0.8,94
full,medium,cedardb,-2.9,1.7,94
full,medium,monetdb,-8.1,3.8,94
