engine,query,sql_joins,plan_joins,plan_over_sql,plan_join_operators,error
cedardb,query_1,3,3,1.000,hashjoin=3,
cedardb,query_10,8,8,1.000,hashjoin=8,
cedardb,query_11,2,2,1.000,hashjoin=2,
cedardb,query_12,4,4,1.000,hashjoin=4,
cedardb,query_13,6,6,1.000,hashjoin=6,
cedardb,query_14,3,3,1.000,hashjoin=3,
cedardb,query_15,2,2,1.000,hashjoin=2,
cedardb,query_16,4,,,,"ERROR:  distinct aggregate function count not supported in grouping sets
DETAIL:  at:        count(distinct i_product_name) *error*  as distinct_product_name_count,"
cedardb,query_17,3,5,1.667,hashjoin=5,
cedardb,query_18,4,4,1.000,hashjoin=4,
cedardb,query_19,8,,,,"ERROR:  aggregate functions are not allowed here
DETAIL:  at:       ,max(cast((select max(d_date) *error*  from date_dim where d_week_seq = (select d_week_seq from date_dim where d_date = '2001-02-07'"
cedardb,query_2,4,4,1.000,hashjoin=4,
cedardb,query_20,19,19,1.000,hashjoin=8 indexnljoin=11,
cedardb,query_21,3,3,1.000,hashjoin=3,
cedardb,query_22,9,12,1.333,hashjoin=12,
cedardb,query_23,6,6,1.000,hashjoin=6,
cedardb,query_24,4,4,1.000,hashjoin=4,
cedardb,query_25,3,5,1.667,hashjoin=5,
cedardb,query_26,5,8,1.600,hashjoin=8,
cedardb,query_27,3,3,1.000,hashjoin=3,
cedardb,query_28,5,8,1.600,hashjoin=7 indexnljoin=1,
cedardb,query_29,9,,,,"ERROR:  aggregate functions are not allowed here
DETAIL:  at:  ,min((select min(d_date) *error*  from date_dim where d_year = 2000 and d_moy = 8)) as min_sales_date"
cedardb,query_3,10,10,1.000,hashjoin=10,
cedardb,query_30,6,6,1.000,hashjoin=6,
cedardb,query_31,3,3,1.000,hashjoin=3,
cedardb,query_32,2,2,1.000,hashjoin=2,
cedardb,query_33,7,7,1.000,hashjoin=7,
cedardb,query_34,4,,,,"ERROR:  distinct aggregate function count not supported in grouping sets
DETAIL:  at:   ,count(distinct s_store_name) *error*  as distinct_store_name_count"
cedardb,query_35,3,3,1.000,hashjoin=3,
cedardb,query_36,5,5,1.000,singletonjoin=5,
cedardb,query_37,4,5,1.250,hashjoin=5,
cedardb,query_38,3,3,1.000,hashjoin=3,
cedardb,query_39,8,8,1.000,hashjoin=8,
cedardb,query_4,3,3,1.000,hashjoin=1 indexnljoin=2,
cedardb,query_40,7,7,1.000,hashjoin=6 singletonjoin=1,
cedardb,query_41,7,7,1.000,hashjoin=4 indexnljoin=3,
cedardb,query_42,5,4,0.800,hashjoin=3 hashtriejoin=1,
cedardb,query_43,5,8,1.600,hashjoin=8,
