engine,query,sql_joins,plan_joins,plan_over_sql,plan_join_operators,error
monetdb,query_1,3,3,1.000,join=3,
monetdb,query_10,8,8,1.000,join=3 left_outer_join=5,
monetdb,query_11,2,2,1.000,join=2,
monetdb,query_12,4,4,1.000,join=4,
monetdb,query_13,6,6,1.000,join=6,
monetdb,query_14,3,3,1.000,join=3,
monetdb,query_15,2,2,1.000,join=2,
monetdb,query_16,4,4,1.000,join=4,
monetdb,query_17,3,5,1.667,antijoin=1 join=3 semijoin=1,
monetdb,query_18,4,4,1.000,join=4,
monetdb,query_19,8,22,2.750,crossproduct=4 join=11 left_outer_join=4 semijoin=3,
monetdb,query_2,4,4,1.000,join=4,
monetdb,query_20,19,19,1.000,join=19,
monetdb,query_21,3,3,1.000,join=3,
monetdb,query_22,9,12,1.333,join=9 semijoin=3,
monetdb,query_23,6,6,1.000,join=6,
monetdb,query_24,4,4,1.000,join=4,
monetdb,query_25,3,5,1.667,antijoin=1 join=3 semijoin=1,
monetdb,query_26,5,8,1.600,join=7 semijoin=1,
monetdb,query_27,3,3,1.000,join=2 semijoin=1,
monetdb,query_28,5,8,1.600,antijoin=2 join=5 semijoin=1,
monetdb,query_29,9,18,2.000,join=11 left_outer_join=4 semijoin=3,
monetdb,query_3,10,10,1.000,join=7 left_outer_join=3,
monetdb,query_30,6,6,1.000,join=6,
monetdb,query_31,3,3,1.000,join=3,
monetdb,query_32,2,2,1.000,join=2,
monetdb,query_33,7,7,1.000,join=6 semijoin=1,
monetdb,query_34,4,5,1.250,join=4 semijoin=1,
monetdb,query_35,3,3,1.000,join=3,
monetdb,query_36,5,5,1.000,crossproduct=5,
monetdb,query_37,4,6,1.500,join=6,
monetdb,query_38,3,,,,"MAPI  = monetdb@localhost:50000
QUERY = EXPLAIN with ssci as (
        select /*KEEP_LIMIT*/ ss_customer_sk customer_sk
              ,ss_item_sk item_sk
        from store_sales,date_dim
        wher"
monetdb,query_39,8,8,1.000,join=6 semijoin=2,
monetdb,query_4,3,3,1.000,join=3,
monetdb,query_40,7,7,1.000,crossproduct=1 join=4 semijoin=2,
monetdb,query_41,7,7,1.000,join=7,
monetdb,query_42,5,5,1.000,join=5,
monetdb,query_43,5,7,1.400,join=5 semijoin=2,
monetdb,query_44,3,5,1.667,join=5,
monetdb,query_45,2,2,1.000,join=2,
monetdb,query_46,3,3,1.000,full_outer_join=1 join=2,
monetdb,query_47,5,8,1.600,join=7 semijoin=1,
monetdb,query_48,6,6,1.000,join=3 left_outer_join=3,
monetdb,query_49,0,15,,left_outer_join=15,
monetdb,query_5,4,4,1.000,join=4,
monetdb,query_50,9,9,1.000,join=9,
monetdb,query_51,7,7,1.000,join=7,
monetdb,query_52,2,2,1.000,join=1 left_outer_join=1,
monetdb,query_53,7,7,1.000,join=7,
monetdb,query_54,6,6,1.000,join=6,
monetdb,query_55,2,2,1.000,join=2,
monetdb,query_56,3,3,1.000,join=3,
monetdb,query_57,3,3,1.000,join=3,
monetdb,query_58,4,5,1.250,join=4 semijoin=1,
monetdb,query_59,2,2,1.000,join=2,
monetdb,query_6,15,15,1.000,join=12 left_outer_join=3,
monetdb,query_60,4,4,1.000,join=4,
monetdb,query_61,2,2,1.000,join=2,
monetdb,query_62,0,2,,join=1 left_outer_join=1,
monetdb,query_63,4,4,1.000,join=4,
monetdb,query_64,2,2,1.000,join=2,
monetdb,query_65,2,2,1.000,join=2,
monetdb,query_66,32,32,1.000,crossproduct=8 join=24,
monetdb,query_67,3,3,1.000,join=3,
monetdb,query_68,7,9,1.286,join=5 semijoin=4,
monetdb,query_69,16,16,1.000,join=13 semijoin=3,
monetdb,query_7,3,5,1.667,join=5,
monetdb,query_70,5,5,1.000,join=5,
monetdb,query_71,5,5,1.000,join=5,
monetdb,query_72,5,8,1.600,join=7 left_outer_join=1,
monetdb,query_73,4,4,1.000,join=4,
monetdb,query_74,4,4,1.000,join=3 semijoin=1,
monetdb,query_75,4,6,1.500,join=6,
monetdb,query_76,4,4,1.000,join=4,
monetdb,query_77,6,6,1.000,join=6,
monetdb,query_78,14,16,1.143,crossproduct=1 join=11 left_outer_join=2 semijoin=2,
monetdb,query_79,4,4,1.000,join=4,
monetdb,query_8,5,5,1.000,join=5,
monetdb,query_80,5,5,1.000,join=5,
monetdb,query_81,7,12,1.714,join=10 left_outer_join=2,
monetdb,query_82,2,2,1.000,join=2,
monetdb,query_83,9,12,1.333,join=9 semijoin=3,
monetdb,query_84,4,5,1.250,join=5,
monetdb,query_85,4,4,1.000,join=4,
monetdb,query_86,4,4,1.000,join=3 left_outer_join=1,
monetdb,query_87,10,10,1.000,join=8 left_outer_join=2,
monetdb,query_88,3,3,1.000,join=3,
monetdb,query_89,4,4,1.000,join=4,
monetdb,query_9,7,7,1.000,join=7,
monetdb,query_90,6,6,1.000,join=6,
monetdb,query_91,5,5,1.000,join=4 semijoin=1,
monetdb,query_92,5,5,1.000,join=5,
monetdb,query_93,11,11,1.000,join=11,
monetdb,query_94,4,4,1.000,join=4,
monetdb,query_95,6,6,1.000,join=6,
monetdb,query_96,8,22,2.750,join=11 left_outer_join=4 semijoin=7,
monetdb,query_97,12,12,1.000,crossproduct=1 join=11,
monetdb,query_98,7,13,1.857,join=12 left_outer_join=1,
monetdb,query_99,6,6,1.000,join=6,
monetdb,query_join_J100,98,98,1.000,left_outer_join=98,
monetdb,query_join_J200,197,198,1.005,left_outer_join=197 semijoin=1,
monetdb,query_join_J50,54,54,1.000,left_outer_join=54,
monetdb,query_union_U10,2,20,10.000,join=20,
monetdb,query_union_U2,2,4,2.000,join=4,
