engine,query,sql_joins,plan_joins,plan_over_sql,plan_join_operators,error
duckdb,query_1,3,3,1.000,HASH_JOIN=3,
duckdb,query_10,8,8,1.000,HASH_JOIN=8,
duckdb,query_11,2,2,1.000,HASH_JOIN=2,
duckdb,query_12,4,4,1.000,HASH_JOIN=4,
duckdb,query_13,6,6,1.000,HASH_JOIN=6,
duckdb,query_14,3,3,1.000,HASH_JOIN=3,
duckdb,query_15,2,2,1.000,HASH_JOIN=2,
duckdb,query_16,4,5,1.250,HASH_JOIN=5,
duckdb,query_17,3,7,2.333,HASH_JOIN=7,
duckdb,query_18,4,5,1.250,HASH_JOIN=5,
duckdb,query_19,8,23,2.875,CROSS_PRODUCT=1 HASH_JOIN=22,
duckdb,query_2,4,4,1.000,HASH_JOIN=4,
duckdb,query_20,19,20,1.053,HASH_JOIN=20,
duckdb,query_21,3,4,1.333,HASH_JOIN=4,
duckdb,query_22,9,12,1.333,HASH_JOIN=12,
duckdb,query_23,6,7,1.167,HASH_JOIN=7,
duckdb,query_24,4,4,1.000,HASH_JOIN=4,
duckdb,query_25,3,8,2.667,HASH_JOIN=8,
duckdb,query_26,5,12,2.400,HASH_JOIN=12,
duckdb,query_27,3,3,1.000,HASH_JOIN=3,
duckdb,query_28,5,11,2.200,HASH_JOIN=11,
duckdb,query_29,9,19,2.111,CROSS_PRODUCT=2 HASH_JOIN=17,
duckdb,query_3,10,10,1.000,HASH_JOIN=10,
duckdb,query_30,6,6,1.000,HASH_JOIN=6,
duckdb,query_31,3,3,1.000,HASH_JOIN=3,
duckdb,query_32,2,2,1.000,HASH_JOIN=2,
duckdb,query_33,7,7,1.000,HASH_JOIN=7,
duckdb,query_34,4,5,1.250,HASH_JOIN=5,
duckdb,query_35,3,3,1.000,HASH_JOIN=3,
duckdb,query_36,5,5,1.000,CROSS_PRODUCT=5,
duckdb,query_37,4,6,1.500,HASH_JOIN=6,
duckdb,query_38,3,3,1.000,HASH_JOIN=3,
duckdb,query_39,8,8,1.000,HASH_JOIN=8,
duckdb,query_4,3,3,1.000,HASH_JOIN=3,
duckdb,query_40,7,7,1.000,CROSS_PRODUCT=1 HASH_JOIN=6,
duckdb,query_41,7,7,1.000,HASH_JOIN=7,
duckdb,query_42,5,5,1.000,HASH_JOIN=5,
duckdb,query_43,5,8,1.600,HASH_JOIN=8,
duckdb,query_44,3,5,1.667,HASH_JOIN=5,
duckdb,query_45,2,2,1.000,HASH_JOIN=2,
duckdb,query_46,3,3,1.000,HASH_JOIN=3,
duckdb,query_47,5,11,2.200,HASH_JOIN=11,
duckdb,query_48,6,6,1.000,HASH_JOIN=6,
duckdb,query_49,0,15,,CROSS_PRODUCT=15,
duckdb,query_5,4,4,1.000,HASH_JOIN=4,
duckdb,query_50,9,9,1.000,HASH_JOIN=9,
duckdb,query_51,7,7,1.000,HASH_JOIN=7,
duckdb,query_52,2,2,1.000,HASH_JOIN=2,
duckdb,query_53,7,7,1.000,HASH_JOIN=7,
duckdb,query_54,6,8,1.333,HASH_JOIN=8,
duckdb,query_55,2,2,1.000,HASH_JOIN=2,
duckdb,query_56,3,3,1.000,HASH_JOIN=3,
duckdb,query_57,3,4,1.333,HASH_JOIN=4,
duckdb,query_58,4,5,1.250,HASH_JOIN=5,
duckdb,query_59,2,2,1.000,HASH_JOIN=2,
duckdb,query_6,15,15,1.000,HASH_JOIN=15,
duckdb,query_60,4,4,1.000,HASH_JOIN=4,
duckdb,query_61,2,2,1.000,HASH_JOIN=2,
duckdb,query_62,0,3,,HASH_JOIN=3,
duckdb,query_63,4,5,1.250,HASH_JOIN=5,
duckdb,query_64,2,2,1.000,HASH_JOIN=2,
duckdb,query_65,2,2,1.000,HASH_JOIN=2,
duckdb,query_66,32,32,1.000,CROSS_PRODUCT=8 HASH_JOIN=24,
duckdb,query_67,3,3,1.000,HASH_JOIN=3,
duckdb,query_68,7,9,1.286,HASH_JOIN=9,
duckdb,query_69,16,18,1.125,HASH_JOIN=18,
duckdb,query_7,3,5,1.667,HASH_JOIN=5,
duckdb,query_70,5,5,1.000,HASH_JOIN=5,
duckdb,query_71,5,5,1.000,HASH_JOIN=5,
duckdb,query_72,5,6,1.200,CROSS_PRODUCT=1 HASH_JOIN=5,
duckdb,query_73,4,5,1.250,HASH_JOIN=5,
duckdb,query_74,4,4,1.000,HASH_JOIN=4,
duckdb,query_75,4,6,1.500,HASH_JOIN=6,
duckdb,query_76,4,4,1.000,HASH_JOIN=4,
duckdb,query_77,6,8,1.333,HASH_JOIN=8,
duckdb,query_78,14,14,1.000,CROSS_PRODUCT=1 HASH_JOIN=13,
duckdb,query_79,4,4,1.000,HASH_JOIN=4,
duckdb,query_8,5,5,1.000,HASH_JOIN=5,
duckdb,query_80,5,5,1.000,HASH_JOIN=5,
duckdb,query_81,7,9,1.286,HASH_JOIN=7 NESTED_LOOP_JOIN=2,
duckdb,query_82,2,2,1.000,HASH_JOIN=2,
duckdb,query_83,9,12,1.333,HASH_JOIN=12,
duckdb,query_84,4,4,1.000,HASH_JOIN=4,
duckdb,query_85,4,4,1.000,HASH_JOIN=4,
duckdb,query_86,4,4,1.000,HASH_JOIN=4,
duckdb,query_87,10,10,1.000,HASH_JOIN=10,
duckdb,query_88,3,3,1.000,HASH_JOIN=3,
duckdb,query_89,4,4,1.000,HASH_JOIN=4,
duckdb,query_9,7,7,1.000,HASH_JOIN=7,
duckdb,query_90,6,7,1.167,HASH_JOIN=7,
duckdb,query_91,5,5,1.000,HASH_JOIN=5,
duckdb,query_92,5,5,1.000,HASH_JOIN=5,
duckdb,query_93,11,11,1.000,HASH_JOIN=11,
duckdb,query_94,4,4,1.000,HASH_JOIN=4,
duckdb,query_95,6,6,1.000,HASH_JOIN=6,
duckdb,query_96,8,23,2.875,CROSS_PRODUCT=1 HASH_JOIN=22,
duckdb,query_97,12,12,1.000,CROSS_PRODUCT=1 HASH_JOIN=11,
