query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,75.0,70,86,33.5,42.0
query_2,prodds,workload_compare,,,,10,10,0,0.0,450.0,440,463,38.0,412.5
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,919.0,909,939,36.0,883.0
query_3,prodds,workload_compare,,,,10,10,0,0.0,949.0,921,2119,41.0,908.0
query_4,prodds,workload_compare,,,,10,10,0,0.0,92.0,80,111,36.0,56.0
query_5,prodds,workload_compare,,,,10,10,0,0.0,164.5,159,171,37.0,126.5
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,2206.0,2194,2226,37.0,2169.0
query_6,prodds,workload_compare,,,,10,10,0,0.0,141.0,127,154,37.0,103.5
query_7,prodds,workload_compare,,,,10,10,0,0.0,103.0,95,118,34.0,68.5
query_8,prodds,workload_compare,,,,10,10,0,0.0,182.5,174,201,36.0,145.0
query_9,prodds,workload_compare,,,,10,10,0,0.0,164.0,160,219,38.0,127.0
query_10,prodds,workload_compare,,,,10,10,0,0.0,387.0,380,425,36.0,351.0
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,6738.5,6640,7033,37.0,6701.0
query_11,prodds,workload_compare,,,,10,10,0,0.0,117.5,107,128,33.0,83.0
query_12,prodds,workload_compare,,,,10,10,0,0.0,219.0,189,245,36.0,183.5
query_13,prodds,workload_compare,,,,10,10,0,0.0,84.0,81,99,35.5,49.0
query_14,prodds,workload_compare,,,,10,10,0,0.0,132.5,131,142,33.0,99.5
query_15,prodds,workload_compare,,,,10,10,0,0.0,98.0,91,107,35.5,62.5
query_16,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_17,prodds,workload_compare,,,,10,10,0,0.0,86.0,78,106,38.0,49.0
query_18,prodds,workload_compare,,,,10,10,0,0.0,124.0,112,145,35.0,88.5
query_19,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_20,prodds,workload_compare,,,,10,10,0,0.0,140.0,127,250,39.5,100.5
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,15494.5,15267,16320,37.0,15458.0
query_21,prodds,workload_compare,,,,10,10,0,0.0,139.5,129,231,32.0,107.0
query_22,prodds,workload_compare,,,,10,10,0,0.0,151.0,136,261,34.5,116.0
query_23,prodds,workload_compare,,,,10,10,0,0.0,125.0,121,130,34.0,90.5
query_24,prodds,workload_compare,,,,10,10,0,0.0,128.5,107,165,36.0,92.5
query_25,prodds,workload_compare,,,,10,10,0,0.0,102.5,88,120,36.0,67.5
query_26,prodds,workload_compare,,,,10,10,0,0.0,117.0,113,126,37.0,80.5
query_27,prodds,workload_compare,,,,10,10,0,0.0,112.5,100,127,36.0,76.5
query_28,prodds,workload_compare,,,,10,10,0,0.0,123.5,115,136,35.0,88.5
query_29,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_30,prodds,workload_compare,,,,10,10,0,0.0,158.0,151,163,35.0,124.0
query_31,prodds,workload_compare,,,,10,10,0,0.0,85.5,83,90,36.0,49.0
query_32,prodds,workload_compare,,,,10,10,0,0.0,243.0,231,250,36.5,204.0
query_33,prodds,workload_compare,,,,10,10,0,0.0,114.5,110,118,38.0,76.0
query_34,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_35,prodds,workload_compare,,,,10,10,0,0.0,741.0,735,755,33.0,708.0
query_36,prodds,workload_compare,,,,10,10,0,0.0,227.5,222,235,35.5,192.0
query_37,prodds,workload_compare,,,,10,10,0,0.0,127.5,120,145,33.0,94.0
query_38,prodds,workload_compare,,,,10,10,0,0.0,178.0,171,200,32.0,146.0
query_39,prodds,workload_compare,,,,10,10,0,0.0,132.0,120,146,34.0,97.5
query_40,prodds,workload_compare,,,,10,10,0,0.0,81.5,75,87,34.5,47.5
query_41,prodds,workload_compare,,,,10,10,0,0.0,218.0,208,230,35.0,183.0
query_42,prodds,workload_compare,,,,10,10,0,0.0,419.5,404,470,35.0,384.5
query_43,prodds,workload_compare,,,,10,10,0,0.0,116.0,106,124,37.0,78.5
query_44,prodds,workload_compare,,,,10,10,0,0.0,99.5,94,107,36.0,64.0
query_45,prodds,workload_compare,,,,10,10,0,0.0,221.5,207,242,36.5,184.0
query_46,prodds,workload_compare,,,,10,10,0,0.0,11246.0,10603,11479,36.0,11209.0
query_47,prodds,workload_compare,,,,10,10,0,0.0,354.5,340,417,37.0,317.5
query_48,prodds,workload_compare,,,,10,10,0,0.0,462.5,426,473,37.5,422.5
query_49,prodds,workload_compare,,,,10,10,0,0.0,140.5,137,202,36.0,105.5
query_50,prodds,workload_compare,,,,10,10,0,0.0,145.0,140,150,34.5,110.5
query_join_J50,prodds,workload_compare,,,,10,10,0,0.0,89790.0,86247,92420,51.0,89741.0
query_51,prodds,workload_compare,,,,10,10,0,0.0,234.5,229,306,34.0,200.5
query_52,prodds,workload_compare,,,,10,10,0,0.0,147.5,143,155,32.5,114.5
query_53,prodds,workload_compare,,,,10,10,0,0.0,186.0,171,265,36.0,151.5
query_54,prodds,workload_compare,,,,10,10,0,0.0,2363.0,2319,2466,36.0,2326.5
query_55,prodds,workload_compare,,,,10,10,0,0.0,1696.5,1674,1818,36.0,1661.0
query_56,prodds,workload_compare,,,,10,10,0,0.0,179.0,172,189,35.0,144.0
query_57,prodds,workload_compare,,,,10,10,0,0.0,94.5,87,110,35.0,59.0
query_58,prodds,workload_compare,,,,10,10,0,0.0,78.5,75,83,35.0,43.5
query_59,prodds,workload_compare,,,,10,10,0,0.0,185.0,176,200,35.0,150.0
query_60,prodds,workload_compare,,,,10,10,0,0.0,73.5,72,81,36.0,38.0
query_61,prodds,workload_compare,,,,10,10,0,0.0,112.5,104,121,32.0,80.5
query_62,prodds,workload_compare,,,,10,10,0,0.0,101.5,95,111,33.0,68.0
query_63,prodds,workload_compare,,,,10,10,0,0.0,135.5,126,141,35.0,100.0
query_64,prodds,workload_compare,,,,10,10,0,0.0,115.0,107,216,33.0,82.5
query_65,prodds,workload_compare,,,,10,10,0,0.0,117.0,106,129,33.0,84.0
query_66,prodds,workload_compare,,,,10,10,0,0.0,122.5,119,131,39.0,84.5
query_67,prodds,workload_compare,,,,10,10,0,0.0,108.5,99,121,33.0,75.0
query_68,prodds,workload_compare,,,,10,10,0,0.0,180.5,169,229,37.5,143.0
query_69,prodds,workload_compare,,,,10,10,0,0.0,2936.5,2830,3015,42.0,2894.5
query_70,prodds,workload_compare,,,,10,10,0,0.0,1045.5,1026,1075,37.0,1009.0
query_71,prodds,workload_compare,,,,10,10,0,0.0,436.0,430,443,36.0,400.0
query_72,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_73,prodds,workload_compare,,,,10,10,0,0.0,107.5,106,111,34.0,73.0
query_74,prodds,workload_compare,,,,10,10,0,0.0,93.5,88,197,35.0,59.0
query_75,prodds,workload_compare,,,,10,10,0,0.0,111.0,106,138,34.5,76.5
query_76,prodds,workload_compare,,,,10,10,0,0.0,231.0,217,317,34.0,196.0
query_77,prodds,workload_compare,,,,10,10,0,0.0,2133.5,2046,2221,34.0,2099.5
query_78,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_79,prodds,workload_compare,,,,10,10,0,0.0,92.0,90,102,34.0,57.5
query_80,prodds,workload_compare,,,,10,10,0,0.0,91.5,86,104,37.5,54.5
query_81,prodds,workload_compare,,,,10,10,0,0.0,113.0,105,127,36.0,77.0
query_82,prodds,workload_compare,,,,10,10,0,0.0,95.5,89,171,34.5,61.0
query_83,prodds,workload_compare,,,,10,10,0,0.0,138.0,130,158,35.0,103.5
query_84,prodds,workload_compare,,,,10,10,0,0.0,161.0,149,179,38.5,123.0
query_85,prodds,workload_compare,,,,10,10,0,0.0,195.0,186,203,39.0,156.0
query_86,prodds,workload_compare,,,,10,10,0,0.0,113.5,105,136,34.5,79.0
query_87,prodds,workload_compare,,,,10,10,0,0.0,210.0,199,287,36.0,173.5
query_88,prodds,workload_compare,,,,10,10,0,0.0,102.5,93,111,34.0,68.5
query_89,prodds,workload_compare,,,,10,10,0,0.0,140.0,114,153,35.0,104.5
query_90,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_91,prodds,workload_compare,,,,10,10,0,0.0,98.5,95,111,38.0,61.0
query_92,prodds,workload_compare,,,,10,10,0,0.0,82.0,79,87,37.0,44.0
query_93,prodds,workload_compare,,,,10,10,0,0.0,351.0,327,424,37.0,312.5
query_94,prodds,workload_compare,,,,10,10,0,0.0,151.0,143,161,35.0,116.0
query_95,prodds,workload_compare,,,,10,10,0,0.0,115.0,105,126,36.0,78.0
query_96,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_97,prodds,workload_compare,,,,10,10,0,0.0,146.5,136,180,35.0,110.0
query_98,prodds,workload_compare,,,,10,10,0,0.0,186.0,175,235,38.0,148.5
query_99,prodds,workload_compare,,,,10,10,0,0.0,118.5,106,126,35.0,83.5
query_join_J100,prodds,workload_compare,,,,10,10,0,0.0,103437.5,102158,104257,59.5,103377.5
query_join_J200,prodds,workload_compare,,,,10,10,0,0.0,127635.5,125721,130637,84.0,127542.0
query_union_U200,prodds,workload_compare,,,,10,10,0,0.0,180099.5,175062,184048,52.0,180048.0
