query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,tpcds,workload_compare,,,,10,10,0,0.0,79.5,74,87,37.0,44.5
query_2,tpcds,workload_compare,,,,10,10,0,0.0,117.5,113,135,36.0,82.0
query_3,tpcds,workload_compare,,,,10,10,0,0.0,636.0,590,1124,40.0,596.0
query_4,tpcds,workload_compare,,,,10,10,0,0.0,125.5,114,131,36.0,89.0
query_5,tpcds,workload_compare,,,,10,10,0,0.0,158.5,152,169,37.0,121.5
query_6,tpcds,workload_compare,,,,10,10,0,0.0,157.0,144,178,40.0,117.0
query_7,tpcds,workload_compare,,,,10,10,0,0.0,92.0,78,101,36.0,54.5
query_8,tpcds,workload_compare,,,,10,10,0,0.0,104.5,93,115,35.0,70.0
query_9,tpcds,workload_compare,,,,10,10,0,0.0,105.0,95,119,36.5,67.5
query_10,tpcds,workload_compare,,,,10,10,0,0.0,279.0,262,303,35.5,243.5
query_11,tpcds,workload_compare,,,,10,10,0,0.0,109.5,94,127,33.5,76.0
query_12,tpcds,workload_compare,,,,10,10,0,0.0,113.0,109,125,34.0,79.0
query_13,tpcds,workload_compare,,,,10,10,0,0.0,98.5,88,106,37.0,62.0
query_14,tpcds,workload_compare,,,,10,10,0,0.0,108.5,105,112,34.0,74.5
query_15,tpcds,workload_compare,,,,10,10,0,0.0,92.0,82,99,35.0,55.0
query_16,tpcds,workload_compare,,,,10,10,0,0.0,145.5,139,204,35.0,108.5
query_17,tpcds,workload_compare,,,,10,10,0,0.0,96.0,83,130,35.0,61.5
query_18,tpcds,workload_compare,,,,10,10,0,0.0,114.5,110,122,38.0,77.5
query_19,tpcds,workload_compare,,,,10,10,0,0.0,128.0,123,134,39.0,89.0
query_20,tpcds,workload_compare,,,,10,10,0,0.0,125.5,112,155,43.5,82.5
query_21,tpcds,workload_compare,,,,10,10,0,0.0,115.5,103,124,34.0,81.5
query_22,tpcds,workload_compare,,,,10,10,0,0.0,124.0,118,136,36.5,89.0
query_23,tpcds,workload_compare,,,,10,10,0,0.0,141.5,126,152,35.5,106.0
query_24,tpcds,workload_compare,,,,10,10,0,0.0,122.5,108,190,36.0,86.5
query_25,tpcds,workload_compare,,,,10,10,0,0.0,98.5,89,120,35.5,63.0
query_26,tpcds,workload_compare,,,,10,10,0,0.0,100.5,91,119,36.0,65.0
query_27,tpcds,workload_compare,,,,10,10,0,0.0,98.5,83,109,36.0,62.5
query_28,tpcds,workload_compare,,,,10,10,0,0.0,110.0,100,132,35.5,74.5
query_29,tpcds,workload_compare,,,,10,10,0,0.0,139.0,127,148,36.5,102.0
query_30,tpcds,workload_compare,,,,10,10,0,0.0,142.5,139,152,35.5,106.5
query_31,tpcds,workload_compare,,,,10,10,0,0.0,103.0,96,110,36.0,66.0
query_32,tpcds,workload_compare,,,,10,10,0,0.0,290.0,281,310,37.5,252.5
