query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,205.5,180,227,80.0,123.0
query_2,prodds,workload_compare,,,,10,10,0,0.0,370.5,350,387,79.5,286.5
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,268.5,258,297,88.0,183.0
query_3,prodds,workload_compare,,,,10,10,0,0.0,905.5,760,1091,95.5,814.5
query_4,prodds,workload_compare,,,,10,10,0,0.0,208.0,193,954,85.5,123.5
query_5,prodds,workload_compare,,,,10,10,0,0.0,347.0,317,398,92.0,254.0
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,418.0,333,1145,87.0,322.0
query_6,prodds,workload_compare,,,,10,10,0,0.0,371.0,358,1004,95.5,272.0
query_7,prodds,workload_compare,,,,10,10,0,0.0,212.0,203,226,85.5,126.0
query_8,prodds,workload_compare,,,,10,10,0,0.0,381.5,348,467,85.0,291.5
query_9,prodds,workload_compare,,,,10,10,0,0.0,318.0,295,333,89.5,223.0
query_10,prodds,workload_compare,,,,10,10,0,0.0,668.0,641,743,89.0,586.0
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,626.5,598,8165,90.0,536.5
query_11,prodds,workload_compare,,,,10,10,0,0.0,308.0,274,322,92.5,215.5
query_12,prodds,workload_compare,,,,10,10,0,0.0,303.5,280,7878,94.0,204.5
query_13,prodds,workload_compare,,,,10,10,0,0.0,234.0,212,248,94.5,138.0
query_14,prodds,workload_compare,,,,10,10,0,0.0,271.0,257,307,93.5,182.5
query_15,prodds,workload_compare,,,,10,10,0,0.0,276.5,259,326,92.0,187.0
query_16,prodds,workload_compare,,,,10,10,0,0.0,427.0,399,452,83.0,337.0
query_17,prodds,workload_compare,,,,10,10,0,0.0,223.0,192,236,89.5,131.0
query_18,prodds,workload_compare,,,,10,10,0,0.0,316.0,295,355,95.0,227.0
query_19,prodds,workload_compare,,,,10,10,0,0.0,358.5,336,383,105.5,255.5
query_20,prodds,workload_compare,,,,10,10,0,0.0,508.0,478,581,110.5,404.0
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,1180.5,1078,1491,98.0,1081.5
query_21,prodds,workload_compare,,,,10,10,0,0.0,978.0,915,1023,92.0,884.0
query_22,prodds,workload_compare,,,,10,10,0,0.0,317.5,299,355,92.0,225.5
query_23,prodds,workload_compare,,,,10,10,0,0.0,457.0,412,689,86.5,368.5
query_24,prodds,workload_compare,,,,10,10,0,0.0,284.0,257,314,85.0,198.0
query_25,prodds,workload_compare,,,,10,10,0,0.0,240.5,221,257,95.0,142.0
query_26,prodds,workload_compare,,,,10,10,0,0.0,397.5,374,432,102.5,298.5
query_27,prodds,workload_compare,,,,10,10,0,0.0,294.5,268,322,94.5,191.0
query_28,prodds,workload_compare,,,,10,10,0,0.0,350.5,309,400,96.5,252.5
query_29,prodds,workload_compare,,,,10,10,0,0.0,457.5,412,511,96.0,358.5
query_30,prodds,workload_compare,,,,10,10,0,0.0,401.0,383,489,90.5,304.5
query_31,prodds,workload_compare,,,,10,10,0,0.0,242.5,216,292,90.5,156.0
query_32,prodds,workload_compare,,,,10,10,0,0.0,323.0,302,364,95.0,233.5
query_33,prodds,workload_compare,,,,10,10,0,0.0,383.5,327,418,95.0,285.0
query_34,prodds,workload_compare,,,,10,10,0,0.0,352.0,324,7793,88.0,261.5
query_35,prodds,workload_compare,,,,10,10,0,0.0,1257.0,1156,1484,91.0,1164.0
query_36,prodds,workload_compare,,,,10,10,0,0.0,369.0,332,461,97.5,266.5
query_37,prodds,workload_compare,,,,10,10,0,0.0,339.0,303,365,92.0,246.5
query_38,prodds,workload_compare,,,,10,10,0,0.0,438.5,361,475,101.0,332.5
query_39,prodds,workload_compare,,,,10,10,0,0.0,474.0,431,536,101.5,370.0
query_40,prodds,workload_compare,,,,10,10,0,0.0,206.5,187,214,88.0,115.0
query_41,prodds,workload_compare,,,,10,10,0,0.0,438.5,403,460,93.0,347.5
query_42,prodds,workload_compare,,,,10,10,0,0.0,661.5,565,7849,92.5,570.0
