query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,tpcds,workload_compare,,,,10,10,0,0.0,189.5,177,202,71.5,120.0
query_2,tpcds,workload_compare,,,,10,10,0,0.0,368.0,343,409,85.5,280.0
query_3,tpcds,workload_compare,,,,10,10,0,0.0,632.5,610,705,89.0,544.5
query_4,tpcds,workload_compare,,,,10,10,0,0.0,316.5,264,380,88.0,234.0
query_5,tpcds,workload_compare,,,,10,10,0,0.0,298.0,283,318,91.0,208.0
query_6,tpcds,workload_compare,,,,10,10,0,0.0,462.5,407,535,95.5,368.5
query_7,tpcds,workload_compare,,,,10,10,0,0.0,188.0,180,205,83.0,106.5
query_8,tpcds,workload_compare,,,,10,10,0,0.0,338.5,322,374,90.0,255.0
query_9,tpcds,workload_compare,,,,10,10,0,0.0,236.0,220,250,80.5,158.0
query_10,tpcds,workload_compare,,,,10,10,0,0.0,506.0,474,548,90.5,416.5
query_11,tpcds,workload_compare,,,,10,10,0,0.0,278.5,261,302,75.5,198.0
query_12,tpcds,workload_compare,,,,10,10,0,0.0,255.0,227,324,85.0,165.5
query_13,tpcds,workload_compare,,,,10,10,0,0.0,201.5,191,226,87.5,121.5
query_14,tpcds,workload_compare,,,,10,10,0,0.0,216.0,209,223,73.5,141.5
query_15,tpcds,workload_compare,,,,10,10,0,0.0,282.0,250,368,90.0,196.5
query_16,tpcds,workload_compare,,,,10,10,0,0.0,408.5,371,455,86.0,325.0
query_17,tpcds,workload_compare,,,,10,10,0,0.0,278.5,269,309,81.0,200.5
query_18,tpcds,workload_compare,,,,10,10,0,0.0,320.0,300,335,84.0,230.0
query_19,tpcds,workload_compare,,,,10,10,0,0.0,294.5,270,370,98.0,196.0
query_20,tpcds,workload_compare,,,,10,10,0,0.0,469.0,432,502,97.0,370.0
query_21,tpcds,workload_compare,,,,10,10,0,0.0,997.0,942,1040,84.0,910.5
query_22,tpcds,workload_compare,,,,10,10,0,0.0,311.0,289,378,87.5,225.0
query_23,tpcds,workload_compare,,,,10,10,0,0.0,435.0,418,475,84.0,353.0
query_24,tpcds,workload_compare,,,,10,10,0,0.0,267.0,246,286,80.5,183.5
query_25,tpcds,workload_compare,,,,10,10,0,0.0,226.0,208,249,87.5,140.5
query_26,tpcds,workload_compare,,,,10,10,0,0.0,266.0,255,292,81.5,183.0
query_27,tpcds,workload_compare,,,,10,10,0,0.0,246.5,230,324,79.5,168.5
query_28,tpcds,workload_compare,,,,10,10,0,0.0,303.5,265,341,82.0,216.0
query_29,tpcds,workload_compare,,,,10,10,0,0.0,394.5,336,441,86.0,312.0
query_30,tpcds,workload_compare,,,,10,10,0,0.0,354.0,320,404,82.0,266.5
query_31,tpcds,workload_compare,,,,10,10,0,0.0,248.0,240,316,82.0,168.0
query_32,tpcds,workload_compare,,,,10,10,0,0.0,288.0,269,311,77.5,213.5
query_33,tpcds,workload_compare,,,,10,10,0,0.0,293.0,281,307,79.5,213.0
query_34,tpcds,workload_compare,,,,10,10,0,0.0,292.0,279,359,84.0,210.5
query_35,tpcds,workload_compare,,,,10,10,0,0.0,1271.0,1239,1342,89.0,1187.5
query_36,tpcds,workload_compare,,,,10,10,0,0.0,335.5,314,360,89.0,247.0
query_37,tpcds,workload_compare,,,,10,10,0,0.0,310.0,290,341,86.0,222.0
query_38,tpcds,workload_compare,,,,10,10,0,0.0,339.0,317,410,85.0,250.5
query_39,tpcds,workload_compare,,,,10,10,0,0.0,349.0,292,367,102.0,251.0
query_40,tpcds,workload_compare,,,,10,10,0,0.0,190.0,178,215,82.5,108.0
query_41,tpcds,workload_compare,,,,10,10,0,0.0,380.0,345,412,90.5,294.0
query_42,tpcds,workload_compare,,,,10,10,0,0.0,749.0,670,783,93.5,652.5
query_43,tpcds,workload_compare,,,,10,10,0,0.0,483.5,461,502,82.5,402.0
query_44,tpcds,workload_compare,,,,10,10,0,0.0,225.5,206,261,77.5,145.5
query_45,tpcds,workload_compare,,,,10,10,0,0.0,241.0,216,278,83.5,155.5
query_46,tpcds,workload_compare,,,,10,10,0,0.0,1155.5,1096,1298,84.5,1071.5
query_47,tpcds,workload_compare,,,,10,10,0,0.0,455.5,430,489,87.0,366.0
query_48,tpcds,workload_compare,,,,10,10,0,0.0,422.5,382,435,92.5,325.0
query_49,tpcds,workload_compare,,,,10,10,0,0.0,242.0,236,275,90.0,157.0
query_50,tpcds,workload_compare,,,,10,10,0,0.0,330.5,309,370,88.5,239.0
query_51,tpcds,workload_compare,,,,10,10,0,0.0,583.5,504,686,91.5,488.0
query_52,tpcds,workload_compare,,,,10,10,0,0.0,311.0,300,318,77.5,232.5
query_53,tpcds,workload_compare,,,,10,10,0,0.0,348.0,326,392,85.5,261.5
query_54,tpcds,workload_compare,,,,10,10,0,0.0,340.0,309,367,83.0,252.5
query_55,tpcds,workload_compare,,,,10,10,0,0.0,1381.5,1319,1458,88.0,1289.0
query_56,tpcds,workload_compare,,,,10,10,0,0.0,314.0,296,352,87.5,223.5
query_57,tpcds,workload_compare,,,,10,10,0,0.0,300.5,277,354,88.0,209.5
query_58,tpcds,workload_compare,,,,10,10,0,0.0,357.0,348,398,81.5,277.0
query_59,tpcds,workload_compare,,,,10,10,0,0.0,252.0,237,264,85.0,167.0
query_60,tpcds,workload_compare,,,,10,10,0,0.0,304.5,263,343,89.5,213.0
query_61,tpcds,workload_compare,,,,10,10,0,0.0,253.5,226,265,90.5,160.5
query_62,tpcds,workload_compare,,,,10,10,0,0.0,215.0,203,273,95.5,118.0
query_63,tpcds,workload_compare,,,,10,10,0,0.0,581.5,551,590,95.0,480.0
query_64,tpcds,workload_compare,,,,10,10,0,0.0,272.5,246,311,89.0,182.5
query_65,tpcds,workload_compare,,,,10,10,0,0.0,280.0,243,336,93.5,186.5
query_66,tpcds,workload_compare,,,,10,10,0,0.0,299.5,274,328,108.0,195.0
query_67,tpcds,workload_compare,,,,10,10,0,0.0,295.0,248,357,89.5,204.5
query_68,tpcds,workload_compare,,,,10,10,0,0.0,827.0,776,866,93.5,733.5
query_69,tpcds,workload_compare,,,,10,10,0,0.0,710.0,677,740,103.0,610.5
query_70,tpcds,workload_compare,,,,10,10,0,0.0,480.5,453,571,97.0,379.5
query_71,tpcds,workload_compare,,,,10,10,0,0.0,464.5,421,496,97.0,371.5
query_72,tpcds,workload_compare,,,,10,10,0,0.0,382.0,357,411,90.5,286.5
query_73,tpcds,workload_compare,,,,10,10,0,0.0,339.0,314,370,93.5,248.0
query_74,tpcds,workload_compare,,,,10,10,0,0.0,367.0,343,430,90.5,271.0
query_75,tpcds,workload_compare,,,,10,10,0,0.0,307.5,288,321,94.0,212.0
query_76,tpcds,workload_compare,,,,10,10,0,0.0,442.0,427,500,93.5,351.0
query_77,tpcds,workload_compare,,,,10,10,0,0.0,366.0,336,450,91.0,279.0
query_78,tpcds,workload_compare,,,,10,10,0,0.0,286.5,271,381,94.0,191.0
query_79,tpcds,workload_compare,,,,10,10,0,0.0,281.0,264,330,85.5,193.5
query_80,tpcds,workload_compare,,,,10,10,0,0.0,219.0,199,237,88.0,130.5
query_81,tpcds,workload_compare,,,,10,10,0,0.0,309.0,287,359,99.0,210.5
query_82,tpcds,workload_compare,,,,10,10,0,0.0,256.5,230,266,91.5,163.0
query_83,tpcds,workload_compare,,,,10,10,0,0.0,351.5,325,390,96.0,257.0
query_84,tpcds,workload_compare,,,,10,10,0,0.0,307.0,288,323,94.0,218.0
query_85,tpcds,workload_compare,,,,10,10,0,0.0,274.0,248,299,83.0,186.0
query_86,tpcds,workload_compare,,,,10,10,0,0.0,218.5,209,235,89.0,135.5
query_87,tpcds,workload_compare,,,,10,10,0,0.0,521.5,508,531,95.5,425.0
query_88,tpcds,workload_compare,,,,10,10,0,0.0,277.5,262,324,93.5,184.5
query_89,tpcds,workload_compare,,,,10,10,0,0.0,382.0,354,465,96.0,296.0
query_90,tpcds,workload_compare,,,,10,10,0,0.0,390.0,376,405,91.0,300.5
query_91,tpcds,workload_compare,,,,10,10,0,0.0,388.0,351,407,90.5,299.0
query_92,tpcds,workload_compare,,,,10,10,0,0.0,337.0,299,364,95.0,240.5
query_93,tpcds,workload_compare,,,,10,10,0,0.0,675.0,653,843,101.0,579.5
query_94,tpcds,workload_compare,,,,10,10,0,0.0,303.0,283,337,90.5,210.0
query_95,tpcds,workload_compare,,,,10,10,0,0.0,405.5,351,499,87.0,314.0
query_96,tpcds,workload_compare,,,,10,10,0,0.0,243.0,236,266,96.5,146.5
query_97,tpcds,workload_compare,,,,10,10,0,0.0,377.0,344,421,94.5,278.5
query_98,tpcds,workload_compare,,,,10,10,0,0.0,436.5,411,583,95.0,348.5
query_99,tpcds,workload_compare,,,,10,10,0,0.0,395.5,350,426,87.0,309.0
