query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,44.0,40,50,14.0,29.0
query_2,prodds,workload_compare,,,,10,10,0,0.0,305.0,274,323,19.0,286.5
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,1024.0,992,1191,18.0,1005.0
query_3,prodds,workload_compare,,,,10,10,0,0.0,5809.0,5605,6185,23.0,5785.0
query_4,prodds,workload_compare,,,,10,10,0,0.0,39.5,38,45,14.5,25.0
query_5,prodds,workload_compare,,,,10,10,0,0.0,6503.0,6275,8982,18.0,6485.0
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,2513.5,2453,2565,20.0,2492.5
query_6,prodds,workload_compare,,,,10,10,0,0.0,6885.0,5800,8206,22.0,6861.0
query_7,prodds,workload_compare,,,,10,10,0,0.0,62.0,54,477,16.0,46.5
query_8,prodds,workload_compare,,,,10,10,0,0.0,168.5,155,201,18.5,149.5
query_9,prodds,workload_compare,,,,10,10,0,0.0,782.0,764,810,18.0,764.5
query_10,prodds,workload_compare,,,,10,10,0,0.0,10909.0,8950,12393,21.5,10887.5
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,6937.5,6750,7545,19.0,6918.5
query_11,prodds,workload_compare,,,,10,10,0,0.0,27.0,24,36,14.0,13.0
query_12,prodds,workload_compare,,,,10,10,0,0.0,164.0,153,176,19.0,144.5
query_13,prodds,workload_compare,,,,10,10,0,0.0,70.5,57,121,16.0,54.5
query_14,prodds,workload_compare,,,,10,10,0,0.0,429.0,384,535,17.5,411.0
query_15,prodds,workload_compare,,,,10,10,0,0.0,83.5,81,99,15.0,69.0
query_16,prodds,workload_compare,,,,10,10,0,0.0,583.5,565,601,18.0,565.5
query_17,prodds,workload_compare,,,,10,10,0,0.0,289.0,285,299,17.0,272.5
query_18,prodds,workload_compare,,,,10,10,0,0.0,60.5,56,66,14.0,46.5
query_19,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_20,prodds,workload_compare,,,,10,10,0,0.0,791.0,663,834,18.5,771.5
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,15099.5,14575,15596,22.0,15077.0
query_21,prodds,workload_compare,,,,10,10,0,0.0,30.0,27,40,15.0,15.5
query_22,prodds,workload_compare,,,,10,10,0,0.0,112.5,96,264,16.0,94.5
query_23,prodds,workload_compare,,,,10,10,0,0.0,142.0,129,151,17.0,125.5
query_24,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_25,prodds,workload_compare,,,,10,10,0,0.0,95.5,76,974,18.0,78.0
query_26,prodds,workload_compare,,,,10,10,0,0.0,564.0,498,1428,19.5,543.5
query_27,prodds,workload_compare,,,,10,10,0,0.0,88.0,80,114,16.0,71.5
query_28,prodds,workload_compare,,,,10,10,0,0.0,248.0,238,267,19.5,228.5
query_29,prodds,workload_compare,,,,10,10,0,0.0,258.0,249,301,22.0,235.5
query_30,prodds,workload_compare,,,,10,10,0,0.0,259.5,249,289,16.0,243.5
query_31,prodds,workload_compare,,,,10,10,0,0.0,60.5,57,229,16.0,44.5
query_32,prodds,workload_compare,,,,10,10,0,0.0,150.0,125,158,18.0,130.0
query_33,prodds,workload_compare,,,,10,10,0,0.0,148.5,129,168,17.5,128.5
query_34,prodds,workload_compare,,,,10,10,0,0.0,971.0,945,1683,18.0,952.0
query_35,prodds,workload_compare,,,,10,10,0,0.0,15087.0,14113,16123,20.0,15067.0
query_36,prodds,workload_compare,,,,10,10,0,0.0,100.0,94,120,15.0,85.0
query_37,prodds,workload_compare,,,,10,10,0,0.0,118.5,103,139,16.0,103.5
query_38,prodds,workload_compare,,,,10,10,0,0.0,2905.0,2454,3197,18.5,2887.5
query_39,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_40,prodds,workload_compare,,,,10,10,0,0.0,43.5,42,52,15.0,28.5
query_41,prodds,workload_compare,,,,10,10,0,0.0,1384.0,1311,1453,20.0,1365.5
query_42,prodds,workload_compare,,,,10,10,0,0.0,545.5,516,592,19.5,526.5
query_43,prodds,workload_compare,,,,10,10,0,0.0,3278.5,3148,3435,18.0,3258.5
query_44,prodds,workload_compare,,,,10,10,0,0.0,53.0,50,67,13.0,40.0
query_45,prodds,workload_compare,,,,10,10,0,0.0,210.5,191,247,17.0,194.0
query_46,prodds,workload_compare,,,,10,10,0,0.0,19391.0,18229,21059,21.0,19370.0
query_47,prodds,workload_compare,,,,10,10,0,0.0,890.0,851,944,21.0,868.5
query_48,prodds,workload_compare,,,,10,10,0,0.0,1598.0,1529,1664,22.0,1574.5
query_49,prodds,workload_compare,,,,10,10,0,0.0,124.5,120,143,15.5,109.0
query_50,prodds,workload_compare,,,,10,10,0,0.0,941.0,869,1021,17.0,924.0
query_join_J50,prodds,workload_compare,,,,8,7,1,0.125,71261,49932,329424,49,71213
query_51,prodds,workload_compare,,,,10,10,0,0.0,1682.5,1491,1799,20.0,1663.0
query_52,prodds,workload_compare,,,,10,10,0,0.0,1176.5,1080,1263,19.0,1157.0
query_53,prodds,workload_compare,,,,10,10,0,0.0,778.5,753,879,17.5,759.5
query_54,prodds,workload_compare,,,,10,10,0,0.0,1330.5,1173,1452,17.0,1313.0
query_55,prodds,workload_compare,,,,10,10,0,0.0,6811.5,6632,7004,18.5,6794.5
query_56,prodds,workload_compare,,,,10,10,0,0.0,110.0,102,131,15.5,94.5
query_57,prodds,workload_compare,,,,10,10,0,0.0,63.5,61,81,15.0,48.0
query_58,prodds,workload_compare,,,,10,10,0,0.0,146.5,143,153,16.0,130.0
query_59,prodds,workload_compare,,,,10,10,0,0.0,128.0,117,188,17.0,111.5
query_60,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_61,prodds,workload_compare,,,,10,10,0,0.0,172.0,160,200,17.0,154.0
query_62,prodds,workload_compare,,,,10,10,0,0.0,43.0,40,46,17.0,25.0
query_63,prodds,workload_compare,,,,10,10,0,0.0,149.5,141,162,19.5,130.0
query_64,prodds,workload_compare,,,,10,10,0,0.0,69.5,54,77,17.5,51.0
query_65,prodds,workload_compare,,,,10,10,0,0.0,73.0,63,77,17.0,55.5
query_66,prodds,workload_compare,,,,10,10,0,0.0,97.5,95,112,17.0,81.0
query_67,prodds,workload_compare,,,,10,10,0,0.0,385.0,359,497,18.0,366.0
query_68,prodds,workload_compare,,,,10,10,0,0.0,2538.0,2437,2743,18.5,2519.5
query_69,prodds,workload_compare,,,,10,10,0,0.0,13115.0,11973,17074,22.0,13092.5
query_70,prodds,workload_compare,,,,10,10,0,0.0,682.5,618,786,20.0,661.0
query_71,prodds,workload_compare,,,,10,10,0,0.0,1827.5,1635,2019,18.0,1808.5
query_72,prodds,workload_compare,,,,10,10,0,0.0,176.5,160,198,19.0,157.5
query_73,prodds,workload_compare,,,,10,10,0,0.0,86.0,77,105,16.0,70.0
query_74,prodds,workload_compare,,,,10,10,0,0.0,101.0,97,117,16.0,85.5
query_75,prodds,workload_compare,,,,10,10,0,0.0,65.0,58,83,16.5,48.0
query_76,prodds,workload_compare,,,,10,10,0,0.0,1525.5,1372,1564,17.0,1508.0
query_77,prodds,workload_compare,,,,10,10,0,0.0,1428.5,1364,1568,17.0,1412.5
query_78,prodds,workload_compare,,,,10,10,0,0.0,756.5,732,782,21.0,735.5
query_79,prodds,workload_compare,,,,10,10,0,0.0,84.0,81,92,17.0,67.5
query_80,prodds,workload_compare,,,,10,10,0,0.0,46.5,44,56,15.0,31.0
query_81,prodds,workload_compare,,,,10,10,0,0.0,187.5,175,220,19.0,169.0
query_82,prodds,workload_compare,,,,10,10,0,0.0,58.0,54,134,16.0,42.0
query_83,prodds,workload_compare,,,,10,10,0,0.0,50.0,48,59,16.0,34.0
query_84,prodds,workload_compare,,,,10,10,0,0.0,1597.0,1554,1658,20.5,1576.0
query_85,prodds,workload_compare,,,,10,10,0,0.0,98.0,92,110,16.5,82.0
query_86,prodds,workload_compare,,,,10,10,0,0.0,1092.0,1065,1117,19.0,1074.0
query_87,prodds,workload_compare,,,,10,10,0,0.0,399.0,358,440,18.5,378.5
query_88,prodds,workload_compare,,,,10,10,0,0.0,79.0,75,91,17.0,61.5
query_89,prodds,workload_compare,,,,10,10,0,0.0,178.5,144,201,18.0,159.5
query_90,prodds,workload_compare,,,,10,10,0,0.0,311.5,292,345,19.0,292.5
query_91,prodds,workload_compare,,,,10,10,0,0.0,115.5,113,126,16.0,100.0
query_92,prodds,workload_compare,,,,10,10,0,0.0,85.5,78,116,16.0,70.5
query_93,prodds,workload_compare,,,,10,10,0,0.0,3143.0,2958,3299,20.5,3123.5
query_94,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_95,prodds,workload_compare,,,,10,10,0,0.0,99.0,83,103,16.0,83.5
query_96,prodds,workload_compare,,,,10,10,0,0.0,987.5,820,1080,19.0,968.0
query_97,prodds,workload_compare,,,,10,10,0,0.0,101.0,98,130,15.0,86.0
query_98,prodds,workload_compare,,,,10,10,0,0.0,768.5,749,781,21.0,747.5
query_99,prodds,workload_compare,,,,10,10,0,0.0,101.5,85,139,17.0,84.5
query_join_J100,prodds,workload_compare,,,,6,5,1,0.16666666666666666,60391,54169,175920,60,60331
query_join_J200,prodds,workload_compare,,,,10,9,1,0.1,108298,68469,254789,131,108173
query_union_U200,prodds,workload_compare,,,,10,10,0,0.0,212995.0,207268,218014,50.5,212942.5
