query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,tpcds,workload_compare,,,,10,10,0,0.0,47.0,42,51,16.5,30.0
query_2,tpcds,workload_compare,,,,10,10,0,0.0,86.0,79,111,17.0,69.5
query_3,tpcds,workload_compare,,,,10,10,0,0.0,2696.5,2588,3403,21.0,2675.0
query_4,tpcds,workload_compare,,,,10,10,0,0.0,148.0,85,185,16.5,130.5
query_5,tpcds,workload_compare,,,,10,10,0,0.0,3063.0,2872,3293,18.0,3043.5
query_6,tpcds,workload_compare,,,,10,10,0,0.0,4725.0,3995,7078,22.0,4703.5
query_7,tpcds,workload_compare,,,,10,10,0,0.0,48.0,46,67,15.0,33.0
query_8,tpcds,workload_compare,,,,10,10,0,0.0,82.0,72,125,16.0,66.0
query_9,tpcds,workload_compare,,,,10,10,0,0.0,497.0,489,516,18.0,478.5
query_10,tpcds,workload_compare,,,,10,10,0,0.0,6443.0,5708,8363,20.0,6422.5
query_11,tpcds,workload_compare,,,,10,10,0,0.0,31.0,26,37,15.0,15.5
query_12,tpcds,workload_compare,,,,10,10,0,0.0,134.5,110,158,17.5,117.0
query_13,tpcds,workload_compare,,,,10,10,0,0.0,54.0,46,63,16.5,39.0
query_14,tpcds,workload_compare,,,,10,10,0,0.0,245.5,188,307,16.5,229.5
query_15,tpcds,workload_compare,,,,10,10,0,0.0,87.0,80,97,16.5,71.0
query_16,tpcds,workload_compare,,,,10,10,0,0.0,477.5,439,508,19.0,458.5
query_17,tpcds,workload_compare,,,,10,10,0,0.0,239.0,226,294,15.0,222.5
query_18,tpcds,workload_compare,,,,10,10,0,0.0,50.0,48,54,15.0,35.5
query_19,tpcds,workload_compare,,,,10,10,0,0.0,2391.0,2265,4916,19.0,2371.5
query_20,tpcds,workload_compare,,,,10,10,0,0.0,579.0,499,628,21.0,562.0
query_21,tpcds,workload_compare,,,,10,10,0,0.0,30.0,28,33,15.0,15.0
query_22,tpcds,workload_compare,,,,10,10,0,0.0,101.0,81,255,16.0,85.0
query_23,tpcds,workload_compare,,,,10,10,0,0.0,84.5,79,96,15.0,69.5
query_24,tpcds,workload_compare,,,,10,10,0,0.0,77.0,69,81,16.0,60.5
query_25,tpcds,workload_compare,,,,10,10,0,0.0,263.5,254,270,17.0,246.5
query_26,tpcds,workload_compare,,,,10,10,0,0.0,115.0,100,144,18.0,98.0
query_27,tpcds,workload_compare,,,,10,10,0,0.0,66.5,56,71,16.0,51.0
query_28,tpcds,workload_compare,,,,10,10,0,0.0,161.0,148,210,19.0,141.0
query_29,tpcds,workload_compare,,,,10,10,0,0.0,60.0,55,172,16.0,43.5
query_30,tpcds,workload_compare,,,,10,10,0,0.0,265.0,258,293,16.0,250.0
query_31,tpcds,workload_compare,,,,10,10,0,0.0,98.5,91,117,16.0,82.5
query_32,tpcds,workload_compare,,,,10,10,0,0.0,198.0,186,215,18.5,180.0
query_33,tpcds,workload_compare,,,,10,10,0,0.0,162.0,144,179,18.5,139.5
query_34,tpcds,workload_compare,,,,10,10,0,0.0,29.5,27,36,14.5,15.0
query_35,tpcds,workload_compare,,,,10,10,0,0.0,3468.0,3298,3589,18.5,3451.0
query_36,tpcds,workload_compare,,,,10,10,0,0.0,91.0,89,107,14.5,76.5
query_37,tpcds,workload_compare,,,,10,10,0,0.0,90.5,83,106,17.5,73.5
query_38,tpcds,workload_compare,,,,10,10,0,0.0,2270.5,1736,2808,18.5,2253.5
query_39,tpcds,workload_compare,,,,10,10,0,0.0,232.5,197,267,20.0,212.5
query_40,tpcds,workload_compare,,,,10,10,0,0.0,38.5,35,42,14.0,24.0
query_41,tpcds,workload_compare,,,,10,10,0,0.0,689.0,623,757,18.0,670.5
query_42,tpcds,workload_compare,,,,10,10,0,0.0,356.5,340,405,17.5,338.5
query_43,tpcds,workload_compare,,,,10,10,0,0.0,3411.5,3367,3488,18.0,3393.5
query_44,tpcds,workload_compare,,,,10,10,0,0.0,46.0,43,65,14.5,32.0
query_45,tpcds,workload_compare,,,,10,10,0,0.0,43.5,41,71,14.0,30.0
query_46,tpcds,workload_compare,,,,10,10,0,0.0,2700.0,2612,2792,18.0,2683.0
query_47,tpcds,workload_compare,,,,10,10,0,0.0,365.0,329,464,18.5,345.5
query_48,tpcds,workload_compare,,,,10,10,0,0.0,329.0,299,357,20.0,309.0
query_49,tpcds,workload_compare,,,,10,10,0,0.0,134.5,127,144,16.0,117.5
query_50,tpcds,workload_compare,,,,10,10,0,0.0,765.0,713,805,18.0,746.5
query_51,tpcds,workload_compare,,,,10,10,0,0.0,1339.5,1281,1395,19.0,1321.0
query_52,tpcds,workload_compare,,,,10,10,0,0.0,949.0,878,1025,16.5,931.0
query_53,tpcds,workload_compare,,,,10,10,0,0.0,469.0,462,499,17.5,452.0
query_54,tpcds,workload_compare,,,,10,10,0,0.0,954.0,894,999,18.5,935.0
query_55,tpcds,workload_compare,,,,10,10,0,0.0,4467.0,4300,5081,19.5,4446.0
query_56,tpcds,workload_compare,,,,10,10,0,0.0,82.0,71,86,17.0,65.0
query_57,tpcds,workload_compare,,,,10,10,0,0.0,70.0,64,78,15.0,55.5
query_58,tpcds,workload_compare,,,,10,10,0,0.0,163.5,158,183,15.5,148.0
query_59,tpcds,workload_compare,,,,10,10,0,0.0,60.5,54,107,15.5,45.0
query_60,tpcds,workload_compare,,,,10,10,0,0.0,138.0,133,146,16.0,122.0
query_61,tpcds,workload_compare,,,,10,10,0,0.0,54.0,50,645,15.0,39.5
query_62,tpcds,workload_compare,,,,10,10,0,0.0,33.0,30,37,15.0,18.0
query_63,tpcds,workload_compare,,,,10,10,0,0.0,113.0,106,142,18.0,94.5
query_64,tpcds,workload_compare,,,,10,10,0,0.0,73.0,62,92,15.0,57.5
