query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,197.0,190,213,81.5,118.5
query_2,prodds,workload_compare,,,,10,10,0,0.0,394.5,359,408,90.0,304.5
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,239.5,230,264,79.0,159.0
query_3,prodds,workload_compare,,,,10,10,0,0.0,868.5,788,946,87.0,774.0
query_4,prodds,workload_compare,,,,10,10,0,0.0,310.0,285,325,85.0,225.0
query_5,prodds,workload_compare,,,,10,10,0,0.0,310.5,286,348,90.0,221.0
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,298.0,291,316,81.0,217.5
query_6,prodds,workload_compare,,,,10,10,0,0.0,349.5,326,412,92.0,255.0
query_7,prodds,workload_compare,,,,10,10,0,0.0,200.0,186,252,83.5,113.0
query_8,prodds,workload_compare,,,,10,10,0,0.0,337.5,298,386,91.0,244.0
query_9,prodds,workload_compare,,,,10,10,0,0.0,251.0,229,273,84.0,167.5
query_10,prodds,workload_compare,,,,10,10,0,0.0,581.5,520,618,85.5,483.0
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,566.5,525,647,91.0,468.0
query_11,prodds,workload_compare,,,,10,10,0,0.0,290.5,265,320,81.0,210.5
query_12,prodds,workload_compare,,,,10,10,0,0.0,283.5,253,310,83.0,197.0
query_13,prodds,workload_compare,,,,10,10,0,0.0,213.0,201,268,90.5,121.5
query_14,prodds,workload_compare,,,,10,10,0,0.0,246.0,228,261,81.0,164.5
query_15,prodds,workload_compare,,,,10,10,0,0.0,189.5,177,204,81.0,107.0
query_16,prodds,workload_compare,,,,10,10,0,0.0,419.5,366,434,82.0,333.5
query_17,prodds,workload_compare,,,,10,10,0,0.0,277.5,258,293,81.5,193.0
query_18,prodds,workload_compare,,,,10,10,0,0.0,319.5,298,346,88.0,232.5
query_19,prodds,workload_compare,,,,10,10,0,0.0,344.5,324,368,103.0,242.5
query_20,prodds,workload_compare,,,,10,10,0,0.0,447.0,402,540,103.5,341.5
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,1072.5,910,1310,101.0,967.5
query_21,prodds,workload_compare,,,,10,10,0,0.0,990.0,948,1007,84.5,902.0
query_22,prodds,workload_compare,,,,10,10,0,0.0,305.5,277,343,89.5,213.0
query_23,prodds,workload_compare,,,,10,10,0,0.0,683.0,648,718,91.5,599.0
query_24,prodds,workload_compare,,,,10,10,0,0.0,276.0,259,302,86.5,189.5
query_25,prodds,workload_compare,,,,10,10,0,0.0,229.5,194,248,93.0,136.0
query_26,prodds,workload_compare,,,,10,10,0,0.0,352.5,335,408,98.0,254.5
query_27,prodds,workload_compare,,,,10,10,0,0.0,252.5,237,279,87.0,164.0
query_28,prodds,workload_compare,,,,10,10,0,0.0,322.0,305,408,84.0,238.0
query_29,prodds,workload_compare,,,,10,10,0,0.0,406.0,387,535,89.0,317.5
query_30,prodds,workload_compare,,,,10,10,0,0.0,301.0,291,312,83.0,220.0
query_31,prodds,workload_compare,,,,10,10,0,0.0,224.0,194,245,84.5,136.5
query_32,prodds,workload_compare,,,,10,10,0,0.0,283.0,265,339,89.0,192.5
query_33,prodds,workload_compare,,,,10,10,0,0.0,311.0,283,341,87.0,220.0
query_34,prodds,workload_compare,,,,10,10,0,0.0,352.0,332,364,90.5,260.5
query_35,prodds,workload_compare,,,,10,10,0,0.0,1208.5,1140,1285,92.5,1107.5
query_36,prodds,workload_compare,,,,10,10,0,0.0,357.5,323,391,87.0,275.5
query_37,prodds,workload_compare,,,,10,10,0,0.0,318.5,297,370,87.0,234.0
query_38,prodds,workload_compare,,,,10,10,0,0.0,313.5,287,342,82.5,232.5
query_39,prodds,workload_compare,,,,10,10,0,0.0,429.0,400,450,91.0,338.0
query_40,prodds,workload_compare,,,,10,10,0,0.0,194.0,183,218,80.0,118.0
query_41,prodds,workload_compare,,,,10,10,0,0.0,386.0,356,443,83.0,297.5
query_42,prodds,workload_compare,,,,10,10,0,0.0,741.0,701,767,86.5,656.5
query_43,prodds,workload_compare,,,,10,10,0,0.0,493.0,455,535,94.0,396.5
query_44,prodds,workload_compare,,,,10,10,0,0.0,227.5,215,281,77.5,145.0
query_45,prodds,workload_compare,,,,10,10,0,0.0,318.0,289,371,82.0,234.0
query_46,prodds,workload_compare,,,,10,10,0,0.0,1186.0,1139,1249,84.5,1093.0
query_47,prodds,workload_compare,,,,10,10,0,0.0,585.5,539,634,92.5,500.5
query_48,prodds,workload_compare,,,,10,10,0,0.0,442.0,416,512,100.0,346.0
query_49,prodds,workload_compare,,,,10,10,0,0.0,252.5,240,283,91.5,161.5
query_50,prodds,workload_compare,,,,10,10,0,0.0,344.5,320,375,90.5,242.0
query_join_J50,prodds,workload_compare,,,,10,10,0,0.0,1061.5,1024,1124,112.5,952.0
query_51,prodds,workload_compare,,,,10,10,0,0.0,526.5,488,598,92.5,437.5
query_52,prodds,workload_compare,,,,10,10,0,0.0,224.5,214,284,80.5,142.0
query_53,prodds,workload_compare,,,,10,10,0,0.0,354.5,339,403,86.0,269.5
query_54,prodds,workload_compare,,,,10,10,0,0.0,330.0,298,352,83.5,245.0
query_55,prodds,workload_compare,,,,10,10,0,0.0,1367.0,1330,1432,83.0,1279.0
query_56,prodds,workload_compare,,,,10,10,0,0.0,310.0,288,327,80.5,221.5
query_57,prodds,workload_compare,,,,10,10,0,0.0,259.0,228,286,85.5,170.5
query_58,prodds,workload_compare,,,,10,10,0,0.0,239.0,222,250,90.0,148.0
query_59,prodds,workload_compare,,,,10,10,0,0.0,403.0,368,466,87.0,314.5
