query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,202.5,186,213,79.0,123.5
query_2,prodds,workload_compare,,,,10,10,0,0.0,403.0,368,415,78.5,314.5
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,269.5,247,286,84.0,180.5
query_3,prodds,workload_compare,,,,10,10,0,0.0,901.5,827,984,84.0,816.0
query_4,prodds,workload_compare,,,,10,10,0,0.0,207.0,190,214,88.5,114.0
query_5,prodds,workload_compare,,,,10,10,0,0.0,333.0,322,349,84.5,249.0
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,348.0,326,407,83.0,266.5
query_6,prodds,workload_compare,,,,10,10,0,0.0,391.0,355,428,92.5,291.5
query_7,prodds,workload_compare,,,,10,10,0,0.0,215.0,196,222,89.5,125.0
query_8,prodds,workload_compare,,,,10,10,0,0.0,359.5,345,419,87.0,273.5
query_9,prodds,workload_compare,,,,10,10,0,0.0,314.5,299,354,95.0,223.5
query_10,prodds,workload_compare,,,,10,10,0,0.0,610.0,589,689,89.5,524.0
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,651.0,577,768,91.0,561.0
query_11,prodds,workload_compare,,,,10,10,0,0.0,320.5,290,357,89.0,228.0
query_12,prodds,workload_compare,,,,10,10,0,0.0,282.0,256,297,86.5,199.0
query_13,prodds,workload_compare,,,,10,10,0,0.0,214.5,195,233,88.0,123.5
query_14,prodds,workload_compare,,,,10,10,0,0.0,270.0,257,288,82.0,184.0
query_15,prodds,workload_compare,,,,10,10,0,0.0,185.5,172,253,83.5,103.5
query_16,prodds,workload_compare,,,,10,10,0,0.0,422.0,392,477,90.5,327.5
query_17,prodds,workload_compare,,,,10,10,0,0.0,274.5,256,307,94.0,187.0
query_18,prodds,workload_compare,,,,10,10,0,0.0,339.0,316,366,85.0,256.5
query_19,prodds,workload_compare,,,,10,10,0,0.0,362.5,349,378,99.0,268.5
query_20,prodds,workload_compare,,,,10,10,0,0.0,493.0,451,539,103.5,387.5
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,1310.0,1255,1514,97.0,1211.5
query_21,prodds,workload_compare,,,,10,10,0,0.0,991.0,964,1050,82.5,907.5
query_22,prodds,workload_compare,,,,10,10,0,0.0,360.0,318,389,94.5,267.0
query_23,prodds,workload_compare,,,,10,10,0,0.0,703.0,684,774,81.5,617.5
query_24,prodds,workload_compare,,,,10,10,0,0.0,292.5,270,303,89.0,199.5
query_25,prodds,workload_compare,,,,10,10,0,0.0,223.0,208,242,82.0,140.5
query_26,prodds,workload_compare,,,,10,10,0,0.0,376.5,349,413,89.5,282.5
query_27,prodds,workload_compare,,,,10,10,0,0.0,292.5,270,308,83.0,202.0
query_28,prodds,workload_compare,,,,10,10,0,0.0,366.0,326,384,94.0,271.0
query_29,prodds,workload_compare,,,,10,10,0,0.0,484.5,450,517,95.0,387.0
