query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,216.5,199,232,83.5,132.5
query_2,prodds,workload_compare,,,,10,10,0,0.0,411.5,395,427,80.5,329.5
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,306.0,287,323,78.5,222.5
query_3,prodds,workload_compare,,,,10,10,0,0.0,932.0,881,994,98.0,842.5
query_4,prodds,workload_compare,,,,10,10,0,0.0,211.5,197,230,83.5,129.5
query_5,prodds,workload_compare,,,,10,10,0,0.0,366.0,350,445,82.0,278.5
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,429.0,415,481,84.5,351.0
query_6,prodds,workload_compare,,,,10,10,0,0.0,392.0,367,412,88.0,301.5
query_7,prodds,workload_compare,,,,10,10,0,0.0,223.5,204,243,81.5,141.5
query_8,prodds,workload_compare,,,,10,10,0,0.0,410.0,393,466,93.0,322.0
query_9,prodds,workload_compare,,,,10,10,0,0.0,341.0,325,363,90.5,250.0
query_10,prodds,workload_compare,,,,10,10,0,0.0,733.5,713,770,95.5,636.0
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,919.5,868,998,92.5,829.0
query_11,prodds,workload_compare,,,,10,10,0,0.0,327.5,292,430,91.5,236.0
query_12,prodds,workload_compare,,,,10,10,0,0.0,320.5,293,349,86.5,233.5
query_13,prodds,workload_compare,,,,10,10,0,0.0,228.0,205,263,89.0,138.5
query_14,prodds,workload_compare,,,,10,10,0,0.0,272.5,262,293,78.5,195.0
query_15,prodds,workload_compare,,,,10,10,0,0.0,193.5,164,233,84.5,109.0
query_16,prodds,workload_compare,,,,10,10,0,0.0,458.5,434,477,83.5,370.0
query_17,prodds,workload_compare,,,,10,10,0,0.0,277.5,254,322,87.0,190.5
query_18,prodds,workload_compare,,,,10,10,0,0.0,327.0,304,368,81.5,242.0
query_19,prodds,workload_compare,,,,10,10,0,0.0,369.0,353,398,92.0,277.5
query_20,prodds,workload_compare,,,,10,10,0,0.0,534.0,476,586,102.5,431.5
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,1804.0,1697,1986,102.0,1695.5
query_21,prodds,workload_compare,,,,10,10,0,0.0,1037.5,997,1093,84.0,954.0
query_22,prodds,workload_compare,,,,10,10,0,0.0,363.0,343,437,93.5,274.0
query_23,prodds,workload_compare,,,,10,10,0,0.0,748.5,734,772,88.5,661.5
query_24,prodds,workload_compare,,,,10,10,0,0.0,320.5,311,349,92.0,237.0
query_25,prodds,workload_compare,,,,10,10,0,0.0,222.5,211,237,87.5,136.5
query_26,prodds,workload_compare,,,,10,10,0,0.0,437.5,385,479,89.5,346.5
query_27,prodds,workload_compare,,,,10,10,0,0.0,306.5,293,369,86.5,224.5
query_28,prodds,workload_compare,,,,10,10,0,0.0,394.5,378,431,93.5,300.5
query_29,prodds,workload_compare,,,,10,10,0,0.0,496.5,425,533,95.5,401.5
query_30,prodds,workload_compare,,,,10,10,0,0.0,360.5,344,382,86.5,273.0
query_31,prodds,workload_compare,,,,10,10,0,0.0,254.0,231,307,87.5,164.0
query_32,prodds,workload_compare,,,,10,10,0,0.0,305.0,283,332,86.0,215.5
query_33,prodds,workload_compare,,,,10,10,0,0.0,339.0,308,381,93.0,247.0
query_34,prodds,workload_compare,,,,10,10,0,0.0,385.0,369,402,88.0,297.0
query_35,prodds,workload_compare,,,,10,10,0,0.0,1277.0,1237,1367,82.5,1189.5
query_36,prodds,workload_compare,,,,10,10,0,0.0,382.5,340,441,96.0,289.5
query_37,prodds,workload_compare,,,,10,10,0,0.0,370.5,334,394,84.0,274.0
query_38,prodds,workload_compare,,,,10,10,0,0.0,511.0,458,577,87.5,423.5
query_39,prodds,workload_compare,,,,10,10,0,0.0,430.5,413,458,86.0,344.5
query_40,prodds,workload_compare,,,,10,10,0,0.0,190.0,180,200,73.5,114.5
query_41,prodds,workload_compare,,,,10,10,0,0.0,493.5,474,530,93.5,408.5
query_42,prodds,workload_compare,,,,10,10,0,0.0,796.5,763,826,91.0,705.0
query_43,prodds,workload_compare,,,,10,10,0,0.0,487.5,451,551,86.0,402.0
query_44,prodds,workload_compare,,,,10,10,0,0.0,268.0,244,283,83.5,181.5
query_45,prodds,workload_compare,,,,10,10,0,0.0,386.5,348,468,84.0,295.0
query_46,prodds,workload_compare,,,,10,10,0,0.0,1478.5,1408,1534,81.5,1401.0
query_47,prodds,workload_compare,,,,10,10,0,0.0,701.0,658,722,86.5,604.5
query_48,prodds,workload_compare,,,,10,10,0,0.0,509.0,476,633,91.5,415.5
query_49,prodds,workload_compare,,,,10,10,0,0.0,255.0,237,269,86.0,167.0
query_50,prodds,workload_compare,,,,10,10,0,0.0,327.0,305,360,83.5,238.5
query_join_J50,prodds,workload_compare,,,,10,10,0,0.0,1194.5,1179,1358,108.5,1087.5
query_51,prodds,workload_compare,,,,10,10,0,0.0,504.5,468,533,91.0,411.0
query_52,prodds,workload_compare,,,,10,10,0,0.0,252.5,237,272,88.0,168.0
query_53,prodds,workload_compare,,,,10,10,0,0.0,450.0,428,545,86.5,360.0
query_54,prodds,workload_compare,,,,10,10,0,0.0,415.0,400,439,92.0,325.5
query_55,prodds,workload_compare,,,,10,10,0,0.0,1473.0,1424,1524,87.5,1386.5
query_56,prodds,workload_compare,,,,10,10,0,0.0,353.0,327,369,85.5,267.5
query_57,prodds,workload_compare,,,,10,10,0,0.0,271.5,247,290,83.0,191.5
query_58,prodds,workload_compare,,,,10,10,0,0.0,295.0,276,319,95.0,200.5
query_59,prodds,workload_compare,,,,10,10,0,0.0,420.0,397,451,83.5,336.0
query_60,prodds,workload_compare,,,,10,10,0,0.0,377.0,346,405,84.5,291.0
query_61,prodds,workload_compare,,,,10,10,0,0.0,392.0,361,430,94.0,299.5
query_62,prodds,workload_compare,,,,10,10,0,0.0,237.0,204,245,98.0,137.0
query_63,prodds,workload_compare,,,,10,10,0,0.0,498.5,488,655,91.0,408.0
query_64,prodds,workload_compare,,,,10,10,0,0.0,184.0,171,204,82.5,98.5
query_65,prodds,workload_compare,,,,10,10,0,0.0,179.0,166,211,87.0,95.0
query_66,prodds,workload_compare,,,,10,10,0,0.0,406.0,394,417,113.0,292.5
query_67,prodds,workload_compare,,,,10,10,0,0.0,327.0,295,372,82.0,242.5
query_68,prodds,workload_compare,,,,10,10,0,0.0,487.5,462,544,85.0,405.5
query_69,prodds,workload_compare,,,,10,10,0,0.0,708.5,699,748,95.0,617.0
query_70,prodds,workload_compare,,,,10,10,0,0.0,462.0,445,493,90.5,367.0
query_71,prodds,workload_compare,,,,10,10,0,0.0,545.5,507,620,88.5,462.5
query_72,prodds,workload_compare,,,,10,10,0,0.0,434.0,395,496,85.5,347.0
query_73,prodds,workload_compare,,,,10,10,0,0.0,356.0,316,375,94.5,257.0
query_74,prodds,workload_compare,,,,10,10,0,0.0,367.5,349,383,84.0,287.0
query_75,prodds,workload_compare,,,,10,10,0,0.0,282.0,261,310,81.0,199.0
query_76,prodds,workload_compare,,,,10,10,0,0.0,453.5,416,484,89.0,355.0
query_77,prodds,workload_compare,,,,10,10,0,0.0,426.0,381,457,88.0,333.0
query_78,prodds,workload_compare,,,,10,10,0,0.0,252.5,232,267,91.0,158.0
query_79,prodds,workload_compare,,,,10,10,0,0.0,333.5,301,347,89.0,244.0
query_80,prodds,workload_compare,,,,10,10,0,0.0,202.0,191,231,80.0,122.5
query_81,prodds,workload_compare,,,,10,10,0,0.0,336.5,320,350,83.5,252.5
query_82,prodds,workload_compare,,,,10,10,0,0.0,272.5,263,302,85.0,195.5
query_83,prodds,workload_compare,,,,10,10,0,0.0,385.5,335,411,88.0,296.5
query_84,prodds,workload_compare,,,,10,10,0,0.0,346.5,322,372,89.5,255.0
query_85,prodds,workload_compare,,,,10,10,0,0.0,310.0,284,342,92.5,216.5
query_86,prodds,workload_compare,,,,10,10,0,0.0,243.5,223,262,87.5,160.0
query_87,prodds,workload_compare,,,,10,10,0,0.0,440.5,415,463,86.5,353.5
query_88,prodds,workload_compare,,,,10,10,0,0.0,282.5,265,341,92.5,189.0
query_89,prodds,workload_compare,,,,10,10,0,0.0,199.0,188,221,80.5,117.5
query_90,prodds,workload_compare,,,,10,10,0,0.0,246.5,218,320,94.5,153.0
query_91,prodds,workload_compare,,,,10,10,0,0.0,404.5,382,424,85.5,315.5
query_92,prodds,workload_compare,,,,10,10,0,0.0,239.5,220,260,88.5,150.0
query_93,prodds,workload_compare,,,,10,10,0,0.0,639.5,619,718,96.0,545.0
query_94,prodds,workload_compare,,,,10,10,0,0.0,765.0,636,801,91.0,677.5
query_95,prodds,workload_compare,,,,10,10,0,0.0,363.0,341,398,93.5,272.5
query_96,prodds,workload_compare,,,,10,10,0,0.0,283.0,263,309,99.5,187.5
query_97,prodds,workload_compare,,,,10,10,0,0.0,471.0,457,497,86.0,383.5
query_98,prodds,workload_compare,,,,10,10,0,0.0,297.0,274,319,95.0,203.5
query_99,prodds,workload_compare,,,,10,10,0,0.0,388.5,371,410,82.0,305.0
query_join_J100,prodds,workload_compare,,,,10,10,0,0.0,1889.0,1783,1987,127.5,1758.5
query_join_J200,prodds,workload_compare,,,,10,10,0,0.0,3228.5,3151,3401,202.5,3030.5
query_union_U200,prodds,workload_compare,,,,10,10,0,0.0,16165.5,15323,16914,806.5,15372.0
