query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,210.5,193,224,79.5,129.0
query_2,prodds,workload_compare,,,,10,10,0,0.0,427.5,401,478,84.5,343.5
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,311.0,293,329,80.5,228.0
query_3,prodds,workload_compare,,,,10,10,0,0.0,911.5,861,962,91.0,816.0
query_4,prodds,workload_compare,,,,10,10,0,0.0,218.0,197,228,90.5,129.5
query_5,prodds,workload_compare,,,,10,10,0,0.0,359.0,335,389,82.0,277.5
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,431.0,400,484,83.5,342.0
query_6,prodds,workload_compare,,,,10,10,0,0.0,383.5,366,423,92.5,294.0
query_7,prodds,workload_compare,,,,10,10,0,0.0,225.0,211,243,89.0,138.5
query_8,prodds,workload_compare,,,,10,10,0,0.0,394.5,362,424,82.0,311.5
query_9,prodds,workload_compare,,,,10,10,0,0.0,350.0,311,376,90.0,264.5
query_10,prodds,workload_compare,,,,10,10,0,0.0,745.5,691,797,96.0,650.5
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,959.0,859,1062,88.5,876.0
query_11,prodds,workload_compare,,,,10,10,0,0.0,307.5,292,403,78.0,224.5
query_12,prodds,workload_compare,,,,10,10,0,0.0,313.0,297,337,84.0,230.5
query_13,prodds,workload_compare,,,,10,10,0,0.0,222.0,204,271,82.5,139.0
query_14,prodds,workload_compare,,,,10,10,0,0.0,285.5,261,310,85.0,205.5
query_15,prodds,workload_compare,,,,10,10,0,0.0,183.5,171,239,76.0,108.5
query_16,prodds,workload_compare,,,,10,10,0,0.0,472.0,427,484,88.5,378.0
query_17,prodds,workload_compare,,,,10,10,0,0.0,285.5,249,303,93.5,192.0
query_18,prodds,workload_compare,,,,10,10,0,0.0,332.5,326,346,91.5,240.0
query_19,prodds,workload_compare,,,,10,10,0,0.0,380.0,351,401,96.0,285.5
query_20,prodds,workload_compare,,,,10,10,0,0.0,545.0,515,580,107.5,447.0
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,1767.0,1644,1874,102.0,1670.5
query_21,prodds,workload_compare,,,,10,10,0,0.0,1023.0,1012,1066,88.5,936.0
query_22,prodds,workload_compare,,,,10,10,0,0.0,364.0,341,395,86.5,275.0
query_23,prodds,workload_compare,,,,10,10,0,0.0,757.0,735,915,83.5,672.0
query_24,prodds,workload_compare,,,,10,10,0,0.0,337.0,308,345,92.0,243.0
