query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,78.5,72,98,35.0,43.5
query_2,prodds,workload_compare,,,,10,10,0,0.0,449.5,443,466,38.5,409.5
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,890.5,879,900,38.0,851.5
query_3,prodds,workload_compare,,,,10,10,0,0.0,940.5,926,2438,43.0,898.0
query_4,prodds,workload_compare,,,,10,10,0,0.0,127.0,116,144,36.0,91.5
query_5,prodds,workload_compare,,,,10,10,0,0.0,157.5,145,163,36.0,120.0
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,2126.5,2107,2159,37.5,2088.5
query_6,prodds,workload_compare,,,,10,10,0,0.0,149.0,134,164,39.0,110.5
query_7,prodds,workload_compare,,,,10,10,0,0.0,98.5,89,113,37.0,61.5
query_8,prodds,workload_compare,,,,10,10,0,0.0,173.5,163,185,39.0,136.0
query_9,prodds,workload_compare,,,,10,10,0,0.0,126.0,114,139,37.0,87.5
query_10,prodds,workload_compare,,,,10,10,0,0.0,290.5,278,298,37.0,253.5
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,6513.5,6334,6643,36.0,6477.0
query_11,prodds,workload_compare,,,,10,10,0,0.0,103.5,97,119,33.0,70.5
query_12,prodds,workload_compare,,,,10,10,0,0.0,200.0,187,258,36.0,163.5
query_13,prodds,workload_compare,,,,10,10,0,0.0,104.5,94,110,38.5,65.0
query_14,prodds,workload_compare,,,,10,10,0,0.0,132.0,130,142,35.0,97.5
query_15,prodds,workload_compare,,,,10,10,0,0.0,78.0,75,79,37.0,40.5
query_16,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_17,prodds,workload_compare,,,,10,10,0,0.0,112.0,99,120,37.0,74.5
query_18,prodds,workload_compare,,,,10,10,0,0.0,122.0,111,134,36.5,85.0
query_19,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_20,prodds,workload_compare,,,,10,10,0,0.0,130.5,114,140,46.5,83.5
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,15119.0,14405,15820,37.0,15082.0
query_21,prodds,workload_compare,,,,10,10,0,0.0,115.0,103,135,34.0,81.5
query_22,prodds,workload_compare,,,,10,10,0,0.0,122.0,111,137,34.5,87.0
query_23,prodds,workload_compare,,,,10,10,0,0.0,80.0,74,82,36.0,44.0
query_24,prodds,workload_compare,,,,10,10,0,0.0,123.5,109,135,36.0,86.5
query_25,prodds,workload_compare,,,,10,10,0,0.0,96.5,92,111,36.5,61.5
query_26,prodds,workload_compare,,,,10,10,0,0.0,115.0,106,130,38.0,77.5
query_27,prodds,workload_compare,,,,10,10,0,0.0,105.0,94,120,36.0,68.5
query_28,prodds,workload_compare,,,,10,10,0,0.0,119.5,112,137,36.0,83.5
query_29,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_30,prodds,workload_compare,,,,10,10,0,0.0,140.5,131,149,35.5,105.5
query_31,prodds,workload_compare,,,,10,10,0,0.0,84.0,79,91,36.0,47.5
query_32,prodds,workload_compare,,,,10,10,0,0.0,232.0,220,238,37.0,194.5
query_33,prodds,workload_compare,,,,10,10,0,0.0,107.5,100,112,37.0,69.5
query_34,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_35,prodds,workload_compare,,,,10,10,0,0.0,865.0,837,1117,36.0,829.0
query_36,prodds,workload_compare,,,,10,10,0,0.0,226.5,213,242,36.0,190.5
query_37,prodds,workload_compare,,,,10,10,0,0.0,156.0,143,165,37.0,116.5
query_38,prodds,workload_compare,,,,10,10,0,0.0,168.5,162,183,37.0,131.5
query_39,prodds,workload_compare,,,,10,10,0,0.0,116.0,110,135,37.0,78.0
query_40,prodds,workload_compare,,,,10,10,0,0.0,84.5,81,100,37.5,48.0
query_41,prodds,workload_compare,,,,10,10,0,0.0,138.0,128,143,36.0,100.5
query_42,prodds,workload_compare,,,,10,10,0,0.0,408.5,384,430,37.0,370.0
query_43,prodds,workload_compare,,,,10,10,0,0.0,83.5,77,93,38.0,46.0
query_44,prodds,workload_compare,,,,10,10,0,0.0,97.0,78,114,35.0,62.0
query_45,prodds,workload_compare,,,,10,10,0,0.0,208.0,202,234,37.5,169.5
query_46,prodds,workload_compare,,,,10,10,0,0.0,11214.5,10831,11484,36.0,11178.0
query_47,prodds,workload_compare,,,,10,10,0,0.0,354.5,339,375,37.0,318.0
query_48,prodds,workload_compare,,,,10,10,0,0.0,473.0,453,493,38.5,435.0
query_49,prodds,workload_compare,,,,10,10,0,0.0,136.5,132,156,35.0,100.5
query_50,prodds,workload_compare,,,,10,10,0,0.0,138.0,126,159,37.0,101.5
query_join_J50,prodds,workload_compare,,,,10,10,0,0.0,89472.5,86651,92392,50.5,89422.5
query_union_U50,prodds,workload_compare,,,,10,10,0,0.0,42645.0,41374,44310,39.0,42605.5
query_51,prodds,workload_compare,,,,10,10,0,0.0,205.5,191,254,34.0,171.0
query_52,prodds,workload_compare,,,,10,10,0,0.0,72.5,66,78,35.5,37.0
query_53,prodds,workload_compare,,,,10,10,0,0.0,108.0,95,131,36.0,73.0
query_54,prodds,workload_compare,,,,10,10,0,0.0,2381.0,2329,2435,37.5,2342.5
query_55,prodds,workload_compare,,,,10,10,0,0.0,1696.5,1676,1713,36.0,1660.5
query_56,prodds,workload_compare,,,,10,10,0,0.0,174.0,163,196,37.0,136.5
query_57,prodds,workload_compare,,,,10,10,0,0.0,112.5,92,139,36.0,76.5
query_58,prodds,workload_compare,,,,10,10,0,0.0,79.5,77,97,36.0,43.5
