query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,80.5,71,86,35.5,45.0
query_2,prodds,workload_compare,,,,10,10,0,0.0,458.0,446,463,38.0,419.5
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,908.5,896,924,37.0,871.5
query_3,prodds,workload_compare,,,,10,10,0,0.0,936.0,913,2131,40.5,894.0
query_4,prodds,workload_compare,,,,10,10,0,0.0,96.0,87,112,37.5,57.5
query_5,prodds,workload_compare,,,,10,10,0,0.0,160.5,155,170,37.0,124.0
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,2189.0,2143,2333,37.0,2151.0
query_6,prodds,workload_compare,,,,10,10,0,0.0,135.5,133,157,36.0,100.5
query_7,prodds,workload_compare,,,,10,10,0,0.0,93.5,87,108,33.5,59.0
query_8,prodds,workload_compare,,,,10,10,0,0.0,186.5,171,195,37.0,148.5
query_9,prodds,workload_compare,,,,10,10,0,0.0,166.5,159,238,38.0,130.0
query_10,prodds,workload_compare,,,,10,10,0,0.0,396.5,384,467,36.0,361.0
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,6637.0,6369,6920,36.0,6599.5
query_11,prodds,workload_compare,,,,10,10,0,0.0,120.5,110,147,32.0,86.5
query_12,prodds,workload_compare,,,,10,10,0,0.0,210.5,195,221,36.0,173.5
query_13,prodds,workload_compare,,,,10,10,0,0.0,88.0,80,94,36.0,51.5
query_14,prodds,workload_compare,,,,10,10,0,0.0,136.5,132,141,33.0,103.0
query_15,prodds,workload_compare,,,,10,10,0,0.0,71.0,69,75,34.0,37.0
query_16,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_17,prodds,workload_compare,,,,10,10,0,0.0,102.5,97,115,34.0,68.0
query_18,prodds,workload_compare,,,,10,10,0,0.0,121.5,111,128,33.5,87.0
query_19,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_20,prodds,workload_compare,,,,10,10,0,0.0,142.5,134,151,39.0,104.0
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,15363.5,14727,15526,37.0,15326.5
query_21,prodds,workload_compare,,,,10,10,0,0.0,137.5,130,156,33.0,103.5
query_22,prodds,workload_compare,,,,10,10,0,0.0,141.0,129,196,34.0,108.0
query_23,prodds,workload_compare,,,,10,10,0,0.0,90.5,81,94,35.5,54.5
query_24,prodds,workload_compare,,,,10,10,0,0.0,145.5,119,155,36.0,109.0
query_25,prodds,workload_compare,,,,10,10,0,0.0,103.5,89,112,36.0,68.0
query_26,prodds,workload_compare,,,,10,10,0,0.0,119.0,110,130,36.0,81.0
query_27,prodds,workload_compare,,,,10,10,0,0.0,119.0,102,144,35.0,83.5
query_28,prodds,workload_compare,,,,10,10,0,0.0,134.0,122,165,35.5,98.0
query_29,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_30,prodds,workload_compare,,,,10,10,0,0.0,147.0,134,193,36.0,111.0
query_31,prodds,workload_compare,,,,10,10,0,0.0,83.5,77,95,34.0,47.0
query_32,prodds,workload_compare,,,,10,10,0,0.0,237.0,231,250,38.0,198.5
query_33,prodds,workload_compare,,,,10,10,0,0.0,106.0,104,126,41.0,65.0
query_34,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_35,prodds,workload_compare,,,,10,10,0,0.0,754.5,737,814,36.0,719.0
query_36,prodds,workload_compare,,,,10,10,0,0.0,222.5,208,235,36.0,186.5
query_37,prodds,workload_compare,,,,10,10,0,0.0,153.0,140,162,36.5,116.5
query_38,prodds,workload_compare,,,,10,10,0,0.0,184.0,171,242,34.0,148.0
query_39,prodds,workload_compare,,,,10,10,0,0.0,130.0,117,143,37.0,93.0
query_40,prodds,workload_compare,,,,10,10,0,0.0,85.5,79,96,36.5,48.5
query_41,prodds,workload_compare,,,,10,10,0,0.0,222.5,216,263,37.5,186.0
query_42,prodds,workload_compare,,,,10,10,0,0.0,425.0,414,444,39.0,386.0
query_43,prodds,workload_compare,,,,10,10,0,0.0,85.0,77,100,38.5,46.5
query_44,prodds,workload_compare,,,,10,10,0,0.0,110.0,106,130,34.0,76.0
query_45,prodds,workload_compare,,,,10,10,0,0.0,223.5,209,237,36.5,186.5
query_46,prodds,workload_compare,,,,10,10,0,0.0,11080.0,10218,11586,36.0,11044.0
query_47,prodds,workload_compare,,,,10,10,0,0.0,353.5,339,378,37.0,315.5
query_48,prodds,workload_compare,,,,10,10,0,0.0,437.0,420,491,38.0,399.0
query_49,prodds,workload_compare,,,,10,10,0,0.0,142.0,136,152,35.0,107.5
query_50,prodds,workload_compare,,,,10,10,0,0.0,150.5,139,159,35.0,115.0
query_join_J50,prodds,workload_compare,,,,10,10,0,0.0,89420.0,86465,91205,50.5,89370.0
query_union_U50,prodds,workload_compare,,,,10,10,0,0.0,43092.5,42292,47809,39.0,43053.0
query_51,prodds,workload_compare,,,,10,10,0,0.0,229.5,220,271,34.0,195.5
query_52,prodds,workload_compare,,,,10,10,0,0.0,71.0,69,78,34.5,37.0
query_53,prodds,workload_compare,,,,10,10,0,0.0,187.5,171,234,36.0,151.5
query_54,prodds,workload_compare,,,,10,10,0,0.0,2312.5,2126,2399,35.0,2277.5
query_55,prodds,workload_compare,,,,10,10,0,0.0,1685.5,1661,1717,35.5,1649.0
query_56,prodds,workload_compare,,,,10,10,0,0.0,170.0,147,178,35.0,135.0
query_57,prodds,workload_compare,,,,10,10,0,0.0,97.5,84,111,34.0,63.0
query_58,prodds,workload_compare,,,,10,10,0,0.0,76.5,71,89,35.0,41.5
query_59,prodds,workload_compare,,,,10,10,0,0.0,182.0,176,209,35.5,147.0
query_60,prodds,workload_compare,,,,10,10,0,0.0,73.5,69,76,35.5,38.0
query_61,prodds,workload_compare,,,,10,10,0,0.0,112.5,105,125,33.0,80.0
query_62,prodds,workload_compare,,,,10,10,0,0.0,103.5,95,114,34.5,69.0
query_63,prodds,workload_compare,,,,10,10,0,0.0,139.5,126,153,36.0,103.5
query_64,prodds,workload_compare,,,,10,10,0,0.0,72.5,71,74,34.5,37.5
query_65,prodds,workload_compare,,,,10,10,0,0.0,79.0,70,99,37.0,42.0
query_66,prodds,workload_compare,,,,10,10,0,0.0,119.0,112,138,39.0,80.0
query_67,prodds,workload_compare,,,,10,10,0,0.0,108.5,94,125,33.0,76.0
query_68,prodds,workload_compare,,,,10,10,0,0.0,171.0,164,213,36.0,135.0
query_69,prodds,workload_compare,,,,10,10,0,0.0,3567.5,3407,3676,39.0,3529.0
query_70,prodds,workload_compare,,,,10,10,0,0.0,1031.0,1003,1043,37.0,993.5
query_71,prodds,workload_compare,,,,10,10,0,0.0,260.0,251,274,34.0,226.0
query_72,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_73,prodds,workload_compare,,,,10,10,0,0.0,108.0,105,112,34.0,73.5
query_74,prodds,workload_compare,,,,10,10,0,0.0,94.0,89,117,35.0,59.0
query_75,prodds,workload_compare,,,,10,10,0,0.0,121.0,109,135,34.0,87.0
query_76,prodds,workload_compare,,,,10,10,0,0.0,240.5,229,267,33.5,207.5
query_77,prodds,workload_compare,,,,10,10,0,0.0,2065.5,2019,2142,34.5,2032.5
query_78,prodds,workload_compare,,,,10,10,0,0.0,160.0,142,173,37.0,122.5
query_79,prodds,workload_compare,,,,10,10,0,0.0,94.0,86,115,34.0,59.5
query_80,prodds,workload_compare,,,,10,10,0,0.0,94.0,84,102,36.5,57.0
query_81,prodds,workload_compare,,,,10,10,0,0.0,108.0,98,124,36.5,72.0
query_82,prodds,workload_compare,,,,10,10,0,0.0,96.0,87,101,34.5,60.0
query_83,prodds,workload_compare,,,,10,10,0,0.0,140.5,131,164,36.0,105.5
query_84,prodds,workload_compare,,,,10,10,0,0.0,153.0,143,168,36.0,116.5
query_85,prodds,workload_compare,,,,10,10,0,0.0,195.0,189,207,39.0,156.0
query_86,prodds,workload_compare,,,,10,10,0,0.0,114.5,111,136,34.0,79.0
query_87,prodds,workload_compare,,,,10,10,0,0.0,85.0,82,88,39.0,46.0
query_88,prodds,workload_compare,,,,10,10,0,0.0,79.0,76,84,37.5,42.0
query_89,prodds,workload_compare,,,,10,10,0,0.0,77.0,76,78,37.0,40.0
query_90,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_91,prodds,workload_compare,,,,10,10,0,0.0,90.0,86,103,38.0,53.0
query_92,prodds,workload_compare,,,,10,10,0,0.0,83.0,78,85,38.0,44.5
query_93,prodds,workload_compare,,,,10,10,0,0.0,318.5,296,390,36.5,280.5
query_94,prodds,workload_compare,,,,10,10,0,0.0,151.0,139,235,35.0,115.5
query_95,prodds,workload_compare,,,,10,10,0,0.0,93.0,79,103,40.5,52.5
query_96,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_97,prodds,workload_compare,,,,10,10,0,0.0,142.0,127,208,36.0,106.0
query_98,prodds,workload_compare,,,,10,10,0,0.0,183.0,167,249,38.0,145.0
query_99,prodds,workload_compare,,,,10,10,0,0.0,122.5,119,132,36.0,86.5
query_join_J100,prodds,workload_compare,,,,10,10,0,0.0,104156.5,103059,107604,62.5,104101.5
query_union_U100,prodds,workload_compare,,,,10,10,0,0.0,86539.5,84531,88069,42.0,86497.5
query_join_J200,prodds,workload_compare,,,,10,10,0,0.0,127783.0,124547,130304,84.5,127701.0
query_union_U200,prodds,workload_compare,,,,10,10,0,0.0,175526.0,172187,176413,51.0,175474.5
query_union_U500,prodds,workload_compare,,,,10,10,0,0.0,464502.5,448173,500676,93.5,464413.5
query_union_U1000,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_union_U2048,prodds,workload_compare,,,,1,0,1,1.0,,,,,
