query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,192.0,181,212,73.0,118.0
query_2,prodds,workload_compare,,,,10,10,0,0.0,387.5,359,425,81.0,308.0
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,244.0,227,266,83.0,161.0
query_3,prodds,workload_compare,,,,10,10,0,0.0,862.0,820,938,95.0,772.0
query_4,prodds,workload_compare,,,,10,10,0,0.0,315.0,289,351,91.5,234.0
query_5,prodds,workload_compare,,,,10,10,0,0.0,302.0,274,324,75.0,223.0
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,312.0,287,348,85.0,221.5
query_6,prodds,workload_compare,,,,10,10,0,0.0,343.5,328,379,90.0,251.5
query_7,prodds,workload_compare,,,,10,10,0,0.0,198.0,190,254,87.5,119.0
query_8,prodds,workload_compare,,,,10,10,0,0.0,328.0,306,359,79.5,247.5
query_9,prodds,workload_compare,,,,10,10,0,0.0,259.0,245,290,91.5,167.0
query_10,prodds,workload_compare,,,,10,10,0,0.0,578.0,551,627,94.5,479.5
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,583.5,493,696,85.5,496.5
query_11,prodds,workload_compare,,,,10,10,0,0.0,305.5,262,331,88.0,212.0
query_12,prodds,workload_compare,,,,10,10,0,0.0,285.5,269,302,95.0,190.0
query_13,prodds,workload_compare,,,,10,10,0,0.0,218.5,201,232,93.0,128.5
query_14,prodds,workload_compare,,,,10,10,0,0.0,241.5,220,260,78.0,161.0
query_15,prodds,workload_compare,,,,10,10,0,0.0,188.5,172,205,80.5,109.0
query_16,prodds,workload_compare,,,,10,10,0,0.0,419.5,398,475,85.0,335.5
query_17,prodds,workload_compare,,,,10,10,0,0.0,274.5,253,315,79.0,187.5
query_18,prodds,workload_compare,,,,10,10,0,0.0,305.0,294,345,84.5,220.5
query_19,prodds,workload_compare,,,,10,10,0,0.0,355.5,317,374,103.0,251.0
query_20,prodds,workload_compare,,,,10,10,0,0.0,461.5,417,546,105.0,354.0
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,1038.5,983,1394,96.0,935.0
query_21,prodds,workload_compare,,,,10,10,0,0.0,1004.0,962,1038,89.0,914.0
query_22,prodds,workload_compare,,,,10,10,0,0.0,336.5,296,366,88.5,254.0
query_23,prodds,workload_compare,,,,10,10,0,0.0,709.0,674,787,89.5,623.5
query_24,prodds,workload_compare,,,,10,10,0,0.0,278.5,266,299,92.0,187.0
query_25,prodds,workload_compare,,,,10,10,0,0.0,235.0,212,243,95.0,135.0
query_26,prodds,workload_compare,,,,10,10,0,0.0,364.0,328,389,95.5,275.0
query_27,prodds,workload_compare,,,,10,10,0,0.0,253.5,236,286,86.5,172.0
query_28,prodds,workload_compare,,,,10,10,0,0.0,328.5,305,338,86.5,233.5
query_29,prodds,workload_compare,,,,10,10,0,0.0,423.0,381,508,92.5,328.0
query_30,prodds,workload_compare,,,,10,10,0,0.0,312.5,296,328,96.0,219.0
query_31,prodds,workload_compare,,,,10,10,0,0.0,231.0,207,253,91.5,141.0
query_32,prodds,workload_compare,,,,10,10,0,0.0,276.5,257,288,90.0,185.0
query_33,prodds,workload_compare,,,,10,10,0,0.0,316.0,307,337,92.0,223.5
query_34,prodds,workload_compare,,,,10,10,0,0.0,362.0,345,384,84.0,276.0
query_35,prodds,workload_compare,,,,10,10,0,0.0,1219.5,1129,1314,96.5,1125.5
query_36,prodds,workload_compare,,,,10,10,0,0.0,382.5,311,417,93.5,287.0
query_37,prodds,workload_compare,,,,10,10,0,0.0,329.5,316,363,94.5,234.0
query_38,prodds,workload_compare,,,,10,10,0,0.0,333.0,318,347,90.0,248.5
query_39,prodds,workload_compare,,,,10,10,0,0.0,432.5,399,478,93.5,340.5
query_40,prodds,workload_compare,,,,10,10,0,0.0,201.5,180,236,85.0,112.0
query_41,prodds,workload_compare,,,,10,10,0,0.0,391.5,372,460,85.0,306.0
query_42,prodds,workload_compare,,,,10,10,0,0.0,748.5,721,796,93.5,654.5
query_43,prodds,workload_compare,,,,10,10,0,0.0,498.0,467,538,85.5,410.5
query_44,prodds,workload_compare,,,,10,10,0,0.0,224.5,210,252,80.5,146.0
query_45,prodds,workload_compare,,,,10,10,0,0.0,336.5,290,375,86.5,251.0
query_46,prodds,workload_compare,,,,10,10,0,0.0,1228.0,1173,1277,89.0,1134.5
query_47,prodds,workload_compare,,,,10,10,0,0.0,582.0,532,608,97.5,482.5
query_48,prodds,workload_compare,,,,10,10,0,0.0,473.5,422,538,97.5,380.5
query_49,prodds,workload_compare,,,,10,10,0,0.0,249.0,236,260,93.0,158.5
query_50,prodds,workload_compare,,,,10,10,0,0.0,363.0,323,378,99.0,263.5
query_join_J50,prodds,workload_compare,,,,10,10,0,0.0,1056.5,1023,1137,114.5,942.5
query_51,prodds,workload_compare,,,,10,10,0,0.0,531.5,478,607,97.0,435.5
query_52,prodds,workload_compare,,,,10,10,0,0.0,226.5,217,241,86.0,143.0
query_53,prodds,workload_compare,,,,10,10,0,0.0,351.0,323,383,91.0,258.5
query_54,prodds,workload_compare,,,,10,10,0,0.0,344.0,317,372,88.5,254.0
query_55,prodds,workload_compare,,,,10,10,0,0.0,1374.5,1355,1427,84.0,1292.0
query_56,prodds,workload_compare,,,,10,10,0,0.0,325.5,279,339,91.5,234.0
query_57,prodds,workload_compare,,,,10,10,0,0.0,262.5,242,298,92.0,176.5
query_58,prodds,workload_compare,,,,10,10,0,0.0,241.0,229,263,92.5,149.5
query_59,prodds,workload_compare,,,,10,10,0,0.0,395.0,373,412,87.5,309.5
query_60,prodds,workload_compare,,,,10,10,0,0.0,272.0,244,304,83.5,191.0
query_61,prodds,workload_compare,,,,10,10,0,0.0,336.0,321,371,86.0,251.0
query_62,prodds,workload_compare,,,,10,10,0,0.0,223.0,186,233,91.0,131.5
query_63,prodds,workload_compare,,,,10,10,0,0.0,509.5,497,680,91.5,422.0
query_64,prodds,workload_compare,,,,10,10,0,0.0,202.0,174,216,91.5,110.5
query_65,prodds,workload_compare,,,,10,10,0,0.0,195.5,179,212,94.5,102.0
query_66,prodds,workload_compare,,,,10,10,0,0.0,327.0,314,345,119.0,212.5
query_67,prodds,workload_compare,,,,10,10,0,0.0,292.5,278,302,94.0,196.5
query_68,prodds,workload_compare,,,,10,10,0,0.0,519.0,476,545,94.0,425.0
query_69,prodds,workload_compare,,,,10,10,0,0.0,629.5,584,673,99.0,530.5
query_70,prodds,workload_compare,,,,10,10,0,0.0,539.0,488,577,97.5,441.0
query_71,prodds,workload_compare,,,,10,10,0,0.0,472.5,424,508,96.0,376.5
query_72,prodds,workload_compare,,,,10,10,0,0.0,433.5,396,471,93.5,345.0
query_73,prodds,workload_compare,,,,10,10,0,0.0,344.5,324,368,98.5,249.0
query_74,prodds,workload_compare,,,,10,10,0,0.0,363.5,321,409,93.0,273.0
query_75,prodds,workload_compare,,,,10,10,0,0.0,300.5,272,309,95.0,206.5
query_76,prodds,workload_compare,,,,10,10,0,0.0,404.5,357,421,93.5,311.5
query_77,prodds,workload_compare,,,,10,10,0,0.0,355.5,330,400,91.0,270.0
query_78,prodds,workload_compare,,,,10,10,0,0.0,243.0,228,293,96.5,154.5
query_79,prodds,workload_compare,,,,10,10,0,0.0,273.0,263,306,93.0,183.0
query_80,prodds,workload_compare,,,,10,10,0,0.0,213.0,203,224,90.0,124.5
query_81,prodds,workload_compare,,,,10,10,0,0.0,288.5,277,323,88.5,202.0
query_82,prodds,workload_compare,,,,10,10,0,0.0,235.5,217,266,82.0,156.0
query_83,prodds,workload_compare,,,,10,10,0,0.0,336.0,315,403,92.5,249.5
