query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,208.0,195,217,83.0,127.0
query_2,prodds,workload_compare,,,,10,10,0,0.0,398.0,378,480,83.0,316.5
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,264.0,255,315,85.5,182.5
query_3,prodds,workload_compare,,,,10,10,0,0.0,918.5,870,977,95.5,821.5
query_4,prodds,workload_compare,,,,10,10,0,0.0,187.0,175,224,78.0,107.0
query_5,prodds,workload_compare,,,,10,10,0,0.0,326.0,319,377,79.5,245.5
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,347.5,326,391,84.0,265.0
query_6,prodds,workload_compare,,,,10,10,0,0.0,389.0,364,421,94.5,291.5
query_7,prodds,workload_compare,,,,10,10,0,0.0,217.5,205,237,85.0,129.5
query_8,prodds,workload_compare,,,,10,10,0,0.0,383.5,354,429,90.5,292.5
query_9,prodds,workload_compare,,,,10,10,0,0.0,320.0,310,341,87.0,235.5
query_10,prodds,workload_compare,,,,10,10,0,0.0,697.5,626,807,86.0,608.5
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,663.5,592,739,91.0,569.5
query_11,prodds,workload_compare,,,,10,10,0,0.0,331.0,281,356,91.0,239.0
query_12,prodds,workload_compare,,,,10,10,0,0.0,290.0,262,333,82.0,210.0
query_13,prodds,workload_compare,,,,10,10,0,0.0,220.0,204,259,93.5,136.0
query_14,prodds,workload_compare,,,,10,10,0,0.0,272.0,257,286,80.5,189.0
query_15,prodds,workload_compare,,,,10,10,0,0.0,191.0,166,224,83.0,103.0
query_16,prodds,workload_compare,,,,10,10,0,0.0,408.5,379,450,83.5,323.0
query_17,prodds,workload_compare,,,,10,10,0,0.0,276.5,253,293,84.0,190.5
query_18,prodds,workload_compare,,,,10,10,0,0.0,323.0,306,345,88.5,228.5
query_19,prodds,workload_compare,,,,10,10,0,0.0,363.0,346,427,101.5,262.5
query_20,prodds,workload_compare,,,,10,10,0,0.0,508.0,481,551,96.5,407.5
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,1219.5,1167,1354,94.0,1117.5
query_21,prodds,workload_compare,,,,10,10,0,0.0,990.0,917,1025,86.0,897.5
query_22,prodds,workload_compare,,,,10,10,0,0.0,350.5,319,385,89.0,259.0
query_23,prodds,workload_compare,,,,10,10,0,0.0,733.0,685,816,87.5,648.0
query_24,prodds,workload_compare,,,,10,10,0,0.0,284.5,261,298,81.0,203.5
query_25,prodds,workload_compare,,,,10,10,0,0.0,218.5,205,234,88.5,129.5
query_26,prodds,workload_compare,,,,10,10,0,0.0,397.0,383,415,90.0,306.5
query_27,prodds,workload_compare,,,,10,10,0,0.0,288.0,276,296,84.5,200.5
query_28,prodds,workload_compare,,,,10,10,0,0.0,375.5,355,402,86.0,289.0
query_29,prodds,workload_compare,,,,10,10,0,0.0,463.5,449,506,92.5,376.5
query_30,prodds,workload_compare,,,,10,10,0,0.0,335.5,318,358,83.0,246.5
query_31,prodds,workload_compare,,,,10,10,0,0.0,237.5,230,269,92.5,148.0
query_32,prodds,workload_compare,,,,10,10,0,0.0,296.0,268,372,93.0,204.5
query_33,prodds,workload_compare,,,,10,10,0,0.0,338.0,313,361,95.5,243.0
query_34,prodds,workload_compare,,,,10,10,0,0.0,361.5,317,385,89.5,277.5
query_35,prodds,workload_compare,,,,10,10,0,0.0,1239.0,1143,1313,94.5,1145.5
query_36,prodds,workload_compare,,,,10,10,0,0.0,371.0,335,392,93.0,282.5
query_37,prodds,workload_compare,,,,10,10,0,0.0,348.0,317,392,91.5,266.5
query_38,prodds,workload_compare,,,,10,10,0,0.0,427.5,377,463,83.0,348.0
query_39,prodds,workload_compare,,,,10,10,0,0.0,434.0,411,522,89.0,345.0
query_40,prodds,workload_compare,,,,10,10,0,0.0,192.0,179,209,81.0,111.5
query_41,prodds,workload_compare,,,,10,10,0,0.0,463.0,430,481,90.0,375.0
query_42,prodds,workload_compare,,,,10,10,0,0.0,581.5,563,595,94.0,491.0
query_43,prodds,workload_compare,,,,10,10,0,0.0,481.5,442,561,93.5,385.0
query_44,prodds,workload_compare,,,,10,10,0,0.0,246.0,241,258,83.0,165.5
query_45,prodds,workload_compare,,,,10,10,0,0.0,346.5,331,374,84.5,263.0
query_46,prodds,workload_compare,,,,10,10,0,0.0,1297.0,1234,1383,85.0,1217.0
query_47,prodds,workload_compare,,,,10,10,0,0.0,646.5,568,697,91.5,554.5
query_48,prodds,workload_compare,,,,10,10,0,0.0,489.5,466,517,94.0,397.5
query_49,prodds,workload_compare,,,,10,10,0,0.0,250.5,237,265,84.5,163.0
query_50,prodds,workload_compare,,,,10,10,0,0.0,341.0,314,371,90.5,252.5
query_join_J50,prodds,workload_compare,,,,10,10,0,0.0,1102.5,1079,1223,108.5,993.0
query_51,prodds,workload_compare,,,,10,10,0,0.0,520.0,474,603,88.5,430.0
query_52,prodds,workload_compare,,,,10,10,0,0.0,239.0,226,264,82.5,158.5
