query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,49.0,43,52,15.0,33.5
query_2,prodds,workload_compare,,,,10,10,0,0.0,292.5,272,317,17.0,276.0
query_union_U2,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_3,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_4,prodds,workload_compare,,,,10,10,0,0.0,80.0,67,101,16.5,65.0
query_5,prodds,workload_compare,,,,10,10,0,0.0,3289.5,3067,4476,19.0,3270.5
query_union_U5,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_6,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_7,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_8,prodds,workload_compare,,,,10,10,0,0.0,171.5,143,229,18.0,153.5
query_9,prodds,workload_compare,,,,10,10,0,0.0,572.0,548,672,17.5,554.0
query_10,prodds,workload_compare,,,,10,10,0,0.0,8642.0,7307,9865,20.0,8623.5
query_union_U10,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_11,prodds,workload_compare,,,,10,10,0,0.0,27.0,24,38,13.0,13.5
query_12,prodds,workload_compare,,,,10,10,0,0.0,226.5,196,254,17.0,210.0
query_13,prodds,workload_compare,,,,10,10,0,0.0,51.5,46,62,16.0,37.0
query_14,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_15,prodds,workload_compare,,,,10,10,0,0.0,88.0,86,105,14.5,73.5
query_16,prodds,workload_compare,,,,10,10,0,0.0,597.5,566,710,20.5,573.5
query_17,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_18,prodds,workload_compare,,,,10,10,0,0.0,59.5,53,76,14.0,45.5
query_19,prodds,workload_compare,,,,10,10,0,0.0,1338.0,746,1631,20.0,1318.0
query_20,prodds,workload_compare,,,,10,10,0,0.0,588.0,524,2717,20.5,569.0
query_union_U20,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_21,prodds,workload_compare,,,,10,10,0,0.0,26.0,23,56,13.0,13.0
query_22,prodds,workload_compare,,,,10,10,0,0.0,83.0,72,107,16.5,67.0
query_23,prodds,workload_compare,,,,10,10,0,0.0,310.0,293,399,17.0,293.0
query_24,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_25,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_26,prodds,workload_compare,,,,10,10,0,0.0,452.0,377,990,19.0,434.5
query_27,prodds,workload_compare,,,,10,10,0,0.0,77.5,71,1419,17.5,59.0
query_28,prodds,workload_compare,,,,10,10,0,0.0,186.5,141,256,17.5,168.5
query_29,prodds,workload_compare,,,,10,10,0,0.0,100.5,95,145,18.0,82.5
query_30,prodds,workload_compare,,,,10,10,0,0.0,317.0,286,384,16.0,301.0
query_31,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_32,prodds,workload_compare,,,,1,0,1,1.0,,,,,
query_33,prodds,workload_compare,,,,10,10,0,0.0,144.0,121,179,17.5,124.5
query_34,prodds,workload_compare,,,,10,10,0,0.0,651.0,589,740,17.0,635.0
query_35,prodds,workload_compare,,,,10,10,0,0.0,3781.5,3577,10934,18.5,3763.5
query_36,prodds,workload_compare,,,,10,10,0,0.0,95.5,92,116,15.5,80.0
query_37,prodds,workload_compare,,,,10,10,0,0.0,137.0,114,153,18.0,120.0
