query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,196.0,183,208,71.5,122.0
query_2,prodds,workload_compare,,,,10,10,0,0.0,436.5,422,454,81.5,356.5
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,277.5,242,289,73.0,205.5
query_3,prodds,workload_compare,,,,10,10,0,0.0,864.0,852,904,81.5,775.5
query_4,prodds,workload_compare,,,,10,10,0,0.0,183.5,172,190,72.0,109.0
query_5,prodds,workload_compare,,,,10,10,0,0.0,323.0,302,337,74.0,250.5
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,356.5,341,410,75.0,283.0
query_6,prodds,workload_compare,,,,10,10,0,0.0,416.0,385,448,89.0,329.5
query_7,prodds,workload_compare,,,,10,10,0,0.0,202.5,193,215,80.5,122.0
query_8,prodds,workload_compare,,,,10,10,0,0.0,361.5,324,387,73.0,286.5
query_9,prodds,workload_compare,,,,10,10,0,0.0,326.0,297,365,81.0,245.0
query_10,prodds,workload_compare,,,,10,10,0,0.0,652.0,630,693,83.5,564.5
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,702.5,618,773,81.5,622.0
query_11,prodds,workload_compare,,,,10,10,0,0.0,301.5,298,315,74.5,226.0
query_12,prodds,workload_compare,,,,10,10,0,0.0,320.5,276,344,77.0,241.5
query_13,prodds,workload_compare,,,,10,10,0,0.0,212.5,204,226,82.0,132.5
query_14,prodds,workload_compare,,,,10,10,0,0.0,254.0,243,266,76.0,179.5
query_15,prodds,workload_compare,,,,10,10,0,0.0,272.0,240,305,73.5,195.5
query_16,prodds,workload_compare,,,,10,10,0,0.0,464.5,427,507,76.0,389.0
query_17,prodds,workload_compare,,,,10,10,0,0.0,287.5,267,311,82.0,206.5
query_18,prodds,workload_compare,,,,10,10,0,0.0,300.0,289,330,78.5,223.0
query_19,prodds,workload_compare,,,,10,10,0,0.0,348.0,323,366,87.0,259.0
query_20,prodds,workload_compare,,,,10,10,0,0.0,543.0,501,579,90.5,448.0
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,1185.0,1157,1352,87.5,1098.0
query_21,prodds,workload_compare,,,,10,10,0,0.0,994.5,961,1019,90.5,908.5
query_22,prodds,workload_compare,,,,10,10,0,0.0,345.5,311,361,77.5,263.5
query_23,prodds,workload_compare,,,,10,10,0,0.0,464.5,444,521,82.5,377.0
query_24,prodds,workload_compare,,,,10,10,0,0.0,276.5,256,301,80.0,194.0
query_25,prodds,workload_compare,,,,10,10,0,0.0,199.5,193,213,79.0,119.5
query_26,prodds,workload_compare,,,,10,10,0,0.0,401.5,365,420,82.5,319.0
query_27,prodds,workload_compare,,,,10,10,0,0.0,276.5,243,286,76.5,198.5
query_28,prodds,workload_compare,,,,10,10,0,0.0,333.5,309,365,78.5,249.5
query_29,prodds,workload_compare,,,,10,10,0,0.0,493.0,484,541,86.5,409.5
query_30,prodds,workload_compare,,,,10,10,0,0.0,374.5,359,386,79.0,293.5
query_31,prodds,workload_compare,,,,10,10,0,0.0,238.0,224,252,81.0,155.5
query_32,prodds,workload_compare,,,,10,10,0,0.0,347.5,299,377,75.5,271.0
query_33,prodds,workload_compare,,,,10,10,0,0.0,373.0,354,398,82.5,294.5
query_34,prodds,workload_compare,,,,10,10,0,0.0,387.5,345,400,78.0,308.0
query_35,prodds,workload_compare,,,,10,10,0,0.0,1305.5,1254,1363,92.0,1215.0
query_36,prodds,workload_compare,,,,10,10,0,0.0,374.0,360,401,83.0,289.5
query_37,prodds,workload_compare,,,,10,10,0,0.0,347.5,314,368,89.5,263.0
query_38,prodds,workload_compare,,,,10,10,0,0.0,468.0,388,500,83.0,382.0
query_39,prodds,workload_compare,,,,10,10,0,0.0,452.5,423,494,88.0,358.0
query_40,prodds,workload_compare,,,,10,10,0,0.0,183.5,175,206,75.0,111.0
query_41,prodds,workload_compare,,,,10,10,0,0.0,481.5,442,497,85.0,390.5
query_42,prodds,workload_compare,,,,10,10,0,0.0,585.0,554,601,86.0,499.5
query_43,prodds,workload_compare,,,,10,10,0,0.0,467.5,450,558,82.0,383.5
query_44,prodds,workload_compare,,,,10,10,0,0.0,242.0,229,262,77.0,163.5
query_45,prodds,workload_compare,,,,10,10,0,0.0,366.0,349,384,87.5,281.0
query_46,prodds,workload_compare,,,,10,10,0,0.0,1432.5,1259,1616,85.5,1348.5
query_47,prodds,workload_compare,,,,10,10,0,0.0,676.0,621,721,86.5,587.5
query_48,prodds,workload_compare,,,,10,10,0,0.0,478.0,408,556,86.0,387.5
query_49,prodds,workload_compare,,,,10,10,0,0.0,246.5,234,256,86.0,156.5
query_50,prodds,workload_compare,,,,10,10,0,0.0,344.5,301,388,88.0,256.5
query_join_J50,prodds,workload_compare,,,,10,10,0,0.0,1084.5,1066,1190,110.0,975.0
query_51,prodds,workload_compare,,,,10,10,0,0.0,534.0,522,610,92.0,447.5
query_52,prodds,workload_compare,,,,10,10,0,0.0,341.0,317,358,84.5,256.5
query_53,prodds,workload_compare,,,,10,10,0,0.0,425.0,399,455,89.5,336.0
query_54,prodds,workload_compare,,,,10,10,0,0.0,363.5,349,389,89.0,278.0
query_55,prodds,workload_compare,,,,10,10,0,0.0,1392.5,1355,1437,83.0,1314.0
query_56,prodds,workload_compare,,,,10,10,0,0.0,323.5,297,357,85.0,241.0
query_57,prodds,workload_compare,,,,10,10,0,0.0,267.0,256,289,87.0,178.5
query_58,prodds,workload_compare,,,,10,10,0,0.0,261.5,236,281,89.5,180.0
query_59,prodds,workload_compare,,,,10,10,0,0.0,415.0,384,424,81.0,330.5
query_60,prodds,workload_compare,,,,10,10,0,0.0,320.0,302,340,81.5,242.5
query_61,prodds,workload_compare,,,,10,10,0,0.0,348.0,333,374,78.0,270.0
query_62,prodds,workload_compare,,,,10,10,0,0.0,214.0,202,228,83.0,132.0
query_63,prodds,workload_compare,,,,10,10,0,0.0,584.0,568,602,89.0,491.0
query_64,prodds,workload_compare,,,,10,10,0,0.0,290.0,275,298,78.5,213.5
query_65,prodds,workload_compare,,,,10,10,0,0.0,255.5,224,273,80.5,171.5
query_66,prodds,workload_compare,,,,10,10,0,0.0,364.5,333,384,109.0,250.5
query_67,prodds,workload_compare,,,,10,10,0,0.0,318.0,299,339,79.0,235.0
query_68,prodds,workload_compare,,,,10,10,0,0.0,456.5,438,485,80.0,378.5
query_69,prodds,workload_compare,,,,10,10,0,0.0,664.5,640,704,87.0,576.5
query_70,prodds,workload_compare,,,,10,10,0,0.0,457.5,439,490,87.0,375.5
query_71,prodds,workload_compare,,,,10,10,0,0.0,604.5,575,640,79.0,517.5
query_72,prodds,workload_compare,,,,10,10,0,0.0,425.5,407,455,78.5,345.5
query_73,prodds,workload_compare,,,,10,10,0,0.0,334.0,291,348,75.0,259.0
query_74,prodds,workload_compare,,,,10,10,0,0.0,349.5,337,366,79.0,273.5
query_75,prodds,workload_compare,,,,10,10,0,0.0,308.5,288,325,81.0,222.5
query_76,prodds,workload_compare,,,,10,10,0,0.0,432.5,411,436,75.5,351.0
