query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,195.5,185,209,71.0,123.0
query_2,prodds,workload_compare,,,,10,10,0,0.0,398.5,364,437,78.0,316.0
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,259.0,248,292,75.0,186.5
query_3,prodds,workload_compare,,,,10,10,0,0.0,849.0,786,875,86.0,758.0
query_4,prodds,workload_compare,,,,10,10,0,0.0,181.5,175,197,71.0,110.0
query_5,prodds,workload_compare,,,,10,10,0,0.0,327.0,297,344,76.5,247.0
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,345.5,330,373,82.5,260.5
query_6,prodds,workload_compare,,,,10,10,0,0.0,393.0,364,410,97.0,296.5
query_7,prodds,workload_compare,,,,10,10,0,0.0,212.5,194,232,85.5,124.5
query_8,prodds,workload_compare,,,,10,10,0,0.0,361.5,333,398,87.0,282.5
query_9,prodds,workload_compare,,,,10,10,0,0.0,329.0,308,350,92.5,243.0
query_10,prodds,workload_compare,,,,10,10,0,0.0,632.0,604,693,83.5,544.5
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,643.0,609,737,81.5,557.0
query_11,prodds,workload_compare,,,,10,10,0,0.0,300.5,292,327,76.0,224.5
query_12,prodds,workload_compare,,,,10,10,0,0.0,302.0,277,318,80.5,226.0
query_13,prodds,workload_compare,,,,10,10,0,0.0,204.5,194,217,75.5,127.5
query_14,prodds,workload_compare,,,,10,10,0,0.0,239.0,233,243,72.0,168.0
query_15,prodds,workload_compare,,,,10,10,0,0.0,267.0,256,292,75.5,190.5
query_16,prodds,workload_compare,,,,10,10,0,0.0,439.0,420,464,81.0,358.0
query_17,prodds,workload_compare,,,,10,10,0,0.0,207.5,198,236,76.5,129.5
query_18,prodds,workload_compare,,,,10,10,0,0.0,306.5,294,325,78.5,225.0
query_19,prodds,workload_compare,,,,10,10,0,0.0,362.0,343,382,90.0,268.0
query_20,prodds,workload_compare,,,,10,10,0,0.0,524.0,488,570,89.0,435.0
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,1266.5,1159,1467,89.5,1177.5
