query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,187.5,181,216,67.0,119.5
query_2,prodds,workload_compare,,,,10,10,0,0.0,436.0,409,484,75.0,359.5
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,249.0,238,277,72.5,174.0
query_3,prodds,workload_compare,,,,10,10,0,0.0,896.0,835,947,90.0,810.0
query_4,prodds,workload_compare,,,,10,10,0,0.0,176.5,168,180,70.5,104.0
query_5,prodds,workload_compare,,,,10,10,0,0.0,331.5,295,346,74.5,252.5
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,350.0,321,389,75.5,266.5
query_6,prodds,workload_compare,,,,10,10,0,0.0,398.0,364,435,84.0,314.0
query_7,prodds,workload_compare,,,,10,10,0,0.0,200.0,189,234,79.5,120.5
query_8,prodds,workload_compare,,,,10,10,0,0.0,368.0,347,397,75.0,290.0
query_9,prodds,workload_compare,,,,10,10,0,0.0,329.5,309,342,80.5,247.0
query_10,prodds,workload_compare,,,,10,10,0,0.0,640.0,603,661,85.5,548.5
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,648.5,596,780,84.0,569.5
query_11,prodds,workload_compare,,,,10,10,0,0.0,306.0,287,323,79.0,224.5
query_12,prodds,workload_compare,,,,10,10,0,0.0,319.0,276,337,85.0,235.5
query_13,prodds,workload_compare,,,,10,10,0,0.0,212.5,198,219,82.5,128.0
query_14,prodds,workload_compare,,,,10,10,0,0.0,249.5,232,273,74.5,177.0
query_15,prodds,workload_compare,,,,10,10,0,0.0,277.0,252,292,76.0,197.5
query_16,prodds,workload_compare,,,,10,10,0,0.0,480.5,431,504,80.5,398.0
query_17,prodds,workload_compare,,,,10,10,0,0.0,284.0,260,303,82.5,197.0
query_18,prodds,workload_compare,,,,10,10,0,0.0,320.0,297,332,81.0,231.0
query_19,prodds,workload_compare,,,,10,10,0,0.0,353.0,316,392,98.5,257.0
query_20,prodds,workload_compare,,,,10,10,0,0.0,527.0,477,553,90.0,438.5
query_union_U20,prodds,workload_compare,,,,10,10,0,0.0,1323.0,1150,1439,92.0,1227.5
query_21,prodds,workload_compare,,,,10,10,0,0.0,981.0,966,1018,85.5,898.5
query_22,prodds,workload_compare,,,,10,10,0,0.0,347.0,321,365,81.5,266.0
query_23,prodds,workload_compare,,,,10,10,0,0.0,457.5,446,486,78.0,378.5
query_24,prodds,workload_compare,,,,10,10,0,0.0,277.0,272,297,78.5,199.5
query_25,prodds,workload_compare,,,,10,10,0,0.0,212.5,192,237,82.0,129.0
query_26,prodds,workload_compare,,,,10,10,0,0.0,409.5,385,440,85.5,324.0
query_27,prodds,workload_compare,,,,10,10,0,0.0,282.5,268,298,85.0,199.0
query_28,prodds,workload_compare,,,,10,10,0,0.0,332.5,316,353,83.0,245.5
query_29,prodds,workload_compare,,,,10,10,0,0.0,505.0,421,561,91.0,424.5
query_30,prodds,workload_compare,,,,10,10,0,0.0,376.5,365,395,86.5,291.0
query_31,prodds,workload_compare,,,,10,10,0,0.0,247.5,229,261,89.0,159.5
query_32,prodds,workload_compare,,,,10,10,0,0.0,349.5,306,387,84.0,264.0
query_33,prodds,workload_compare,,,,10,10,0,0.0,378.0,364,389,87.5,291.5
query_34,prodds,workload_compare,,,,10,10,0,0.0,381.5,373,397,80.0,300.5
query_35,prodds,workload_compare,,,,10,10,0,0.0,1315.0,1215,1374,87.5,1229.5
query_36,prodds,workload_compare,,,,10,10,0,0.0,384.5,371,400,82.5,299.5
query_37,prodds,workload_compare,,,,10,10,0,0.0,336.0,293,384,78.5,259.0
query_38,prodds,workload_compare,,,,10,10,0,0.0,453.5,353,492,76.0,371.5
query_39,prodds,workload_compare,,,,10,10,0,0.0,451.5,429,505,88.5,365.0
query_40,prodds,workload_compare,,,,10,10,0,0.0,184.5,173,200,75.0,108.0
query_41,prodds,workload_compare,,,,10,10,0,0.0,481.5,466,498,83.0,400.0
query_42,prodds,workload_compare,,,,10,10,0,0.0,582.0,560,596,81.5,497.0
query_43,prodds,workload_compare,,,,10,10,0,0.0,466.0,446,527,88.0,379.0
query_44,prodds,workload_compare,,,,10,10,0,0.0,238.0,221,249,76.0,161.5
query_45,prodds,workload_compare,,,,10,10,0,0.0,371.0,340,400,84.0,287.5
query_46,prodds,workload_compare,,,,10,10,0,0.0,1458.5,1276,1596,83.0,1375.5
query_47,prodds,workload_compare,,,,10,10,0,0.0,687.5,646,712,94.5,592.5
query_48,prodds,workload_compare,,,,10,10,0,0.0,470.0,422,549,92.5,372.0
query_49,prodds,workload_compare,,,,10,10,0,0.0,246.0,233,257,91.0,156.0
query_50,prodds,workload_compare,,,,10,10,0,0.0,348.5,321,377,90.5,268.0
query_join_J50,prodds,workload_compare,,,,10,10,0,0.0,1080.0,1054,1126,106.0,974.5
query_51,prodds,workload_compare,,,,10,10,0,0.0,545.0,513,617,92.5,450.5
query_52,prodds,workload_compare,,,,10,10,0,0.0,337.5,332,356,84.0,260.0
query_53,prodds,workload_compare,,,,10,10,0,0.0,430.5,393,467,91.5,340.5
query_54,prodds,workload_compare,,,,10,10,0,0.0,361.5,328,395,89.0,274.5
query_55,prodds,workload_compare,,,,10,10,0,0.0,1403.0,1363,1441,80.0,1317.5
query_56,prodds,workload_compare,,,,10,10,0,0.0,340.0,296,377,90.0,258.0
query_57,prodds,workload_compare,,,,10,10,0,0.0,276.5,251,306,88.5,196.5
query_58,prodds,workload_compare,,,,10,10,0,0.0,265.5,252,284,89.0,180.5
query_59,prodds,workload_compare,,,,10,10,0,0.0,428.0,401,445,87.5,342.0
query_60,prodds,workload_compare,,,,10,10,0,0.0,319.0,296,344,83.5,234.5
query_61,prodds,workload_compare,,,,10,10,0,0.0,362.0,345,367,80.5,276.0
query_62,prodds,workload_compare,,,,10,10,0,0.0,212.0,205,233,84.5,132.0
query_63,prodds,workload_compare,,,,10,10,0,0.0,579.5,559,602,91.0,484.0
query_64,prodds,workload_compare,,,,10,10,0,0.0,301.5,278,307,88.0,214.0
query_65,prodds,workload_compare,,,,10,10,0,0.0,269.0,231,275,85.0,180.0
query_66,prodds,workload_compare,,,,10,10,0,0.0,357.0,338,366,107.5,251.0
query_67,prodds,workload_compare,,,,10,10,0,0.0,333.5,316,355,89.5,246.5
query_68,prodds,workload_compare,,,,10,10,0,0.0,469.5,444,503,81.0,388.5
query_69,prodds,workload_compare,,,,10,10,0,0.0,661.0,650,694,90.0,571.0
query_70,prodds,workload_compare,,,,10,10,0,0.0,457.5,435,467,81.0,372.0
query_71,prodds,workload_compare,,,,10,10,0,0.0,624.5,570,662,86.5,533.0
query_72,prodds,workload_compare,,,,10,10,0,0.0,448.5,405,465,90.0,357.5
query_73,prodds,workload_compare,,,,10,10,0,0.0,341.0,312,375,90.0,258.0
query_74,prodds,workload_compare,,,,10,10,0,0.0,353.5,321,388,82.5,271.0
query_75,prodds,workload_compare,,,,10,10,0,0.0,295.5,266,335,85.0,211.0
query_76,prodds,workload_compare,,,,10,10,0,0.0,451.0,407,467,80.0,367.5
query_77,prodds,workload_compare,,,,10,10,0,0.0,390.5,346,427,79.0,307.0
query_78,prodds,workload_compare,,,,10,10,0,0.0,240.0,219,262,89.0,147.5
query_79,prodds,workload_compare,,,,10,10,0,0.0,291.0,268,329,77.0,215.0
query_80,prodds,workload_compare,,,,10,10,0,0.0,198.5,187,216,82.5,115.0
query_81,prodds,workload_compare,,,,10,10,0,0.0,340.0,325,357,85.0,259.0
query_82,prodds,workload_compare,,,,10,10,0,0.0,247.0,230,269,74.5,172.5
query_83,prodds,workload_compare,,,,10,10,0,0.0,354.0,328,421,83.5,273.5
query_84,prodds,workload_compare,,,,10,10,0,0.0,349.0,334,362,77.0,269.5
query_85,prodds,workload_compare,,,,10,10,0,0.0,286.5,270,310,78.0,209.0
query_86,prodds,workload_compare,,,,10,10,0,0.0,230.0,212,248,78.0,150.0
query_87,prodds,workload_compare,,,,10,10,0,0.0,633.5,600,657,83.5,549.5
query_88,prodds,workload_compare,,,,10,10,0,0.0,275.5,262,306,84.5,190.0
query_89,prodds,workload_compare,,,,10,10,0,0.0,373.5,368,399,80.5,296.5
query_90,prodds,workload_compare,,,,10,10,0,0.0,223.5,207,246,80.0,141.5
query_91,prodds,workload_compare,,,,10,10,0,0.0,377.5,332,401,81.5,299.5
query_92,prodds,workload_compare,,,,10,10,0,0.0,223.5,211,241,79.0,145.0
query_93,prodds,workload_compare,,,,10,10,0,0.0,597.0,572,672,83.0,509.5
query_94,prodds,workload_compare,,,,10,10,0,0.0,325.5,311,378,84.5,243.0
query_95,prodds,workload_compare,,,,10,10,0,0.0,450.5,421,474,78.0,373.0
query_96,prodds,workload_compare,,,,10,10,0,0.0,282.0,257,311,86.5,193.5
query_97,prodds,workload_compare,,,,10,10,0,0.0,421.0,393,453,80.5,335.5
query_98,prodds,workload_compare,,,,10,10,0,0.0,341.5,304,411,87.5,254.5
query_99,prodds,workload_compare,,,,10,10,0,0.0,395.0,346,431,81.5,306.5
query_join_J100,prodds,workload_compare,,,,10,10,0,0.0,1607.0,1552,1784,122.5,1482.5
query_join_J200,prodds,workload_compare,,,,10,10,0,0.0,2760.0,2724,2920,205.5,2551.0
