query_id,suite,experiment_name,join_count,string_level,seed,runs_total,runs_success,runs_failed,failure_rate,median_ms,min_ms,max_ms,median_planning_ms,median_execution_ms
query_1,prodds,workload_compare,,,,10,10,0,0.0,197.0,194,208,74.0,124.5
query_2,prodds,workload_compare,,,,10,10,0,0.0,409.0,384,445,78.0,330.0
query_union_U2,prodds,workload_compare,,,,10,10,0,0.0,262.5,248,277,80.5,180.5
query_3,prodds,workload_compare,,,,10,10,0,0.0,873.5,782,921,88.5,787.0
query_4,prodds,workload_compare,,,,10,10,0,0.0,180.5,174,210,75.0,108.5
query_5,prodds,workload_compare,,,,10,10,0,0.0,333.5,306,338,85.0,247.5
query_union_U5,prodds,workload_compare,,,,10,10,0,0.0,368.5,337,379,85.0,282.0
query_6,prodds,workload_compare,,,,10,10,0,0.0,354.0,327,396,89.0,263.5
query_7,prodds,workload_compare,,,,10,10,0,0.0,213.5,196,222,87.0,128.0
query_8,prodds,workload_compare,,,,10,10,0,0.0,364.0,330,395,81.0,283.5
query_9,prodds,workload_compare,,,,10,10,0,0.0,323.0,299,350,82.5,241.5
query_10,prodds,workload_compare,,,,10,10,0,0.0,614.5,553,669,89.0,528.0
query_union_U10,prodds,workload_compare,,,,10,10,0,0.0,659.5,631,833,90.0,565.5
query_11,prodds,workload_compare,,,,10,10,0,0.0,304.0,290,318,87.5,220.0
query_12,prodds,workload_compare,,,,10,10,0,0.0,287.5,274,328,85.5,206.5
query_13,prodds,workload_compare,,,,10,10,0,0.0,208.5,196,230,80.0,127.5
query_14,prodds,workload_compare,,,,10,10,0,0.0,254.5,235,267,77.5,178.5
query_15,prodds,workload_compare,,,,10,10,0,0.0,265.0,246,287,75.0,183.5
query_16,prodds,workload_compare,,,,10,10,0,0.0,448.5,420,474,87.0,364.0
query_17,prodds,workload_compare,,,,10,10,0,0.0,216.0,209,228,91.0,129.5
query_18,prodds,workload_compare,,,,10,10,0,0.0,304.5,288,348,80.5,223.0
