engine,query_name,status,execution_time_s,paper_category,detail_reason_code,detail_signature
duckdb,query_1.sql,SUCCESS,1.093000,SUCCESS,,
duckdb,query_2.sql,SUCCESS,1.111000,SUCCESS,,
duckdb,query_3.sql,SUCCESS,1.397000,SUCCESS,,
duckdb,query_4.sql,SUCCESS,2.213000,SUCCESS,,
duckdb,query_5.sql,SUCCESS,1.467000,SUCCESS,,
duckdb,query_6.sql,SUCCESS,1.027000,SUCCESS,,
duckdb,query_7.sql,SUCCESS,1.580000,SUCCESS,,
duckdb,query_8.sql,SUCCESS,1.220000,SUCCESS,,
duckdb,query_9.sql,SUCCESS,0.954000,SUCCESS,,
duckdb,query_10.sql,SUCCESS,1.129000,SUCCESS,,
duckdb,query_11.sql,SUCCESS,1.622000,SUCCESS,,
duckdb,query_12.sql,SUCCESS,0.680000,SUCCESS,,
duckdb,query_13.sql,SUCCESS,1.805000,SUCCESS,,
duckdb,query_14.sql,SUCCESS,3.527000,SUCCESS,,
duckdb,query_15.sql,SUCCESS,0.573000,SUCCESS,,
duckdb,query_16.sql,SUCCESS,0.520000,SUCCESS,,
duckdb,query_17.sql,SUCCESS,1.373000,SUCCESS,,
duckdb,query_18.sql,SUCCESS,0.685000,SUCCESS,,
duckdb,query_19.sql,SUCCESS,1.252000,SUCCESS,,
duckdb,query_20.sql,SUCCESS,0.579000,SUCCESS,,
duckdb,query_21.sql,SUCCESS,0.466000,SUCCESS,,
duckdb,query_22.sql,SUCCESS,1.672000,SUCCESS,,
duckdb,query_23.sql,SUCCESS,1.416000,SUCCESS,,
duckdb,query_24.sql,SUCCESS,1.344000,SUCCESS,,
duckdb,query_25.sql,SUCCESS,0.797000,SUCCESS,,
duckdb,query_26.sql,SUCCESS,0.685000,SUCCESS,,
duckdb,query_27.sql,SUCCESS,1.791000,SUCCESS,,
duckdb,query_28.sql,SUCCESS,1.025000,SUCCESS,,
duckdb,query_29.sql,SUCCESS,1.544000,SUCCESS,,
duckdb,query_30.sql,SUCCESS,0.576000,SUCCESS,,
duckdb,query_31.sql,SUCCESS,1.191000,SUCCESS,,
duckdb,query_32.sql,SUCCESS,0.612000,SUCCESS,,
duckdb,query_33.sql,SUCCESS,1.398000,SUCCESS,,
duckdb,query_34.sql,SUCCESS,1.210000,SUCCESS,,
duckdb,query_35.sql,SUCCESS,1.631000,SUCCESS,,
duckdb,query_36.sql,SUCCESS,1.332000,SUCCESS,,
duckdb,query_37.sql,SUCCESS,0.740000,SUCCESS,,
duckdb,query_38.sql,SUCCESS,1.096000,SUCCESS,,
duckdb,query_39.sql,SUCCESS,0.539000,SUCCESS,,
duckdb,query_40.sql,SUCCESS,0.592000,SUCCESS,,
duckdb,query_41.sql,SUCCESS,0.382000,SUCCESS,,
duckdb,query_42.sql,SUCCESS,1.121000,SUCCESS,,
duckdb,query_43.sql,SUCCESS,0.826000,SUCCESS,,
duckdb,query_44.sql,SUCCESS,0.815000,SUCCESS,,
duckdb,query_45.sql,SUCCESS,0.605000,SUCCESS,,
duckdb,query_46.sql,SUCCESS,1.630000,SUCCESS,,
duckdb,query_47.sql,SUCCESS,3.136000,SUCCESS,,
duckdb,query_48.sql,SUCCESS,1.305000,SUCCESS,,
duckdb,query_49.sql,SUCCESS,2.212000,SUCCESS,,
duckdb,query_50.sql,SUCCESS,1.459000,SUCCESS,,
duckdb,query_51.sql,SUCCESS,1.919000,SUCCESS,,
duckdb,query_52.sql,SUCCESS,1.106000,SUCCESS,,
duckdb,query_53.sql,SUCCESS,1.052000,SUCCESS,,
duckdb,query_54.sql,ERROR,0.429000,FAILURE,SCALAR_SUBQUERY_MULTIPLE_ROWS,Invalid Input Error: More than one row returned by a subquery used as an expression - scalar subqueries can only return a single row.
duckdb,query_55.sql,SUCCESS,0.824000,SUCCESS,,
duckdb,query_56.sql,SUCCESS,1.387000,SUCCESS,,
duckdb,query_57.sql,SUCCESS,1.379000,SUCCESS,,
duckdb,query_58.sql,SUCCESS,0.387000,SUCCESS,,
duckdb,query_59.sql,SUCCESS,1.501000,SUCCESS,,
duckdb,query_60.sql,SUCCESS,1.485000,SUCCESS,,
duckdb,query_61.sql,SUCCESS,1.442000,SUCCESS,,
duckdb,query_62.sql,SUCCESS,0.680000,SUCCESS,,
duckdb,query_63.sql,SUCCESS,1.184000,SUCCESS,,
duckdb,query_64.sql,SUCCESS,3.210000,SUCCESS,,
duckdb,query_65.sql,SUCCESS,1.531000,SUCCESS,,
duckdb,query_66.sql,SUCCESS,0.933000,SUCCESS,,
duckdb,query_67.sql,SUCCESS,2.609000,SUCCESS,,
duckdb,query_68.sql,SUCCESS,1.591000,SUCCESS,,
duckdb,query_69.sql,SUCCESS,0.950000,SUCCESS,,
duckdb,query_70.sql,SUCCESS,1.029000,SUCCESS,,
duckdb,query_71.sql,SUCCESS,1.439000,SUCCESS,,
duckdb,query_72.sql,SUCCESS,1.555000,SUCCESS,,
duckdb,query_73.sql,SUCCESS,1.089000,SUCCESS,,
duckdb,query_74.sql,SUCCESS,1.636000,SUCCESS,,
duckdb,query_75.sql,SUCCESS,7.021000,SUCCESS,,
duckdb,query_76.sql,SUCCESS,1.640000,SUCCESS,,
duckdb,query_77.sql,SUCCESS,1.375000,SUCCESS,,
duckdb,query_78.sql,SUCCESS,2.753000,SUCCESS,,
duckdb,query_79.sql,SUCCESS,1.436000,SUCCESS,,
duckdb,query_80.sql,SUCCESS,2.026000,SUCCESS,,
duckdb,query_81.sql,SUCCESS,0.606000,SUCCESS,,
duckdb,query_82.sql,SUCCESS,0.441000,SUCCESS,,
duckdb,query_83.sql,SUCCESS,0.516000,SUCCESS,,
duckdb,query_84.sql,SUCCESS,0.538000,SUCCESS,,
duckdb,query_85.sql,SUCCESS,0.733000,SUCCESS,,
duckdb,query_86.sql,SUCCESS,0.664000,SUCCESS,,
duckdb,query_87.sql,SUCCESS,1.021000,SUCCESS,,
duckdb,query_88.sql,SUCCESS,2.537000,SUCCESS,,
duckdb,query_89.sql,SUCCESS,1.254000,SUCCESS,,
duckdb,query_90.sql,SUCCESS,0.683000,SUCCESS,,
duckdb,query_91.sql,SUCCESS,0.452000,SUCCESS,,
duckdb,query_92.sql,SUCCESS,0.563000,SUCCESS,,
duckdb,query_93.sql,SUCCESS,0.840000,SUCCESS,,
duckdb,query_94.sql,SUCCESS,0.535000,SUCCESS,,
duckdb,query_95.sql,SUCCESS,1.730000,SUCCESS,,
duckdb,query_96.sql,SUCCESS,0.859000,SUCCESS,,
duckdb,query_97.sql,SUCCESS,1.077000,SUCCESS,,
duckdb,query_98.sql,SUCCESS,1.102000,SUCCESS,,
duckdb,query_99.sql,SUCCESS,0.667000,SUCCESS,,
postgres,query_1.sql,SUCCESS,10.635000,SUCCESS,,
postgres,query_2.sql,SUCCESS,184.355000,SUCCESS,,
postgres,query_3.sql,SUCCESS,40.061000,SUCCESS,,
postgres,query_4.sql,ERROR,1800.746000,TIMEOUT,statement timeout (~1800s),
postgres,query_5.sql,SUCCESS,90.307000,SUCCESS,,
postgres,query_6.sql,SUCCESS,34.210000,SUCCESS,,
postgres,query_7.sql,SUCCESS,31.820000,SUCCESS,,
postgres,query_8.sql,SUCCESS,30.990000,SUCCESS,,
postgres,query_9.sql,SUCCESS,302.665000,SUCCESS,,
postgres,query_10.sql,SUCCESS,94.960000,SUCCESS,,
postgres,query_11.sql,ERROR,1800.277000,TIMEOUT,statement timeout (~1800s),
postgres,query_12.sql,SUCCESS,11.754000,SUCCESS,,
postgres,query_13.sql,SUCCESS,33.199000,SUCCESS,,
postgres,query_14.sql,ERROR,1800.060000,TIMEOUT,statement timeout (~1800s),
postgres,query_15.sql,SUCCESS,23.264000,SUCCESS,,
postgres,query_16.sql,SUCCESS,233.186000,SUCCESS,,
postgres,query_17.sql,ERROR,1800.080000,TIMEOUT,statement timeout (~1800s),
postgres,query_18.sql,SUCCESS,62.438000,SUCCESS,,
postgres,query_19.sql,SUCCESS,30.599000,SUCCESS,,
postgres,query_20.sql,SUCCESS,24.254000,SUCCESS,,
postgres,query_21.sql,SUCCESS,1.674000,SUCCESS,,
postgres,query_22.sql,SUCCESS,79.874000,SUCCESS,,
postgres,query_23.sql,SUCCESS,0.339000,SUCCESS,,
postgres,query_24.sql,SUCCESS,35.177000,SUCCESS,,
postgres,query_25.sql,ERROR,1800.066000,TIMEOUT,statement timeout (~1800s),
postgres,query_26.sql,SUCCESS,24.413000,SUCCESS,,
postgres,query_27.sql,SUCCESS,31.425000,SUCCESS,,
postgres,query_28.sql,SUCCESS,187.687000,SUCCESS,,
postgres,query_29.sql,ERROR,1800.065000,TIMEOUT,statement timeout (~1800s),
postgres,query_30.sql,ERROR,1800.051000,TIMEOUT,statement timeout (~1800s),
