engine,join_level,rep,planning_time_ms,execution_time_ms,total_time_ms,status
cedardb,1,1,38.232,622747.528,622785.760,SUCCESS
cedardb,1,2,39.651,614367.319,614406.971,SUCCESS
cedardb,16,1,41.372,713440.466,713481.837,SUCCESS
cedardb,16,2,42.118,707234.783,707276.901,SUCCESS
cedardb,16,3,41.137,732681.796,732722.933,SUCCESS
cedardb,16,4,40.075,738831.746,738871.821,SUCCESS
cedardb,16,5,40.763,702101.697,702142.460,SUCCESS
cedardb,16,6,40.810,713882.083,713922.893,SUCCESS
cedardb,16,7,42.235,699936.701,699978.935,SUCCESS
cedardb,16,8,42.461,752777.963,752820.425,SUCCESS
cedardb,16,9,42.433,704468.400,704510.833,SUCCESS
cedardb,16,10,42.962,692270.204,692313.166,SUCCESS
cedardb,32,1,45.877,740674.434,740720.311,SUCCESS
cedardb,32,2,48.296,752729.159,752777.455,SUCCESS
cedardb,32,3,46.711,761089.607,761136.318,SUCCESS
cedardb,32,4,45.839,770957.653,771003.492,SUCCESS
cedardb,32,5,44.181,760564.891,760609.071,SUCCESS
cedardb,32,6,47.463,737702.105,737749.569,SUCCESS
cedardb,32,7,44.593,748792.400,748836.993,SUCCESS
cedardb,32,8,46.671,770112.289,770158.960,SUCCESS
cedardb,32,9,47.438,718782.782,718830.221,SUCCESS
cedardb,32,10,48.674,770126.498,770175.172,SUCCESS
cedardb,64,1,54.294,910395.022,910449.316,SUCCESS
cedardb,64,2,57.187,864899.032,864956.219,SUCCESS
cedardb,64,3,66.383,850765.257,850831.639,SUCCESS
cedardb,64,4,56.065,864273.812,864329.877,SUCCESS
cedardb,64,5,51.679,852404.920,852456.600,SUCCESS
cedardb,64,6,55.720,862971.751,863027.471,SUCCESS
cedardb,64,7,55.468,857845.010,857900.478,SUCCESS
cedardb,64,8,58.765,847609.911,847668.676,SUCCESS
cedardb,64,9,56.708,885118.279,885174.988,SUCCESS
cedardb,64,10,65.876,859045.583,859111.460,SUCCESS
cedardb,128,1,80.642,1021116.794,1021197.436,SUCCESS
cedardb,128,2,77.352,1040015.157,1040092.509,SUCCESS
cedardb,128,3,72.812,989038.997,989111.809,SUCCESS
cedardb,128,4,77.177,1040304.179,1040381.355,SUCCESS
cedardb,128,5,72.083,1001547.131,1001619.214,SUCCESS
cedardb,128,6,77.417,1010020.564,1010097.981,SUCCESS
cedardb,128,7,76.438,987922.871,987999.309,SUCCESS
cedardb,128,8,74.906,1046572.974,1046647.879,SUCCESS
cedardb,128,9,80.810,1018865.486,1018946.296,SUCCESS
cedardb,128,10,71.553,1047945.476,1048017.029,SUCCESS
duckdb,1,1,305.163,2831.023,3136.187,SUCCESS
duckdb,1,2,309.841,2819.504,3129.345,SUCCESS
duckdb,1,3,319.115,2730.199,3049.314,SUCCESS
duckdb,1,4,322.029,2880.660,3202.689,SUCCESS
duckdb,1,5,486.463,2830.384,3316.846,SUCCESS
duckdb,1,6,480.734,2907.591,3388.325,SUCCESS
duckdb,1,7,304.014,2863.756,3167.770,SUCCESS
duckdb,1,8,475.547,2718.704,3194.251,SUCCESS
duckdb,1,9,470.297,2872.635,3342.933,SUCCESS
duckdb,1,10,311.915,2672.665,2984.580,SUCCESS
duckdb,2,1,478.402,2751.714,3230.116,SUCCESS
duckdb,2,2,314.275,2904.897,3219.173,SUCCESS
duckdb,2,3,411.744,2731.160,3142.904,SUCCESS
duckdb,2,4,483.568,2881.396,3364.964,SUCCESS
duckdb,2,5,317.989,2716.972,3034.961,SUCCESS
duckdb,2,6,475.906,2822.691,3298.597,SUCCESS
duckdb,2,7,318.283,2833.054,3151.338,SUCCESS
duckdb,2,8,308.251,2723.168,3031.419,SUCCESS
duckdb,2,9,481.150,2840.689,3321.839,SUCCESS
duckdb,2,10,315.756,2796.703,3112.460,SUCCESS
duckdb,4,1,304.878,2830.354,3135.232,SUCCESS
duckdb,4,2,486.660,2900.583,3387.242,SUCCESS
duckdb,4,3,311.454,2699.451,3010.906,SUCCESS
duckdb,4,4,460.229,2861.478,3321.706,SUCCESS
duckdb,4,5,319.540,2697.813,3017.353,SUCCESS
duckdb,4,6,309.625,2720.426,3030.051,SUCCESS
duckdb,4,7,466.095,2847.248,3313.343,SUCCESS
duckdb,4,8,463.993,2955.647,3419.640,SUCCESS
duckdb,4,9,466.028,2856.305,3322.332,SUCCESS
duckdb,4,10,324.913,2950.927,3275.841,SUCCESS
duckdb,8,1,323.139,2856.850,3179.990,SUCCESS
