engine,query_name,median_s,mean_s,stddev_s,n_success
cedardb,query_1.sql,0.133573,0.134637,0.006162,10
cedardb,query_10.sql,0.162245,0.161671,0.006280,10
cedardb,query_11.sql,0.365854,0.366850,0.006066,10
cedardb,query_12.sql,0.108179,0.108810,0.003914,10
cedardb,query_13.sql,0.173728,0.181132,0.014739,10
cedardb,query_15.sql,0.082500,0.082407,0.003086,10
cedardb,query_16.sql,0.093180,0.105706,0.030253,10
cedardb,query_17.sql,1.105097,1.123347,0.077854,10
cedardb,query_19.sql,0.386081,0.386115,0.004788,10
cedardb,query_2.sql,0.213886,0.215729,0.007971,10
cedardb,query_20.sql,0.119945,0.120226,0.002321,10
cedardb,query_21.sql,0.142813,0.151273,0.045998,10
cedardb,query_22.sql,1.485142,1.485657,0.015610,10
cedardb,query_23.sql,0.428702,0.428352,0.008524,10
cedardb,query_24.sql,0.510481,0.510518,0.010834,10
cedardb,query_25.sql,0.233802,0.235818,0.007059,10
cedardb,query_26.sql,0.290050,0.291727,0.007168,10
cedardb,query_28.sql,0.205663,0.213665,0.030884,10
cedardb,query_29.sql,0.329101,0.334005,0.011211,10
cedardb,query_3.sql,0.538563,0.537909,0.011014,10
cedardb,query_30.sql,0.088936,0.090863,0.008577,10
cedardb,query_31.sql,0.182255,0.183468,0.005114,10
cedardb,query_32.sql,0.113347,0.114516,0.003201,10
cedardb,query_33.sql,0.457373,0.460554,0.009429,10
cedardb,query_34.sql,0.145151,0.145423,0.001438,10
cedardb,query_35.sql,0.353658,0.356557,0.015278,10
cedardb,query_36.sql,0.357628,0.357748,0.004730,10
cedardb,query_37.sql,0.154249,0.152806,0.003563,10
cedardb,query_38.sql,2.300021,2.302182,0.022292,10
cedardb,query_39.sql,0.140863,0.141341,0.002731,10
cedardb,query_4.sql,0.617405,0.641846,0.091267,10
cedardb,query_40.sql,0.104865,0.104873,0.001815,10
cedardb,query_41.sql,0.055935,0.057028,0.003052,10
cedardb,query_42.sql,0.241273,0.241809,0.003954,10
cedardb,query_43.sql,0.095554,0.096910,0.005713,10
cedardb,query_44.sql,0.079130,0.077836,0.003438,10
cedardb,query_45.sql,0.113131,0.115572,0.004886,10
cedardb,query_46.sql,0.197118,0.199613,0.012834,10
cedardb,query_47.sql,1.231969,1.233586,0.012076,10
cedardb,query_48.sql,0.147386,0.147898,0.003900,10
cedardb,query_49.sql,0.817884,0.817943,0.008908,10
cedardb,query_5.sql,0.487621,0.501025,0.043285,10
cedardb,query_50.sql,0.250734,0.250977,0.004094,10
cedardb,query_51.sql,0.496517,0.493033,0.011189,10
cedardb,query_52.sql,0.335176,0.336026,0.004847,10
cedardb,query_53.sql,0.217016,0.219964,0.009219,10
cedardb,query_54.sql,0.253915,0.254771,0.003187,10
cedardb,query_55.sql,0.196345,0.197843,0.004192,10
cedardb,query_56.sql,0.448047,0.451341,0.011948,10
cedardb,query_57.sql,0.482279,0.484986,0.009488,10
cedardb,query_59.sql,0.256627,0.256367,0.002491,10
cedardb,query_6.sql,0.246325,0.249201,0.007486,10
cedardb,query_61.sql,0.536968,0.536768,0.004847,10
cedardb,query_62.sql,0.083099,0.084010,0.003041,10
cedardb,query_63.sql,0.216139,0.216627,0.004404,10
cedardb,query_64.sql,1.090657,1.112441,0.066526,10
cedardb,query_65.sql,0.674395,0.673229,0.005607,10
cedardb,query_66.sql,0.133900,0.135981,0.009753,10
cedardb,query_67.sql,1.298287,1.312264,0.079739,10
cedardb,query_68.sql,0.223529,0.225244,0.007199,10
cedardb,query_69.sql,0.149142,0.150504,0.007247,10
cedardb,query_7.sql,0.828896,0.829874,0.017393,10
cedardb,query_72.sql,0.163270,0.164316,0.005019,10
cedardb,query_73.sql,0.124995,0.125156,0.001503,10
cedardb,query_74.sql,0.371831,0.374845,0.011111,10
cedardb,query_75.sql,2.335602,2.634586,0.930944,10
cedardb,query_76.sql,0.130101,0.131237,0.006518,10
cedardb,query_77.sql,0.183003,0.182664,0.005519,10
cedardb,query_78.sql,1.143857,1.145688,0.011449,10
cedardb,query_79.sql,0.184743,0.184992,0.002631,10
cedardb,query_8.sql,0.152165,0.151620,0.004821,10
cedardb,query_80.sql,0.423285,0.426926,0.009703,10
cedardb,query_81.sql,0.129041,0.133649,0.013934,10
cedardb,query_82.sql,0.099975,0.101676,0.005725,10
cedardb,query_84.sql,0.150879,0.152970,0.007271,10
cedardb,query_85.sql,0.122734,0.123563,0.011974,10
cedardb,query_86.sql,0.115310,0.119453,0.013274,10
cedardb,query_87.sql,2.234914,2.224287,0.021447,10
cedardb,query_88.sql,0.582825,0.586530,0.009581,10
cedardb,query_89.sql,0.382845,0.383148,0.003636,10
cedardb,query_9.sql,0.262190,0.267709,0.013610,10
cedardb,query_90.sql,0.102796,0.104426,0.006755,10
cedardb,query_91.sql,0.081247,0.081334,0.004226,10
cedardb,query_92.sql,0.122323,0.123255,0.003289,10
cedardb,query_93.sql,0.036834,0.036460,0.002456,10
cedardb,query_94.sql,0.038081,0.039580,0.002731,10
cedardb,query_95.sql,0.112550,0.113082,0.004258,10
cedardb,query_96.sql,0.111716,0.111456,0.001600,10
cedardb,query_98.sql,0.354981,0.354064,0.004219,10
cedardb,query_99.sql,0.147419,0.147025,0.004795,10
duckdb,query_1.sql,0.901716,0.932114,0.096880,10
duckdb,query_10.sql,1.029948,1.051411,0.063990,10
duckdb,query_11.sql,1.450856,1.465159,0.063845,10
duckdb,query_12.sql,0.545589,0.560952,0.039322,10
duckdb,query_13.sql,1.673123,1.678728,0.059332,10
duckdb,query_15.sql,0.560300,0.609016,0.074015,10
duckdb,query_16.sql,0.563993,0.557893,0.054802,10
duckdb,query_17.sql,1.416987,1.430510,0.083552,10
duckdb,query_19.sql,1.228721,1.250224,0.058206,10
duckdb,query_2.sql,1.055975,1.060706,0.066569,10
duckdb,query_20.sql,0.519988,0.531828,0.047370,10
duckdb,query_21.sql,0.483364,0.497951,0.048676,10
duckdb,query_22.sql,1.654954,1.697787,0.091727,10
duckdb,query_23.sql,1.312889,1.322624,0.049963,10
duckdb,query_24.sql,1.328622,1.336916,0.045927,10
duckdb,query_25.sql,0.832627,0.863825,0.083833,10
duckdb,query_26.sql,0.679225,0.718813,0.083486,10
duckdb,query_28.sql,1.035816,1.057162,0.062420,10
duckdb,query_29.sql,1.445399,1.456924,0.057752,10
duckdb,query_3.sql,1.349620,1.390271,0.087237,10
duckdb,query_30.sql,0.527884,0.539381,0.040489,10
duckdb,query_31.sql,1.139771,1.125636,0.064532,10
duckdb,query_32.sql,0.438590,0.449229,0.035502,10
duckdb,query_33.sql,1.322393,1.331449,0.076585,10
duckdb,query_34.sql,1.083298,1.112660,0.060941,10
duckdb,query_35.sql,1.389965,1.417088,0.093423,10
duckdb,query_36.sql,1.281609,1.294108,0.064826,10
duckdb,query_37.sql,0.724628,0.744062,0.066088,10
duckdb,query_38.sql,0.976129,0.998884,0.055100,10
duckdb,query_39.sql,0.453680,0.477987,0.046620,10
duckdb,query_4.sql,2.064975,2.066763,0.065886,10
duckdb,query_40.sql,0.620373,0.672022,0.089065,10
duckdb,query_41.sql,0.384564,0.408286,0.056261,10
duckdb,query_42.sql,1.026229,1.052749,0.071812,10
duckdb,query_43.sql,0.813812,0.850603,0.066823,10
duckdb,query_44.sql,0.839948,0.853518,0.053383,10
duckdb,query_45.sql,0.612410,0.629996,0.051591,10
