suite,engine,run_idx,n_queries,total_time_s
prodds_sf100_str10,cedardb,1,90,34.572783
prodds_sf100_str10,cedardb,10,90,34.521587
prodds_sf100_str10,cedardb,2,90,38.765872
prodds_sf100_str10,cedardb,3,90,34.550618
prodds_sf100_str10,cedardb,4,90,35.024064
prodds_sf100_str10,cedardb,5,90,34.329359
prodds_sf100_str10,cedardb,6,90,34.356523
prodds_sf100_str10,cedardb,7,90,34.414994
prodds_sf100_str10,cedardb,8,90,34.260872
prodds_sf100_str10,cedardb,9,90,34.344311
prodds_sf100_str10,duckdb,1,90,114.884041
prodds_sf100_str10,duckdb,10,90,111.154514
prodds_sf100_str10,duckdb,2,90,112.321005
prodds_sf100_str10,duckdb,3,90,114.792812
prodds_sf100_str10,duckdb,4,90,112.098733
prodds_sf100_str10,duckdb,5,90,112.215637
prodds_sf100_str10,duckdb,6,90,110.995584
prodds_sf100_str10,duckdb,7,90,111.191129
prodds_sf100_str10,duckdb,8,90,111.442403
prodds_sf100_str10,duckdb,9,90,110.832568
prodds_sf100_str10,monetdb,1,90,1438.437969
prodds_sf100_str10,monetdb,10,90,1508.442025
prodds_sf100_str10,monetdb,2,90,1574.308918
prodds_sf100_str10,monetdb,3,90,1471.208524
prodds_sf100_str10,monetdb,4,90,1464.710194
prodds_sf100_str10,monetdb,5,90,1485.028730
prodds_sf100_str10,monetdb,6,90,1497.981770
prodds_sf100_str10,monetdb,7,90,1492.113884
prodds_sf100_str10,monetdb,8,90,1497.361356
prodds_sf100_str10,monetdb,9,90,1468.467447
