engine,query_name,run_idx,execution_time_s
duckdb,query_join_J50.sql,1,468.045706
duckdb,query_join_J100.sql,1,553.838229
duckdb,query_join_J200.sql,1,750.514912
duckdb,query_join_J50.sql,2,469.952363
duckdb,query_join_J100.sql,2,541.137556
duckdb,query_join_J200.sql,2,776.864846
duckdb,query_join_J50.sql,3,482.033937
duckdb,query_join_J100.sql,3,560.124216
duckdb,query_join_J200.sql,3,789.637112
duckdb,query_join_J50.sql,4,485.174867
duckdb,query_join_J100.sql,4,554.632904
duckdb,query_join_J200.sql,4,784.270391
duckdb,query_join_J50.sql,5,479.515352
duckdb,query_join_J100.sql,5,565.530701
duckdb,query_join_J200.sql,5,786.471854
duckdb,query_join_J50.sql,6,482.084243
duckdb,query_join_J100.sql,6,562.348520
duckdb,query_join_J200.sql,6,795.133148
duckdb,query_join_J50.sql,7,477.834110
duckdb,query_join_J100.sql,7,565.898246
duckdb,query_join_J200.sql,7,748.654516
duckdb,query_join_J50.sql,8,478.025654
duckdb,query_join_J100.sql,8,563.496762
duckdb,query_join_J200.sql,8,730.119758
duckdb,query_join_J50.sql,9,482.762548
duckdb,query_join_J100.sql,9,568.493266
duckdb,query_join_J200.sql,9,792.972416
duckdb,query_join_J50.sql,10,470.197807
duckdb,query_join_J100.sql,10,571.877942
duckdb,query_join_J200.sql,10,784.984377
cedardb,query_join_J50.sql,1,821.915591
cedardb,query_join_J100.sql,1,987.617877
cedardb,query_join_J200.sql,1,1158.454786
cedardb,query_join_J50.sql,2,800.970420
cedardb,query_join_J100.sql,2,941.612209
cedardb,query_join_J200.sql,2,1138.143444
cedardb,query_join_J50.sql,3,823.257823
cedardb,query_join_J100.sql,3,943.648592
cedardb,query_join_J200.sql,3,1185.629948
cedardb,query_join_J50.sql,4,810.054844
cedardb,query_join_J100.sql,4,960.410090
cedardb,query_join_J200.sql,4,1127.688163
cedardb,query_join_J50.sql,5,801.014350
cedardb,query_join_J100.sql,5,925.983870
cedardb,query_join_J200.sql,5,1109.211481
cedardb,query_join_J50.sql,6,826.116201
cedardb,query_join_J100.sql,6,931.957862
cedardb,query_join_J200.sql,6,1144.782896
cedardb,query_join_J50.sql,7,814.273807
cedardb,query_join_J100.sql,7,928.555105
cedardb,query_join_J200.sql,7,1140.177968
cedardb,query_join_J50.sql,8,812.630603
cedardb,query_join_J100.sql,8,949.820149
cedardb,query_join_J200.sql,8,1157.844599
cedardb,query_join_J50.sql,9,834.875904
cedardb,query_join_J100.sql,9,939.257178
cedardb,query_join_J200.sql,9,1110.443206
cedardb,query_join_J50.sql,10,806.361231
cedardb,query_join_J100.sql,10,957.090920
cedardb,query_join_J200.sql,10,1126.084996
monetdb,query_join_J50.sql,1,100.853023
monetdb,query_join_J100.sql,1,124.426301
monetdb,query_join_J200.sql,1,200.265829
monetdb,query_join_J50.sql,2,100.939089
monetdb,query_join_J100.sql,2,125.241554
monetdb,query_join_J200.sql,2,200.964088
monetdb,query_join_J50.sql,3,100.471388
monetdb,query_join_J100.sql,3,120.488846
monetdb,query_join_J200.sql,3,200.726905
monetdb,query_join_J50.sql,4,100.546962
monetdb,query_join_J100.sql,4,118.364583
monetdb,query_join_J200.sql,4,198.364695
monetdb,query_join_J50.sql,5,99.063359
monetdb,query_join_J100.sql,5,121.397952
monetdb,query_join_J200.sql,5,197.091347
monetdb,query_join_J50.sql,6,98.687160
monetdb,query_join_J100.sql,6,118.656788
monetdb,query_join_J200.sql,6,197.897855
monetdb,query_join_J50.sql,7,100.201500
monetdb,query_join_J100.sql,7,123.337101
monetdb,query_join_J200.sql,7,202.423357
monetdb,query_join_J50.sql,8,97.862810
monetdb,query_join_J100.sql,8,120.376161
monetdb,query_join_J200.sql,8,195.846777
monetdb,query_join_J50.sql,9,98.279184
monetdb,query_join_J100.sql,9,121.590252
monetdb,query_join_J200.sql,9,197.381406
monetdb,query_join_J50.sql,10,95.674169
monetdb,query_join_J100.sql,10,119.037936
monetdb,query_join_J200.sql,10,197.730729
