engine,query_name,median_s,mean_s,stddev_s,n_success
cedardb,query_1.sql,0.036537,0.037081,0.001585,10
cedardb,query_10.sql,0.036587,0.037051,0.001686,10
cedardb,query_11.sql,0.039013,0.039294,0.001709,10
cedardb,query_12.sql,0.035692,0.035550,0.001304,10
cedardb,query_13.sql,0.038176,0.038214,0.002393,10
cedardb,query_14.sql,0.047933,0.048985,0.002750,10
cedardb,query_15.sql,0.036236,0.036892,0.002433,10
cedardb,query_16.sql,0.037153,0.037137,0.001018,10
cedardb,query_17.sql,0.039691,0.039749,0.001711,10
cedardb,query_18.sql,0.037669,0.037359,0.000754,10
cedardb,query_19.sql,0.036953,0.037041,0.001398,10
cedardb,query_2.sql,0.036247,0.036362,0.000966,10
cedardb,query_20.sql,0.035662,0.036065,0.001937,10
cedardb,query_21.sql,0.036091,0.036149,0.002030,10
cedardb,query_22.sql,0.035332,0.035100,0.001020,10
cedardb,query_23.sql,0.040012,0.040152,0.001069,10
cedardb,query_24.sql,0.038184,0.038276,0.000423,10
cedardb,query_25.sql,0.039519,0.039419,0.001703,10
cedardb,query_26.sql,0.035225,0.035126,0.001086,10
cedardb,query_27.sql,0.036405,0.036492,0.001311,10
cedardb,query_28.sql,0.040489,0.040041,0.001452,10
cedardb,query_29.sql,0.038184,0.038257,0.000746,10
cedardb,query_3.sql,0.035033,0.034841,0.001111,10
cedardb,query_30.sql,0.037082,0.037726,0.002431,10
cedardb,query_31.sql,0.040195,0.040135,0.001166,10
cedardb,query_32.sql,0.035356,0.035465,0.000950,10
cedardb,query_33.sql,0.040535,0.040529,0.000755,10
cedardb,query_34.sql,0.035096,0.035014,0.000531,10
cedardb,query_35.sql,0.039266,0.040791,0.005158,10
cedardb,query_36.sql,0.036157,0.036580,0.002003,10
cedardb,query_37.sql,0.035432,0.035460,0.001191,10
cedardb,query_38.sql,0.035650,0.035444,0.000766,10
cedardb,query_39.sql,0.036528,0.036789,0.002078,10
cedardb,query_4.sql,0.040478,0.040437,0.000716,10
cedardb,query_40.sql,0.035452,0.035569,0.000821,10
cedardb,query_41.sql,0.035357,0.035676,0.000928,10
cedardb,query_42.sql,0.034720,0.034758,0.001192,10
cedardb,query_43.sql,0.036312,0.036806,0.001428,10
cedardb,query_44.sql,0.036399,0.036485,0.000909,10
cedardb,query_45.sql,0.036195,0.036115,0.001090,10
cedardb,query_46.sql,0.036311,0.036422,0.001119,10
cedardb,query_47.sql,0.041620,0.042007,0.001321,10
cedardb,query_48.sql,0.035071,0.035044,0.000738,10
cedardb,query_49.sql,0.043389,0.044342,0.003674,10
cedardb,query_5.sql,0.059339,0.059590,0.003566,10
cedardb,query_50.sql,0.038206,0.040252,0.007474,10
cedardb,query_51.sql,0.040029,0.039858,0.001183,10
cedardb,query_52.sql,0.034694,0.035348,0.002759,10
cedardb,query_53.sql,0.036686,0.036774,0.000873,10
cedardb,query_54.sql,0.039009,0.038874,0.000989,10
cedardb,query_55.sql,0.035326,0.035597,0.001717,10
cedardb,query_56.sql,0.039049,0.039344,0.001438,10
cedardb,query_57.sql,0.041381,0.041059,0.001061,10
cedardb,query_58.sql,0.039522,0.039565,0.000866,10
cedardb,query_6.sql,0.036681,0.036053,0.001370,10
cedardb,query_60.sql,0.039198,0.039626,0.001021,10
cedardb,query_61.sql,0.037222,0.037590,0.001233,10
cedardb,query_62.sql,0.037873,0.038078,0.001277,10
cedardb,query_63.sql,0.036088,0.036067,0.000730,10
cedardb,query_64.sql,0.051248,0.051432,0.001310,10
cedardb,query_65.sql,0.035976,0.036291,0.001221,10
cedardb,query_66.sql,0.050006,0.049801,0.001065,10
cedardb,query_67.sql,0.036570,0.037107,0.001473,10
cedardb,query_68.sql,0.037096,0.037133,0.001021,10
cedardb,query_69.sql,0.036729,0.038066,0.004483,10
cedardb,query_7.sql,0.034364,0.034951,0.001554,10
cedardb,query_70.sql,0.039484,0.039589,0.002509,10
cedardb,query_71.sql,0.036187,0.036553,0.001453,10
cedardb,query_72.sql,0.040616,0.041086,0.001326,10
cedardb,query_73.sql,0.034774,0.034890,0.000763,10
