engine,query_name,run_idx,execution_time_s
duckdb,query_1.sql,1,0.488261
duckdb,query_2.sql,1,0.662835
duckdb,query_3.sql,1,0.587111
duckdb,query_4.sql,1,2.307037
duckdb,query_5.sql,1,1.320973
duckdb,query_6.sql,1,0.771433
duckdb,query_7.sql,1,1.101498
duckdb,query_8.sql,1,0.902732
duckdb,query_9.sql,1,0.831728
duckdb,query_10.sql,1,0.657191
duckdb,query_11.sql,1,1.610290
duckdb,query_12.sql,1,0.522141
duckdb,query_13.sql,1,1.020819
duckdb,query_14.sql,1,4.746267
duckdb,query_15.sql,1,0.410405
duckdb,query_16.sql,1,0.462479
duckdb,query_17.sql,1,1.078688
duckdb,query_18.sql,1,0.448772
duckdb,query_19.sql,1,0.947054
duckdb,query_20.sql,1,0.450923
duckdb,query_21.sql,1,0.377416
duckdb,query_22.sql,1,2.317726
duckdb,query_23.sql,1,4.045768
duckdb,query_24.sql,1,0.790858
duckdb,query_25.sql,1,0.840010
duckdb,query_26.sql,1,0.456858
duckdb,query_27.sql,1,1.121264
duckdb,query_28.sql,1,0.995666
duckdb,query_29.sql,1,1.132746
duckdb,query_30.sql,1,0.519092
duckdb,query_31.sql,1,0.735344
duckdb,query_32.sql,1,0.336229
duckdb,query_33.sql,1,0.834159
duckdb,query_34.sql,1,0.871917
duckdb,query_35.sql,1,1.059929
duckdb,query_36.sql,1,0.888387
duckdb,query_37.sql,1,0.961849
duckdb,query_38.sql,1,0.944655
duckdb,query_39.sql,1,0.564654
duckdb,query_40.sql,1,0.471829
duckdb,query_41.sql,1,0.251547
duckdb,query_42.sql,1,0.585730
duckdb,query_43.sql,1,0.599530
duckdb,query_44.sql,1,0.914291
duckdb,query_45.sql,1,0.580354
duckdb,query_46.sql,1,1.026566
duckdb,query_47.sql,1,2.129546
duckdb,query_48.sql,1,0.877109
duckdb,query_49.sql,1,1.287817
duckdb,query_50.sql,1,0.780239
duckdb,query_51.sql,1,3.996174
duckdb,query_52.sql,1,0.623900
duckdb,query_53.sql,1,0.730028
duckdb,query_54.sql,1,0.901548
duckdb,query_55.sql,1,0.598465
duckdb,query_56.sql,1,1.104672
duckdb,query_57.sql,1,1.107876
duckdb,query_58.sql,1,1.113033
duckdb,query_60.sql,1,0.912823
duckdb,query_61.sql,1,0.282280
duckdb,query_62.sql,1,0.474234
duckdb,query_63.sql,1,0.670380
duckdb,query_64.sql,1,2.185303
duckdb,query_65.sql,1,1.417340
duckdb,query_66.sql,1,0.612176
duckdb,query_67.sql,1,7.273629
duckdb,query_68.sql,1,1.038506
duckdb,query_69.sql,1,0.876539
duckdb,query_70.sql,1,0.719543
duckdb,query_71.sql,1,0.928885
duckdb,query_72.sql,1,1.169941
duckdb,query_73.sql,1,0.727272
duckdb,query_74.sql,1,1.265838
duckdb,query_75.sql,1,2.023584
duckdb,query_76.sql,1,1.074752
duckdb,query_77.sql,1,0.808405
duckdb,query_78.sql,1,3.350191
duckdb,query_79.sql,1,0.807408
duckdb,query_80.sql,1,1.715532
duckdb,query_81.sql,1,0.641879
duckdb,query_82.sql,1,0.663543
duckdb,query_83.sql,1,0.458672
duckdb,query_84.sql,1,0.289631
duckdb,query_85.sql,1,0.740719
duckdb,query_86.sql,1,0.513689
duckdb,query_87.sql,1,0.931792
duckdb,query_88.sql,1,1.023592
duckdb,query_89.sql,1,0.737265
duckdb,query_90.sql,1,0.323766
duckdb,query_91.sql,1,0.297879
duckdb,query_92.sql,1,0.450373
duckdb,query_93.sql,1,2.137438
duckdb,query_94.sql,1,0.465006
