engine,union_level,median_planning_ms,median_execution_ms,median_total_ms,mean_total_ms,stddev_total_ms,n_success,n_fail
cedardb,2,36.937,1877.823,1915.115,1916.413,18.347,10,0
cedardb,4,36.268,5387.544,5423.570,5296.283,363.060,10,0
cedardb,8,36.278,14339.488,14376.528,14156.052,810.978,10,0
cedardb,16,37.128,33070.904,33108.244,33096.707,1025.502,10,0
cedardb,32,38.087,73969.772,74007.749,74312.117,1840.768,10,0
cedardb,64,40.944,153180.821,153222.701,154060.676,3385.556,10,0
cedardb,128,48.916,346434.165,346488.783,345642.081,12678.066,10,0
duckdb,2,444.500,942.360,1379.586,1376.890,84.777,10,0
duckdb,4,388.747,1211.923,1633.511,1620.927,92.997,10,0
duckdb,8,320.391,1935.696,2261.721,2305.479,160.532,10,0
duckdb,16,337.505,3931.655,4342.957,4342.447,114.693,10,0
duckdb,32,350.036,6816.482,7222.110,7244.057,187.376,10,0
duckdb,64,389.789,12667.525,13073.951,13142.291,254.525,10,0
duckdb,128,525.717,23632.205,24146.210,24370.631,478.277,10,0
duckdb,256,1068.867,43963.635,45111.245,45354.986,2368.125,10,0
duckdb,512,,,,,,0,10
duckdb,1024,,,,,,0,10
duckdb,2048,,,,,,0,10
monetdb,2,12.721,144.123,157.651,157.596,4.497,10,0
monetdb,4,13.005,304.313,317.797,367.644,114.465,10,0
monetdb,8,12.287,815.314,827.455,872.353,119.501,10,0
monetdb,16,13.905,1816.753,1832.401,1882.798,143.194,10,0
monetdb,32,16.534,3394.640,3411.602,3402.054,89.039,10,0
monetdb,64,19.827,6687.653,6707.745,6862.517,510.991,10,0
monetdb,128,90.790,185405.682,185491.625,178428.804,14422.398,10,0
monetdb,256,74.853,310617.537,310695.541,310699.326,2641.469,10,0
monetdb,512,191.180,690898.329,691084.999,687834.844,6702.921,10,0
monetdb,1024,477.341,1725830.308,1726307.648,1726307.648,5888.857,2,0
