engine,union_level,rep,planning_time_ms,execution_time_ms,total_time_ms,status
cedardb,2,1,38.650,1888.449,1927.099,SUCCESS
cedardb,2,2,37.999,1910.021,1948.020,SUCCESS
cedardb,2,3,36.972,1886.893,1923.865,SUCCESS
cedardb,2,4,37.870,1865.625,1903.495,SUCCESS
cedardb,2,5,36.902,1896.172,1933.074,SUCCESS
cedardb,2,6,36.885,1858.131,1895.016,SUCCESS
cedardb,2,7,36.870,1867.060,1903.930,SUCCESS
cedardb,2,8,36.574,1893.166,1929.740,SUCCESS
cedardb,2,9,37.612,1868.754,1906.365,SUCCESS
cedardb,2,10,36.043,1857.479,1893.522,SUCCESS
cedardb,4,1,36.066,4807.695,4843.762,SUCCESS
cedardb,4,2,37.773,4712.322,4750.094,SUCCESS
cedardb,4,3,38.070,4749.510,4787.581,SUCCESS
cedardb,4,4,38.588,5619.836,5658.424,SUCCESS
cedardb,4,5,40.340,5532.218,5572.558,SUCCESS
cedardb,4,6,35.847,5387.964,5423.811,SUCCESS
cedardb,4,7,36.206,5387.124,5423.330,SUCCESS
cedardb,4,8,35.591,5279.578,5315.170,SUCCESS
cedardb,4,9,35.011,5617.666,5652.678,SUCCESS
cedardb,4,10,36.330,5499.094,5535.424,SUCCESS
cedardb,8,1,36.621,14581.100,14617.721,SUCCESS
cedardb,8,2,35.739,12458.638,12494.377,SUCCESS
cedardb,8,3,36.419,14272.239,14308.658,SUCCESS
cedardb,8,4,35.869,14714.398,14750.267,SUCCESS
cedardb,8,5,36.140,14349.808,14385.948,SUCCESS
cedardb,8,6,35.139,14738.010,14773.149,SUCCESS
cedardb,8,7,36.827,14670.189,14707.016,SUCCESS
cedardb,8,8,37.940,14329.168,14367.108,SUCCESS
cedardb,8,9,35.271,12794.953,12830.223,SUCCESS
cedardb,8,10,36.416,14289.636,14326.052,SUCCESS
cedardb,16,1,37.215,32945.925,32983.140,SUCCESS
cedardb,16,2,40.297,34561.733,34602.030,SUCCESS
cedardb,16,3,37.353,33945.895,33983.248,SUCCESS
cedardb,16,4,36.222,30624.116,30660.338,SUCCESS
cedardb,16,5,37.041,32782.488,32819.530,SUCCESS
cedardb,16,6,37.505,33529.014,33566.519,SUCCESS
cedardb,16,7,36.418,32751.980,32788.398,SUCCESS
cedardb,16,8,37.646,33005.643,33043.289,SUCCESS
cedardb,16,9,37.034,33136.165,33173.199,SUCCESS
cedardb,16,10,36.905,33310.473,33347.378,SUCCESS
cedardb,32,1,37.450,75147.123,75184.574,SUCCESS
cedardb,32,2,38.159,74311.694,74349.853,SUCCESS
cedardb,32,3,38.122,77917.901,77956.023,SUCCESS
cedardb,32,4,39.523,73411.446,73450.970,SUCCESS
cedardb,32,5,37.794,73627.850,73665.644,SUCCESS
cedardb,32,6,39.654,70842.298,70881.952,SUCCESS
cedardb,32,7,37.123,75366.252,75403.375,SUCCESS
cedardb,32,8,38.051,73592.266,73630.317,SUCCESS
cedardb,32,9,38.311,75228.812,75267.123,SUCCESS
cedardb,32,10,37.608,73293.735,73331.343,SUCCESS
cedardb,64,1,40.326,161184.002,161224.329,SUCCESS
cedardb,64,2,40.414,152876.823,152917.237,SUCCESS
cedardb,64,3,40.944,151513.642,151554.586,SUCCESS
cedardb,64,4,42.608,150940.477,150983.085,SUCCESS
cedardb,64,5,41.284,153498.871,153540.154,SUCCESS
cedardb,64,6,40.944,153355.369,153396.313,SUCCESS
cedardb,64,7,40.555,155746.946,155787.501,SUCCESS
cedardb,64,8,42.817,153006.272,153049.089,SUCCESS
cedardb,64,9,41.066,150159.159,150200.225,SUCCESS
cedardb,64,10,40.724,157913.513,157954.237,SUCCESS
cedardb,128,1,49.801,354152.693,354202.494,SUCCESS
cedardb,128,2,59.021,348547.842,348606.863,SUCCESS
cedardb,128,3,50.215,344320.488,344370.703,SUCCESS
cedardb,128,4,49.029,319368.024,319417.053,SUCCESS
cedardb,128,5,52.131,354451.979,354504.111,SUCCESS
cedardb,128,6,48.803,333334.948,333383.751,SUCCESS
cedardb,128,7,47.996,361524.408,361572.403,SUCCESS
cedardb,128,8,47.375,357522.457,357569.832,SUCCESS
cedardb,128,9,48.171,344019.558,344067.730,SUCCESS
cedardb,128,10,46.775,338679.095,338725.870,SUCCESS
duckdb,2,1,317.834,1060.557,1378.390,SUCCESS
duckdb,2,2,324.764,1046.201,1370.966,SUCCESS
duckdb,2,3,311.218,916.053,1227.272,SUCCESS
duckdb,2,4,475.232,908.365,1383.597,SUCCESS
duckdb,2,5,415.374,938.572,1353.945,SUCCESS
duckdb,2,6,314.608,981.744,1296.352,SUCCESS
duckdb,2,7,473.626,946.147,1419.772,SUCCESS
duckdb,2,8,476.529,1081.540,1558.070,SUCCESS
duckdb,2,9,475.550,905.233,1380.783,SUCCESS
duckdb,2,10,478.043,921.715,1399.758,SUCCESS
duckdb,4,1,324.138,1315.685,1639.823,SUCCESS
duckdb,4,2,478.875,1166.658,1645.534,SUCCESS
duckdb,4,3,477.315,1120.860,1598.175,SUCCESS
duckdb,4,4,467.956,1217.619,1685.575,SUCCESS
duckdb,4,5,320.944,1296.035,1616.979,SUCCESS
duckdb,4,6,335.906,1307.017,1642.924,SUCCESS
duckdb,4,7,309.927,1128.081,1438.008,SUCCESS
duckdb,4,8,475.776,1151.424,1627.199,SUCCESS
duckdb,4,9,441.588,1349.166,1790.753,SUCCESS
duckdb,4,10,318.075,1206.226,1524.301,SUCCESS
duckdb,8,1,314.525,1871.153,2185.678,SUCCESS
duckdb,8,2,319.244,1976.795,2296.039,SUCCESS
duckdb,8,3,424.627,2112.792,2537.419,SUCCESS
duckdb,8,4,479.164,2098.648,2577.813,SUCCESS
duckdb,8,5,332.807,1894.597,2227.403,SUCCESS
duckdb,8,6,310.293,1879.686,2189.979,SUCCESS
duckdb,8,7,321.538,2045.704,2367.242,SUCCESS
duckdb,8,8,317.962,1840.714,2158.676,SUCCESS
duckdb,8,9,313.251,2085.589,2398.840,SUCCESS
duckdb,8,10,322.208,1793.499,2115.706,SUCCESS
duckdb,16,1,484.882,3944.520,4429.401,SUCCESS
duckdb,16,2,328.220,3921.117,4249.337,SUCCESS
duckdb,16,3,315.629,4148.766,4464.395,SUCCESS
duckdb,16,4,316.330,3841.801,4158.132,SUCCESS
duckdb,16,5,337.924,3948.618,4286.541,SUCCESS
duckdb,16,6,328.453,3896.613,4225.066,SUCCESS
duckdb,16,7,337.086,4171.731,4508.817,SUCCESS
duckdb,16,8,494.227,3888.700,4382.927,SUCCESS
duckdb,16,9,474.676,3942.194,4416.870,SUCCESS
duckdb,16,10,491.980,3811.007,4302.987,SUCCESS
duckdb,32,1,349.021,6749.967,7098.988,SUCCESS
duckdb,32,2,333.663,6716.922,7050.586,SUCCESS
duckdb,32,3,337.898,6816.219,7154.117,SUCCESS
duckdb,32,4,350.384,6939.718,7290.102,SUCCESS
duckdb,32,5,505.902,6877.704,7383.607,SUCCESS
duckdb,32,6,343.266,6689.322,7032.588,SUCCESS
duckdb,32,7,349.687,7004.837,7354.524,SUCCESS
duckdb,32,8,492.947,6816.745,7309.692,SUCCESS
duckdb,32,9,356.739,6773.574,7130.314,SUCCESS
duckdb,32,10,496.606,7139.445,7636.052,SUCCESS
duckdb,64,1,550.296,12705.259,13255.555,SUCCESS
duckdb,64,2,376.924,12595.184,12972.108,SUCCESS
duckdb,64,3,388.058,12718.312,13106.370,SUCCESS
duckdb,64,4,391.520,13148.077,13539.597,SUCCESS
duckdb,64,5,546.798,12494.735,13041.533,SUCCESS
duckdb,64,6,386.118,12629.791,13015.909,SUCCESS
duckdb,64,7,539.831,13036.928,13576.759,SUCCESS
duckdb,64,8,552.271,12382.284,12934.555,SUCCESS
duckdb,64,9,380.528,12412.445,12792.974,SUCCESS
duckdb,64,10,375.237,12812.315,13187.552,SUCCESS
duckdb,128,1,540.878,23432.860,23973.738,SUCCESS
duckdb,128,2,512.196,23589.781,24101.976,SUCCESS
duckdb,128,3,520.422,24130.174,24650.596,SUCCESS
duckdb,128,4,515.815,23674.629,24190.444,SUCCESS
duckdb,128,5,531.012,24180.852,24711.864,SUCCESS
duckdb,128,6,513.138,23464.941,23978.079,SUCCESS
duckdb,128,7,681.815,23412.803,24094.618,SUCCESS
duckdb,128,8,710.400,24663.917,25374.317,SUCCESS
duckdb,128,9,511.344,23380.927,23892.271,SUCCESS
duckdb,128,10,702.904,24035.502,24738.405,SUCCESS
duckdb,256,1,1391.471,49851.156,51242.628,SUCCESS
duckdb,256,2,1229.914,43890.153,45120.067,SUCCESS
duckdb,256,3,1057.431,44086.917,45144.349,SUCCESS
